# t    U      B       V      R     I
# SN2013ab  Bose et al 2015
4.0   13.93  14.57  14.61  14.68  14.60 
5.0   13.96  14.59  14.62  14.66  14.57 
6.0   13.99  14.61  14.64  14.64  14.55 
7.0   14.02  14.63  14.65  14.63  14.53 
8.0   14.06  14.66  14.67  14.63  14.52 
9.0   14.11  14.70  14.69  14.62  14.52 
10.0   14.16  14.73  14.70  14.62  14.51 
11.0   14.21  14.77  14.72  14.62  14.52 
12.0   14.27  14.79  14.73  14.62  14.52 
13.0   14.33  14.81  14.75  14.62  14.52 
14.0   14.39  14.83  14.76  14.63  14.53 
15.0   14.46  14.84  14.77  14.63  14.54 
16.0   14.53  14.86  14.78  14.64  14.54 
17.0   14.60  14.89  14.79  14.64  14.55 
18.0   14.68  14.92  14.80  14.64  14.55 
19.0   14.77  14.95  14.81  14.65  14.55 
20.0   14.86  14.99  14.83  14.65  14.55 
21.0   14.95  15.02  14.84  14.66  14.55 
22.0   15.05  15.06  14.85  14.66  14.55 
23.0   15.14  15.10  14.86  14.67  14.55 
24.0   15.24  15.14  14.88  14.68  14.56 
25.0   15.34  15.19  14.89  14.69  14.56 
26.0   15.43  15.24  14.90  14.69  14.56 
27.0   15.52  15.28  14.91  14.70  14.57 
28.0   15.62  15.33  14.93  14.71  14.57 
29.0   15.71  15.38  14.94  14.72  14.58 
30.0   15.79  15.43  14.95  14.73  14.58 
31.0   15.87  15.47  14.97  14.75  14.59 
32.0   15.95  15.51  14.99  14.76  14.60 
33.0   16.03  15.55  15.01  14.77  14.60 
34.0   16.10  15.58  15.03  14.78  14.61 
35.0   16.17  15.61  15.05  14.79  14.62 
36.0   16.23  15.65  15.07  14.81  14.62 
37.0   16.30  15.68  15.09  14.82  14.63 
38.0   16.36  15.71  15.10  14.83  14.63 
39.0   16.42  15.75  15.11  14.84  14.64 
40.0   16.47  15.77  15.12  14.85  14.64 
41.0   16.53  15.80  15.13  14.86  14.64 
42.0   16.59  15.83  15.13  14.88  14.65 
43.0   16.65  15.85  15.14  14.89  14.65 
44.0   16.70  15.88  15.15  14.90  14.65 
45.0   16.76  15.91  15.16  14.91  14.65 
46.0   16.81  15.93  15.16  14.92  14.65 
47.0   16.87  15.95  15.17  14.93  14.65 
48.0   16.92  15.98  15.18  14.94  14.65 
49.0   16.97  16.00  15.19  14.95  14.65 
50.0   17.02  16.02  15.19  14.95  14.65 
51.0   17.07  16.04  15.20  14.95  14.66 
52.0   17.12  16.06  15.21  14.95  14.66 
53.0   17.16  16.09  15.21  14.95  14.66 
54.0   17.20  16.11  15.22  14.95  14.66 
55.0   17.24  16.13  15.23  14.94  14.67 
56.0   17.28  16.15  15.23  14.94  14.67 
57.0   17.31  16.17  15.24  14.94  14.67 
58.0   17.33  16.18  15.24  14.94  14.68 
59.0   17.35  16.19  15.25  14.94  14.68 
60.0   17.36  16.20  15.26  14.94  14.68 
61.0   17.37  16.21  15.26  14.95  14.69 
62.0   17.37  16.21  15.27  14.95  14.69 
63.0   17.38  16.22  15.27  14.95  14.69 
64.0   17.39  16.23  15.27  14.95  14.69 
65.0   17.41  16.24  15.28  14.96  14.70 
66.0   17.42  16.26  15.28  14.96  14.70 
67.0   17.44  16.27  15.29  14.96  14.70 
68.0   17.45  16.29  15.29  14.96  14.70 
69.0   17.46  16.30  15.30  14.97  14.71 
70.0   17.47  16.31  15.30  14.97  14.71 
71.0   17.49  16.33  15.31  14.97  14.71 
72.0   17.50  16.35  15.31  14.97  14.71 
73.0   17.52  16.38  15.32  14.98  14.71 
74.0   17.55  16.40  15.32  14.98  14.72 
75.0   17.58  16.42  15.33  14.98  14.72 
76.0   17.61  16.43  15.33  14.98  14.72 
77.0   17.65  16.43  15.34  14.99  14.72 
78.0   17.69  16.44  15.35  14.99  14.73 
79.0   17.73  16.45  15.35  15.00  14.73 
80.0   17.77  16.47  15.36  15.01  14.74 
81.0   17.82  16.49  15.37  15.02  14.75 
82.0   17.86  16.51  15.39  15.03  14.75 
83.0   17.90  16.53  15.40  15.04  14.77 
84.0   17.94  16.56  15.42  15.06  14.78 
85.0   17.98  16.59  15.44  15.07  14.79 
86.0   18.03  16.62  15.47  15.09  14.81 
87.0   18.08  16.64  15.49  15.11  14.82 
88.0   18.13  16.67  15.51  15.12  14.84 
89.0   18.19  16.70  15.54  15.14  14.86 
90.0   18.25  16.73  15.57  15.16  14.87 
91.0   18.30  16.76  15.61  15.18  14.89 
92.0   18.35  16.80  15.65  15.21  14.91 
93.0   18.40  16.85  15.69  15.24  14.94 
94.0   18.44  16.92  15.74  15.27  14.97 
95.0   18.48  17.00  15.80  15.32  15.00 
96.0   18.51  17.09  15.86  15.36  15.04 
97.0   18.54  17.18  15.93  15.42  15.09 
98.0   18.56  17.27  16.00  15.48  15.14 
99.0   18.59  17.38  16.08  15.55  15.19 
