# Ib   SN2009jf Valenti et al 2011
# t    U       B      V     R       I
5.0   16.60  18.04  17.49  17.71  16.18 
6.0   16.37  17.72  17.18  17.23  16.00 
7.0   16.15  17.47  16.93  16.87  15.83 
8.0   15.92  17.24  16.72  16.61  15.66 
9.0   15.66  17.02  16.53  16.39  15.51 
10.0   15.37  16.80  16.34  16.21  15.35 
11.0   15.16  16.59  16.16  16.04  15.21 
12.0   15.08  16.38  15.99  15.88  15.07 
13.0   15.04  16.18  15.81  15.73  14.94 
14.0   15.02  15.99  15.65  15.59  14.83 
15.0   14.99  15.80  15.48  15.46  14.72 
16.0   14.97  15.63  15.33  15.33  14.64 
17.0   14.95  15.48  15.18  15.21  14.57 
18.0   14.96  15.36  15.05  15.09  14.51 
19.0   14.98  15.25  14.94  14.97  14.46 
20.0   15.01  15.16  14.85  14.85  14.42 
21.0   15.04  15.09  14.77  14.74  14.38 
22.0   15.08  15.04  14.71  14.65  14.35 
23.0   15.12  14.99  14.66  14.59  14.32 
24.0   15.17  14.97  14.63  14.55  14.29 
25.0   15.25  14.95  14.60  14.51  14.27 
26.0   15.36  14.95  14.57  14.48  14.26 
27.0   15.47  14.96  14.56  14.46  14.27 
28.0   15.59  14.99  14.55  14.44  14.28 
29.0   15.70  15.02  14.55  14.42  14.30 
30.0   15.81  15.05  14.56  14.41  14.32 
31.0   15.93  15.09  14.57  14.41  14.35 
32.0   16.04  15.14  14.60  14.42  14.37 
33.0   16.14  15.18  14.63  14.44  14.39 
34.0   16.21  15.24  14.66  14.46  14.42 
35.0   16.28  15.30  14.69  14.48  14.45 
36.0   16.37  15.37  14.73  14.50  14.48 
37.0   16.47  15.47  14.77  14.52  14.50 
38.0   16.57  15.56  14.82  14.55  14.53 
39.0   16.67  15.65  14.87  14.58  14.56 
40.0   16.76  15.75  14.93  14.62  14.59 
41.0   16.82  15.84  14.99  14.65  14.62 
42.0   16.88  15.93  15.05  14.69  14.66 
43.0   16.93  16.02  15.11  14.72  14.70 
44.0   16.98  16.12  15.18  14.76  14.74 
45.0   17.03  16.21  15.24  14.80  14.78 
46.0   17.08  16.29  15.30  14.84  14.82 
47.0   17.14  16.35  15.35  14.88  14.87 
48.0   17.20  16.41  15.40  14.92  14.91 
49.0   17.23  16.46  15.46  14.96  14.95 
50.0   17.25  16.51  15.51  15.01  14.99 
51.0   17.27  16.56  15.56  15.05  15.02 
52.0   17.28  16.61  15.61  15.09  15.05 
53.0   17.29  16.66  15.66  15.14  15.07 
54.0   17.31  16.70  15.71  15.18  15.09 
55.0   17.32  16.75  15.75  15.22  15.12 
56.0   17.33  16.78  15.78  15.26  15.14 
57.0   17.35  16.81  15.82  15.30  15.17 
58.0   17.35  16.84  15.85  15.34  15.19 
59.0   17.36  16.87  15.89  15.38  15.22 
60.0   17.39  16.90  15.92  15.41  15.24 
61.0   17.43  16.93  15.95  15.45  15.27 
62.0   17.46  16.96  15.99  15.49  15.29 
63.0   17.48  16.99  16.02  15.53  15.32 
64.0   17.49  17.02  16.05  15.56  15.35 
65.0   17.51  17.05  16.08  15.59  15.37 
66.0   17.52  17.08  16.11  15.61  15.39 
67.0   17.52  17.11  16.13  15.62  15.42 
68.0   17.53  17.13  16.16  15.63  15.44 
69.0   17.53  17.15  16.18  15.65  15.46 
70.0   17.53  17.16  16.20  15.67  15.49 
71.0   17.54  17.16  16.21  15.69  15.51 
72.0   17.55  17.16  16.22  15.71  15.53 
73.0   17.55  17.16  16.24  15.73  15.55 
74.0   17.56  17.17  16.25  15.75  15.56 
75.0   17.56  17.18  16.27  15.77  15.58 
76.0   17.57  17.19  16.28  15.79  15.59 
77.0   17.57  17.20  16.29  15.82  15.61 
78.0   17.58  17.20  16.30  15.84  15.62 
79.0   17.58  17.20  16.31  15.87  15.64 
80.0   17.59  17.21  16.32  15.89  15.65 
81.0   17.59  17.21  16.33  15.92  15.67 
82.0   17.60  17.22  16.35  15.95  15.68 
83.0   17.60  17.23  16.36  15.97  15.70 
84.0   17.61  17.24  16.38  16.00  15.71 
85.0   17.61  17.25  16.39  16.02  15.73 
86.0   17.62  17.26  16.40  16.03  15.74 
87.0   17.62  17.27  16.42  16.03  15.76 
88.0   17.63  17.28  16.43  16.03  15.77 
89.0   17.63  17.29  16.45  16.05  15.79 
90.0   17.64  17.30  16.46  16.06  15.80 
91.0   17.64  17.31  16.48  16.08  15.81 
92.0   17.65  17.33  16.49  16.10  15.82 
93.0   17.65  17.34  16.51  16.11  15.83 
94.0   17.66  17.35  16.52  16.13  15.85 
95.0   17.66  17.36  16.54  16.15  15.87 
96.0   17.67  17.37  16.55  16.17  15.89 
97.0   17.67  17.38  16.57  16.18  15.91 
98.0   17.67  17.39  16.59  16.20  15.93 
99.0   17.67  17.40  16.60  16.22  15.95 
