#  Ib ptf13bvn  Fremling et al 2014 
# t    U      B       V      R      I
1.0   17.36  17.77  17.28  17.05  16.83 
2.0   17.31  17.46  16.96  16.68  16.57 
3.0   17.26  17.17  16.66  16.34  16.34 
4.0   16.98  16.89  16.39  16.07  16.12 
5.0   16.53  16.61  16.14  15.86  15.92 
6.0   16.21  16.32  15.89  15.66  15.73 
7.0   15.86  16.06  15.67  15.46  15.54 
8.0   15.51  15.88  15.53  15.31  15.37 
9.0   15.28  15.76  15.42  15.21  15.23 
10.0   15.24  15.67  15.33  15.13  15.12 
11.0   15.23  15.60  15.24  15.06  15.04 
12.0   15.23  15.55  15.16  15.01  14.97 
13.0   15.25  15.52  15.11  14.95  14.90 
14.0   15.25  15.52  15.08  14.88  14.83 
15.0   15.28  15.52  15.05  14.80  14.77 
16.0   15.39  15.53  15.02  14.77  14.72 
17.0   15.52  15.59  15.03  14.76  14.69 
18.0   15.66  15.67  15.05  14.76  14.67 
19.0   15.78  15.75  15.07  14.76  14.66 
20.0   15.88  15.83  15.09  14.75  14.64 
21.0   16.13  15.91  15.13  14.77  14.63 
22.0   16.40  16.03  15.21  14.83  14.64 
23.0   16.67  16.20  15.32  14.91  14.68 
24.0   16.94  16.39  15.43  14.99  14.76 
25.0   17.20  16.56  15.54  15.08  14.84 
26.0   17.43  16.71  15.66  15.16  14.92 
27.0   17.60  16.87  15.77  15.24  14.98 
28.0   17.71  17.02  15.90  15.33  15.05 
29.0   17.79  17.16  16.02  15.42  15.11 
30.0   17.85  17.30  16.14  15.51  15.18 
31.0   17.90  17.42  16.25  15.60  15.24 
32.0   17.96  17.50  16.32  15.67  15.28 
33.0   18.02  17.55  16.41  15.73  15.32 
34.0   18.06  17.60  16.47  15.78  15.37 
35.0   18.11  17.63  16.54  15.86  15.42 
36.0   18.15  17.67  16.60  15.92  15.47 
37.0   18.20  17.74  16.63  15.96  15.53 
38.0   18.23  17.81  16.66  16.00  15.58 
39.0   18.27  17.85  16.70  16.04  15.63 
40.0   18.30  17.87  16.72  16.08  15.68 
41.0   18.34  17.89  16.75  16.11  15.71 
42.0   18.37  17.91  16.78  16.14  15.73 
43.0   18.40  17.92  16.80  16.16  15.75 
44.0   18.44  17.94  16.83  16.19  15.77 
45.0   18.47  17.97  16.85  16.22  15.79 
46.0   18.51  18.00  16.86  16.25  15.81 
47.0   18.54  18.03  16.86  16.27  15.83 
48.0   18.58  18.06  16.86  16.29  15.85 
49.0   18.61  18.08  16.91  16.32  15.88 
50.0   18.64  18.09  16.98  16.37  15.90 
51.0   18.68  18.09  17.03  16.42  15.91 
52.0   18.73  18.10  17.03  16.44  15.92 
53.0   18.77  18.10  17.03  16.46  15.94 
54.0   18.81  18.11  17.03  16.46  15.96 
55.0   18.85  18.11  17.04  16.48  15.98 
56.0   18.89  18.11  17.05  16.50  16.01 
57.0   18.91  18.12  17.08  16.50  16.03 
58.0   18.91  18.13  17.10  16.48  16.05 
