# jd_expl= 49439.0
# missing data interp 1
# _filter= V
# ABtot= 0.939094132816
# 
1.889999999999417923e+00 1.788113321080727047e+01
2.888625954197888923e+00 1.670040231740141223e+01
3.887251908396359923e+00 1.546401448322644612e+01
4.885877862594831811e+00 1.420857188350708533e+01
5.884503816793301922e+00 1.340335734665641887e+01
6.883129770991773810e+00 1.287259368873867693e+01
7.881755725190244810e+00 1.252935263129371357e+01
8.880381679388715810e+00 1.233268488333936475e+01
9.879007633587185921e+00 1.216279662137191764e+01
1.087763358778565781e+01 1.208966016693384660e+01
1.187625954198412970e+01 1.203351925391309507e+01
1.287488549618259981e+01 1.200287553040094579e+01
1.387351145038107170e+01 1.200906790650488709e+01
1.487213740457954181e+01 1.208694936289532862e+01
1.587076335877801370e+01 1.216817989071092398e+01
1.686938931297648381e+01 1.228554581099540854e+01
1.786801526717495392e+01 1.241915611360596827e+01
1.886664122137342758e+01 1.257555123355236759e+01
1.986526717557189770e+01 1.273103714288397015e+01
2.086389312977036781e+01 1.289754139346174888e+01
2.186251908396884147e+01 1.301534505541737552e+01
2.286114503816731158e+01 1.313090217132417870e+01
2.385977099236578169e+01 1.324230748571685190e+01
2.485839694656425181e+01 1.334987015692090750e+01
2.585702290076272547e+01 1.345438163644994312e+01
2.685564885496119558e+01 1.355643493402382127e+01
2.785427480915966569e+01 1.365630658287948407e+01
2.885290076335813936e+01 1.375396445763552578e+01
2.985152671755660947e+01 1.384907636987544066e+01
3.085015267175507958e+01 1.394099671251948180e+01
3.184877862595354969e+01 1.402871492354251615e+01
3.284740458015202336e+01 1.411079324688246572e+01
3.384603053435048992e+01 1.418544768047238769e+01
3.484465648854896358e+01 1.425102848058745941e+01
3.584328244274743724e+01 1.430692885110484625e+01
3.684190839694590380e+01 1.435427699566951176e+01
3.784053435114437747e+01 1.439562315488819699e+01
3.883916030534285113e+01 1.443396367353538245e+01
3.983778625954131769e+01 1.447198137492750369e+01
4.083641221373979135e+01 1.451127887098432367e+01
4.183503816793826502e+01 1.455180208179884360e+01
4.283366412213673158e+01 1.459279885699185542e+01
4.383229007633520524e+01 1.463390274306732053e+01
4.483091603053367891e+01 1.467503391040762395e+01
4.582954198473214547e+01 1.471607449269633960e+01
4.682816793893061913e+01 1.475693389379282650e+01
4.782679389312908569e+01 1.479790386678537573e+01
4.882541984732755935e+01 1.483951653270365689e+01
4.982404580152603302e+01 1.488147305981751067e+01
5.082267175572449958e+01 1.492216732147345404e+01
5.182129770992297324e+01 1.495977191758722924e+01
5.281992366412144690e+01 1.499355158554515555e+01
5.381854961831991346e+01 1.502404954835581208e+01
5.481717557251838713e+01 1.505234186064765112e+01
5.581580152671686079e+01 1.507933962625896029e+01
5.681442748091532735e+01 1.510557417046273798e+01
5.781305343511380102e+01 1.513128575745158777e+01
5.881167938931227468e+01 1.515655433350591075e+01
5.981030534351074124e+01 1.518135008450169110e+01
6.080893129770921490e+01 1.520555686239930004e+01
6.180755725190768146e+01 1.522912902463259144e+01
6.280618320610615513e+01 1.525227414360843170e+01
6.380480916030462879e+01 1.527537884877797048e+01
6.480343511450308824e+01 1.529882385375907106e+01
6.580206106870156191e+01 1.532294814999056420e+01
6.680068702290003557e+01 1.534814194922626562e+01
6.779931297709850924e+01 1.537490352954394268e+01
6.879793893129698290e+01 1.540366562115566751e+01
6.979656488549545656e+01 1.543439401478376816e+01
7.079519083969393023e+01 1.546642032466797545e+01
7.179381679389238968e+01 1.549881787809017553e+01
7.279244274809086335e+01 1.553084860224042529e+01
7.379106870228933701e+01 1.556205578916639354e+01
7.478969465648781068e+01 1.559213484414537376e+01
7.578832061068628434e+01 1.562080992280251479e+01
7.678694656488475800e+01 1.564781286959581053e+01
7.778557251908321746e+01 1.567297797563834294e+01
7.878419847328169112e+01 1.569637192138008075e+01
7.978282442748016479e+01 1.571831192725577608e+01
8.078145038167863845e+01 1.573923330304142354e+01
8.178007633587711211e+01 1.575953054030194345e+01
8.277870229007557157e+01 1.577948220607315299e+01
8.377732824427404523e+01 1.579925591745893954e+01
8.477595419847251890e+01 1.581894280667898300e+01
8.577458015267099256e+01 1.583858927384223492e+01
8.677320610686946623e+01 1.585821781111938300e+01
8.777183206106793989e+01 1.587783881960856114e+01
8.877045801526639934e+01 1.589745685816956922e+01
8.976908396946487301e+01 1.591707380332797150e+01
9.076770992366334667e+01 1.593669037443269332e+01
9.176633587786182034e+01 1.595630682635845510e+01
9.276496183206029400e+01 1.597592324047058021e+01
9.376358778625875345e+01 1.599553963349373120e+01
9.476221374045722712e+01 1.601515598391087281e+01
9.576083969465570078e+01 1.603477220581519802e+01
9.675946564885417445e+01 1.605438805107779032e+01
9.775809160305264811e+01 1.607400286846000625e+01
9.875671755725112178e+01 1.609361507304632966e+01
9.975534351144958123e+01 1.611322106254126751e+01
1.007539694656480549e+02 1.613122694469032581e+01
1.017525954198465286e+02 1.615026424126647342e+01
1.027512213740450022e+02 1.616914119543992001e+01
1.037498473282434759e+02 1.618783353062276831e+01
1.047484732824419353e+02 1.620631998235965199e+01
1.057470992366404090e+02 1.622458422608816875e+01
1.067457251908388827e+02 1.624261620604927003e+01
1.077443511450373563e+02 1.626041259221546653e+01
1.087429770992358300e+02 1.627797632658246485e+01
1.097416030534343037e+02 1.629531545863908093e+01
1.107402290076327631e+02 1.631244161561044947e+01
1.117388549618312368e+02 1.632936846724047797e+01
1.127374809160297104e+02 1.634611045505872440e+01
1.137361068702281841e+02 1.636268192337614735e+01
1.147347328244266578e+02 1.637909666756055671e+01
1.157333587786251314e+02 1.639536783077748439e+01
1.167319847328235909e+02 1.641150803543364134e+01
1.177306106870220646e+02 1.642752962170382247e+01
1.187292366412205382e+02 1.644344487492650586e+01
1.197278625954190119e+02 1.645926615165256379e+01
1.207264885496174855e+02 1.647500585603278367e+01
1.217251145038159450e+02 1.649067626575244816e+01
1.227237404580144187e+02 1.650628924824983557e+01
1.237223664122128923e+02 1.652185593278674958e+01
1.247209923664113660e+02 1.653738640722073683e+01
1.257196183206098397e+02 1.655288949299307433e+01
1.267182442748083133e+02 1.656837262640674524e+01
1.277168702290067728e+02 1.658384184837581543e+01
1.287154961832052322e+02 1.659930188542531226e+01
1.297141221374037059e+02 1.661475629454190184e+01
1.307127480916021796e+02 1.663020764269867513e+01
1.317113740458006532e+02 1.664565769580831400e+01
1.327099999999991269e+02 1.666110759851802925e+01
