# jd_expl= 2453549.0
# missing data interp 1
# _filter= V
# ABtot= 0.156538593538
# 
4.169999998994171619e-01 1.611235345670979768e+01
1.416945945845942134e+00 1.522158713305982403e+01
2.416891891792467106e+00 1.452534565223345808e+01
3.416837837738991634e+00 1.438257934869290722e+01
4.416783783685517051e+00 1.437234121401802867e+01
5.416729729632041135e+00 1.437003334060213433e+01
6.416675675578566107e+00 1.436328437298610261e+01
7.416621621525091079e+00 1.437810880872659069e+01
8.416567567471616940e+00 1.438633531116471787e+01
9.416513513418140136e+00 1.441862854661073712e+01
1.041645945936466511e+01 1.442733814880472920e+01
1.141640540531119008e+01 1.441033639067904559e+01
1.241635135125771505e+01 1.439079736220569572e+01
1.341629729720424002e+01 1.440843833809225671e+01
1.441624324315076500e+01 1.440886014526796544e+01
1.541618918909728997e+01 1.442140180488235579e+01
1.641613513504381672e+01 1.447325178903165366e+01
1.741608108099033814e+01 1.449959345487769014e+01
1.841602702693686311e+01 1.451630609239035330e+01
1.941597297288338808e+01 1.455268175679205811e+01
2.041591891882991305e+01 1.455165736455185410e+01
2.141586486477643803e+01 1.456237119429320082e+01
2.241581081072296300e+01 1.457093793043629759e+01
2.341575675666948797e+01 1.457779943596816175e+01
2.441570270261601294e+01 1.458312219280948874e+01
2.541564864856253791e+01 1.458690458065562012e+01
2.641559459450906289e+01 1.458919053455755233e+01
2.741554054045558786e+01 1.459023166263033389e+01
2.841548648640211283e+01 1.459043518769953529e+01
2.941543243234863780e+01 1.459019632644962350e+01
3.041537837829516278e+01 1.458981566672695429e+01
3.141532432424168775e+01 1.458951914006238226e+01
3.241527027018821627e+01 1.458948776877118014e+01
3.341521621613473769e+01 1.458982636984453762e+01
3.441516216208125911e+01 1.459048661500407107e+01
3.541510810802778764e+01 1.459127680417928197e+01
3.641505405397430906e+01 1.459201798107185866e+01
3.741499999992083758e+01 1.459267187888121597e+01
3.841494594586735900e+01 1.459331747314208627e+01
3.941489189181388753e+01 1.459406611192582659e+01
4.041483783776040895e+01 1.459502329301846224e+01
4.141478378370693747e+01 1.459631008762276316e+01
4.241472972965345889e+01 1.459807576657640915e+01
4.341467567559998741e+01 1.460043181370397924e+01
4.441462162154650883e+01 1.460333723780167148e+01
4.541456756749303736e+01 1.460651899508407325e+01
4.641451351343955878e+01 1.460946972720399728e+01
4.741445945938608730e+01 1.461156718455520576e+01
4.841440540533260872e+01 1.461233270977079712e+01
4.941435135127913725e+01 1.461163728061172229e+01
5.041429729722565867e+01 1.460962557068556578e+01
5.141424324317218719e+01 1.460647114398342339e+01
5.241418918911870861e+01 1.460222643151154287e+01
5.341413513506523714e+01 1.459686607860076002e+01
5.441408108101175856e+01 1.459049767672761178e+01
5.541402702695828708e+01 1.458357465982141576e+01
5.641397297290480850e+01 1.457682494693900210e+01
5.741391891885133703e+01 1.457093104035897468e+01
5.841386486479785844e+01 1.456634953951427391e+01
5.941381081074438697e+01 1.456337518111101303e+01
6.041375675669090839e+01 1.456223453518844480e+01
6.141370270263743691e+01 1.456303876145538823e+01
6.241364864858395833e+01 1.456562866052326299e+01
6.341359459453048686e+01 1.456957382399930268e+01
6.441354054047701538e+01 1.457447161331973184e+01
6.541348648642353680e+01 1.458020712189283152e+01
6.641343243237005822e+01 1.458683123205491050e+01
6.741337837831657964e+01 1.459427422590988499e+01
6.841332432426310106e+01 1.460230747301290855e+01
6.941327027020963669e+01 1.461073457322512326e+01
7.041321621615615811e+01 1.461948754539682582e+01
7.141316216210267953e+01 1.462850095203783596e+01
7.241310810804920095e+01 1.463747343389316313e+01
7.341305405399573658e+01 1.464575466180821728e+01
7.441299999994225800e+01 1.465270884041790467e+01
7.541294594588877942e+01 1.465846033789084757e+01
7.641289189183530084e+01 1.466400046467924057e+01
7.741283783778183647e+01 1.467032926712668583e+01
7.841278378372835789e+01 1.467781534746837480e+01
7.941272972967487931e+01 1.468630263054347118e+01
8.041267567562140073e+01 1.469543946849803540e+01
8.141262162156793636e+01 1.470485806108629845e+01
8.241256756751445778e+01 1.471421384909095487e+01
8.341251351346097920e+01 1.472320135910210404e+01
8.441245945940750062e+01 1.473161113626998997e+01
8.541240540535403625e+01 1.473939113819407609e+01
8.641235135130055767e+01 1.474663835990575045e+01
8.741229729724707909e+01 1.475352327284517173e+01
8.841224324319360051e+01 1.476021487763976481e+01
8.941218918914013614e+01 1.476684554182585707e+01
9.041213513508665756e+01 1.477350693904688228e+01
9.141208108103317898e+01 1.478025822103047915e+01
9.241202702697970039e+01 1.478713755096864624e+01
9.341197297292623603e+01 1.479417440866044586e+01
9.441191891887275744e+01 1.480140112520281903e+01
9.541186486481927886e+01 1.480886360828196402e+01
9.641181081076580028e+01 1.481663291391003412e+01
9.741175675671232170e+01 1.482481821844922010e+01
