# jd_expl= 55713.0
# missing data interp 2
# _filter= V
# ABtot= 0.0
# 
3.000000000000000000e+00 1.505740724097026018e+01
4.000000000000000000e+00 1.477188828806478149e+01
5.000000000000000000e+00 1.444788418823991805e+01
6.000000000000000000e+00 1.412726176669487543e+01
7.000000000000000000e+00 1.386960834243346241e+01
8.000000000000000000e+00 1.361964163202249978e+01
9.000000000000000000e+00 1.339770663777291659e+01
1.000000000000000000e+01 1.322079568845487429e+01
1.100000000000000000e+01 1.308674752719260503e+01
1.200000000000000000e+01 1.297832112721595621e+01
1.300000000000000000e+01 1.291322348067620851e+01
1.400000000000000000e+01 1.286635710899480500e+01
1.500000000000000000e+01 1.280883338785712056e+01
1.600000000000000000e+01 1.276100875635943588e+01
1.700000000000000000e+01 1.269650455442784853e+01
1.800000000000000000e+01 1.263499414108508390e+01
1.900000000000000000e+01 1.260925733582746844e+01
2.000000000000000000e+01 1.266355345823205880e+01
2.100000000000000000e+01 1.265831070324708030e+01
2.200000000000000000e+01 1.267535891664446090e+01
2.300000000000000000e+01 1.271469429382658411e+01
2.400000000000000000e+01 1.276954531817562710e+01
2.500000000000000000e+01 1.283300654028357535e+01
2.600000000000000000e+01 1.290125119604633319e+01
2.700000000000000000e+01 1.297273358690171108e+01
2.800000000000000000e+01 1.304689969769179569e+01
2.900000000000000000e+01 1.312319012115120387e+01
3.000000000000000000e+01 1.319990833282809817e+01
3.100000000000000000e+01 1.327444864864600227e+01
3.200000000000000000e+01 1.334620693759031518e+01
3.300000000000000000e+01 1.341656048272742652e+01
3.400000000000000000e+01 1.348647989337448827e+01
3.500000000000000000e+01 1.355634255455122528e+01
3.600000000000000000e+01 1.362651794916073911e+01
3.700000000000000000e+01 1.369689107994367916e+01
3.800000000000000000e+01 1.376427345935851321e+01
3.900000000000000000e+01 1.382210119884034327e+01
4.000000000000000000e+01 1.386834239809056157e+01
4.100000000000000000e+01 1.390726198806334679e+01
4.200000000000000000e+01 1.394289106159450498e+01
4.300000000000000000e+01 1.397697415755053107e+01
4.400000000000000000e+01 1.400982329876431542e+01
4.500000000000000000e+01 1.404097799493749577e+01
4.600000000000000000e+01 1.406992923751190183e+01
4.700000000000000000e+01 1.409703519388904525e+01
4.800000000000000000e+01 1.412316579788303450e+01
4.900000000000000000e+01 1.414882733799483638e+01
5.000000000000000000e+01 1.417419978080584464e+01
5.100000000000000000e+01 1.419935928368451172e+01
5.200000000000000000e+01 1.422418364965818149e+01
5.300000000000000000e+01 1.424802052707559241e+01
5.400000000000000000e+01 1.426971397965117738e+01
5.500000000000000000e+01 1.428893602256285789e+01
5.600000000000000000e+01 1.430704436869942064e+01
5.700000000000000000e+01 1.432538377997603440e+01
5.800000000000000000e+01 1.434421879294447955e+01
5.900000000000000000e+01 1.436328445456136649e+01
6.000000000000000000e+01 1.438231114476043970e+01
6.100000000000000000e+01 1.440115757976375299e+01
6.200000000000000000e+01 1.441977478429052617e+01
6.300000000000000000e+01 1.443813979809202586e+01
6.400000000000000000e+01 1.445623938284732191e+01
6.500000000000000000e+01 1.447413186622792125e+01
6.600000000000000000e+01 1.449198684083933664e+01
6.700000000000000000e+01 1.450999475683491546e+01
6.800000000000000000e+01 1.452825056848294416e+01
6.900000000000000000e+01 1.454675121912606883e+01
7.000000000000000000e+01 1.456545181197793326e+01
7.100000000000000000e+01 1.458429058566354897e+01
7.200000000000000000e+01 1.460317562893893850e+01
7.300000000000000000e+01 1.462195678017546285e+01
7.400000000000000000e+01 1.464042049950925595e+01
7.500000000000000000e+01 1.465835276830711109e+01
7.600000000000000000e+01 1.467565068627254199e+01
7.700000000000000000e+01 1.469238451020131109e+01
7.800000000000000000e+01 1.470876855557844820e+01
7.900000000000000000e+01 1.472509458044323161e+01
8.000000000000000000e+01 1.474166082272399159e+01
8.100000000000000000e+01 1.475870192372474676e+01
8.200000000000000000e+01 1.477635109920134582e+01
8.300000000000000000e+01 1.479465441937122172e+01
8.400000000000000000e+01 1.481360871260666556e+01
8.500000000000000000e+01 1.483317504074528692e+01
8.600000000000000000e+01 1.485324837691199917e+01
8.700000000000000000e+01 1.487365120987911382e+01
8.800000000000000000e+01 1.489423120817123625e+01
8.900000000000000000e+01 1.491492744509281643e+01
9.000000000000000000e+01 1.493571468611182596e+01
9.100000000000000000e+01 1.495657858353932568e+01
9.200000000000000000e+01 1.497756147586740028e+01
9.300000000000000000e+01 1.499881135691792444e+01
9.400000000000000000e+01 1.502056712009230921e+01
9.500000000000000000e+01 1.504297683204163150e+01
9.600000000000000000e+01 1.506569636189241379e+01
9.700000000000000000e+01 1.508755182430043540e+01
9.800000000000000000e+01 1.510677719319907730e+01
9.900000000000000000e+01 1.512174746671327341e+01
