#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 55389.39
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
9.270000000033178367e-01 1.879513887526774596e+01
1.925629629632937601e+00 1.830266535660411975e+01
2.924259259262557364e+00 1.813469267466329171e+01
3.922888888892177572e+00 1.803997323424683685e+01
4.921518518521796892e+00 1.796252749482161448e+01
5.920148148151417544e+00 1.788576847012903315e+01
6.918777777781037308e+00 1.780881554111948972e+01
7.917407407410657072e+00 1.775952035172508658e+01
8.916037037040275948e+00 1.774406665676914940e+01
9.914666666669896600e+00 1.774844113092830256e+01
1.091329629629951725e+01 1.773071958510969637e+01
1.191192592592913613e+01 1.771305802926309170e+01
1.291055555555875678e+01 1.770435780431052564e+01
1.390918518518837566e+01 1.769786916187918635e+01
1.490781481481799631e+01 1.769147001548331133e+01
1.590644444444761518e+01 1.768149838172586286e+01
1.690507407407723406e+01 1.767151542081162319e+01
1.790370370370685649e+01 1.766153248171854173e+01
1.890233333333647536e+01 1.765155835954033492e+01
1.990096296296609424e+01 1.764347227993438594e+01
2.089959259259571667e+01 1.765981044415862655e+01
2.189822222222533554e+01 1.766229406084196185e+01
2.289685185185495442e+01 1.766607528844227204e+01
2.389548148148457329e+01 1.767092769016043974e+01
2.489411111111419572e+01 1.767669202186324995e+01
2.589274074074381460e+01 1.768326847559741566e+01
2.689137037037343347e+01 1.769056980817305558e+01
2.789000000000305590e+01 1.769844389856596933e+01
2.888862962963267478e+01 1.770661089642835861e+01
2.988725925926229365e+01 1.771467629210889427e+01
3.088588888889191253e+01 1.772222628088861995e+01
3.188451851852153496e+01 1.772896522075869896e+01
3.288314814815115028e+01 1.773486311685841343e+01
3.388177777778077626e+01 1.774017288821035265e+01
3.488040740741039514e+01 1.774517396434459826e+01
3.587903703704001401e+01 1.774996567855070495e+01
3.687766666666963289e+01 1.775457085082246422e+01
3.787629629629925176e+01 1.775906065576813120e+01
3.887492592592887064e+01 1.776344927845970645e+01
3.987355555555848952e+01 1.776742654547181033e+01
4.087218518518811550e+01 1.777039656577802162e+01
4.187081481481773437e+01 1.777208573679216386e+01
4.286944444444735325e+01 1.777293883526839124e+01
4.386807407407697212e+01 1.777386188928926813e+01
4.486670370370659100e+01 1.777586397370418325e+01
4.586533333333620988e+01 1.777976294238930777e+01
4.686396296296582875e+01 1.778577941480860503e+01
4.786259259259545473e+01 1.779334341374173434e+01
4.886122222222507361e+01 1.780149480360986303e+01
4.985985185185469248e+01 1.780944425417587595e+01
5.085848148148431136e+01 1.781678149016491375e+01
5.185711111111393024e+01 1.782340961681596170e+01
5.285574074074354911e+01 1.782941071431251956e+01
5.385437037037316799e+01 1.783491511878552771e+01
5.485300000000279397e+01 1.784002724854361333e+01
5.585162962963241284e+01 1.784484495610901789e+01
5.685025925926203172e+01 1.784951431511150233e+01
5.784888888889165059e+01 1.785422139800672170e+01
5.884751851852126947e+01 1.785911382572747641e+01
5.984614814815088835e+01 1.786424370430974307e+01
6.084477777778050722e+01 1.786959370553893578e+01
6.184340740741013320e+01 1.787515209395735027e+01
6.284203703703975208e+01 1.788097270570880326e+01
6.384066666666937095e+01 1.788718227173353981e+01
6.483929629629898272e+01 1.789393137358575459e+01
6.583792592592861581e+01 1.790132659072092380e+01
6.683655555555823469e+01 1.790939601027889694e+01
6.783518518518785356e+01 1.791809232375767280e+01
6.883381481481747244e+01 1.792729193668107257e+01
6.983244444444709131e+01 1.793677369246155351e+01
7.083107407407671019e+01 1.794622757397996438e+01
7.182970370370632907e+01 1.795538570662851896e+01
7.282833333333594794e+01 1.796428527158515465e+01
7.382696296296556682e+01 1.797340907297274271e+01
7.482559259259518569e+01 1.798340883153500158e+01
7.582422222222480457e+01 1.799467433882959355e+01
7.682285185185442344e+01 1.800724377027131595e+01
7.782148148148404232e+01 1.802099794285293655e+01
7.882011111111366120e+01 1.803581746206678105e+01
7.981874074074329428e+01 1.805161851985807786e+01
8.081737037037291316e+01 1.806836009564862167e+01
8.181600000000253203e+01 1.808607692057436367e+01
8.281462962963215091e+01 1.810488877458537971e+01
8.381325925926176978e+01 1.812494281025567489e+01
8.481188888889138866e+01 1.814634906557209604e+01
8.581051851852100754e+01 1.816921432731924213e+01
8.680914814815062641e+01 1.819381354678614571e+01
8.780777777778024529e+01 1.822076860632498452e+01
8.880640740740986416e+01 1.825094423538657651e+01
8.980503703703948304e+01 1.828501748348129041e+01
9.080366666666910191e+01 1.832313852139473553e+01
9.180229629629872079e+01 1.836497473084948950e+01
9.280092592592833967e+01 1.841002658172015316e+01
9.379955555555797275e+01 1.845799207754689064e+01
9.479818518518759163e+01 1.850898335315267218e+01
9.579681481481721050e+01 1.856345816207232247e+01
9.679544444444682938e+01 1.862185554800519327e+01
9.779407407407644826e+01 1.868413134937449982e+01
9.879270370370606713e+01 1.874958015914654652e+01
9.979133333333568601e+01 1.881714094703504259e+01
1.007899629629653049e+02 1.889635104933110554e+01
1.017885925925949238e+02 1.895845371533358303e+01
1.027872222222245426e+02 1.902218044981353984e+01
1.037858518518541615e+02 1.908735552133127911e+01
1.047844814814837804e+02 1.915377628735761562e+01
1.057831111111133993e+02 1.922122348521911306e+01
1.067817407407430181e+02 1.928947323141898806e+01
1.077803703703726512e+02 1.935830851108303818e+01
1.087790000000022701e+02 1.942752840197106678e+01
