#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 55445.96
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.720000000015716068e-01 2.119259546396811800e+01
1.469392857144417253e+00 2.022155729150439996e+01
2.466785714287262898e+00 1.963492440729202926e+01
3.464178571430108988e+00 1.914623881889617962e+01
4.461571428572954190e+00 1.910955524017933982e+01
5.458964285715800280e+00 1.899938874451331472e+01
6.456357142858646370e+00 1.888188513775053679e+01
7.453750000001491571e+00 1.880975017990758502e+01
8.451142857144336773e+00 1.875020359468307518e+01
9.448535714287183751e+00 1.875469794993734851e+01
1.044592857143002895e+01 1.872744631182878550e+01
1.144332142857287415e+01 1.867118516869869893e+01
1.244071428571572113e+01 1.869416771343512096e+01
1.343810714285856633e+01 1.873954664570866413e+01
1.443550000000141154e+01 1.871928331976608817e+01
1.543289285714425851e+01 1.874601765060528535e+01
1.643028571428710194e+01 1.876312990526385249e+01
1.742767857142995069e+01 1.878102550138733307e+01
1.842507142857279590e+01 1.879598832239702944e+01
1.942246428571564110e+01 1.880828251719120914e+01
2.041985714285848630e+01 1.883602534255525640e+01
2.141725000000133150e+01 1.885587543221964779e+01
2.241464285714417670e+01 1.887564563019417818e+01
2.341203571428702546e+01 1.889538104066158652e+01
2.440942857142987066e+01 1.891511205108214000e+01
2.540682142857271586e+01 1.893481571757969562e+01
2.640421428571556106e+01 1.895441677363967869e+01
2.740160714285840626e+01 1.897392544721193985e+01
2.839900000000125146e+01 1.899395809663677781e+01
2.939639285714410022e+01 1.901601198045636920e+01
3.039378571428694542e+01 1.904074821763540371e+01
3.139117857142979062e+01 1.906667053857877647e+01
3.238857142857263227e+01 1.909173926220118034e+01
3.338596428571548103e+01 1.911474603520817439e+01
3.438335714285832978e+01 1.913563489212335256e+01
3.538075000000117143e+01 1.915534387839422692e+01
3.637814285714402018e+01 1.917501614391241205e+01
3.737553571428686183e+01 1.919507527883496678e+01
3.837292857142971059e+01 1.921498071320478829e+01
3.937032142857255934e+01 1.923372493372614755e+01
4.036771428571540099e+01 1.925060421638260522e+01
4.136510714285824974e+01 1.926576582149084516e+01
4.236250000000109139e+01 1.928005113638099743e+01
4.335989285714394015e+01 1.929421542163806436e+01
4.435728571428678180e+01 1.930845554154977251e+01
4.535467857142963055e+01 1.932253093040473146e+01
4.635207142857247931e+01 1.933593363888614292e+01
4.734946428571532095e+01 1.934796872835590165e+01
4.834685714285816971e+01 1.935806677211195037e+01
4.934425000000101136e+01 1.936629860020847360e+01
5.034164285714386011e+01 1.937333857939064785e+01
5.133903571428670176e+01 1.937981997090700048e+01
5.233642857142955052e+01 1.938600450698908162e+01
5.333382142857239927e+01 1.939191665938607301e+01
5.433121428571524092e+01 1.939748221538934558e+01
5.532860714285808967e+01 1.940251576235909781e+01
5.632600000000093132e+01 1.940684588423594192e+01
5.732339285714378008e+01 1.941079585166645316e+01
5.832078571428662883e+01 1.941532470626990659e+01
5.931817857142947048e+01 1.942146892759629040e+01
6.031557142857231923e+01 1.942990564534782649e+01
6.131296428571516088e+01 1.944093611341680372e+01
6.231035714285800964e+01 1.945462876634879024e+01
6.330775000000085129e+01 1.947097973696775952e+01
6.430514285714369294e+01 1.948996713694911875e+01
6.530253571428654880e+01 1.951129747098081424e+01
6.629992857142939044e+01 1.953418172832662592e+01
6.729732142857223209e+01 1.955780001653775813e+01
6.829471428571508795e+01 1.958175323425403391e+01
6.929210714285792960e+01 1.960594237980041044e+01
7.028950000000077125e+01 1.963039569277488283e+01
7.128689285714362711e+01 1.965529649701480963e+01
7.228428571428646876e+01 1.968105611263386123e+01
7.328167857142931041e+01 1.970808393693041438e+01
7.427907142857215206e+01 1.973620718711708477e+01
7.527646428571500792e+01 1.976437993668704252e+01
7.627385714285784957e+01 1.979064096177249610e+01
7.727125000000069122e+01 1.981159461440416436e+01
7.826864285714354708e+01 1.982279139573741134e+01
7.926603571428638872e+01 1.982328538364619064e+01
8.026342857142923037e+01 1.981909410743863731e+01
8.126082142857207202e+01 1.981653179490650274e+01
8.225821428571492788e+01 1.981711540152786455e+01
8.325560714285776953e+01 1.981978447157338508e+01
8.425300000000061118e+01 1.982255777505879735e+01
8.525039285714346704e+01 1.982223280643372121e+01
8.624778571428630869e+01 1.981969232887267296e+01
8.724517857142915034e+01 1.983793741667422239e+01
8.824257142857199199e+01 1.990326751477386580e+01
8.923996428571484785e+01 2.000304187928318811e+01
9.023735714285768950e+01 2.011696907758204489e+01
9.123475000000053114e+01 2.023655614328656327e+01
9.223214285714338700e+01 2.035927248514025223e+01
9.322953571428622865e+01 2.048484246146292520e+01
9.422692857142907030e+01 2.061407074386260163e+01
9.522432142857191195e+01 2.074682349738499454e+01
9.622171428571476781e+01 2.087988410802942241e+01
9.721910714285760946e+01 2.100736768950783073e+01
9.821650000000045111e+01 2.112234917057803329e+01
9.921389285714330697e+01 2.121785563949277531e+01
1.002112857142861486e+02 2.113702577651289261e+01
1.012086785714289903e+02 2.119557882802869742e+01
1.022060714285718319e+02 2.124480459696076551e+01
1.032034642857146878e+02 2.128473578757186147e+01
1.042008571428575294e+02 2.131582061922250659e+01
1.051982500000003711e+02 2.133880247452562884e+01
1.061956428571432269e+02 2.135460177277883531e+01
1.071930357142860686e+02 2.136421397131431021e+01
1.081904285714289102e+02 2.136863077669214661e+01
1.091878214285717661e+02 2.136878581921669706e+01
1.101852142857146077e+02 2.136552213324161187e+01
1.111826071428574494e+02 2.135957686938812472e+01
1.121800000000002910e+02 2.135157829047770051e+01
