#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 55751.92
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
1.476000000002386514e+00 1.864446934252639210e+01
2.474262857145222316e+00 1.845098220570183756e+01
3.472525714288058118e+00 1.825857140241520682e+01
4.470788571430894365e+00 1.808047379260642984e+01
5.469051428573729723e+00 1.790607797234271459e+01
6.467314285716565081e+00 1.787142305818695576e+01
7.465577142859401327e+00 1.783885857401154240e+01
8.463840000002237574e+00 1.780764736656179181e+01
9.462102857145072932e+00 1.776940650689154566e+01
1.046036571428790829e+01 1.773048313183568681e+01
1.145862857143074365e+01 1.768737617753506441e+01
1.245689142857358078e+01 1.766583807599230127e+01
1.345515428571641614e+01 1.764907069163956166e+01
1.445341714285925150e+01 1.763044724536049301e+01
1.545168000000208863e+01 1.761499910569060035e+01
1.644994285714492577e+01 1.760340877604943799e+01
1.744820571428775935e+01 1.760864610134806085e+01
1.844646857143059648e+01 1.761624111318088026e+01
1.944473142857343007e+01 1.762341577125700454e+01
2.044299428571626720e+01 1.761814684153490518e+01
2.144125714285910078e+01 1.761620282877629506e+01
2.243952000000193792e+01 1.761351770186233878e+01
2.343778285714477505e+01 1.760987222065913826e+01
2.443604571428760863e+01 1.760532935992074499e+01
2.543430857143044577e+01 1.760008481213580467e+01
2.643257142857328290e+01 1.759439460505135600e+01
2.743083428571611648e+01 1.758852888370115153e+01
2.842909714285895362e+01 1.758273351662407435e+01
2.942736000000179075e+01 1.757719518440838158e+01
3.042562285714462433e+01 1.757201894677096732e+01
3.142388571428746147e+01 1.756723625256837806e+01
3.242214857143029860e+01 1.756284690772390533e+01
3.342041142857313218e+01 1.755887931560553028e+01
3.441867428571596577e+01 1.755546745817007093e+01
3.541693714285880645e+01 1.755294793235670170e+01
3.641520000000164003e+01 1.755180252606517399e+01
3.741346285714447362e+01 1.755203691991937376e+01
3.841172571428731430e+01 1.755278300653807833e+01
3.940998857143014789e+01 1.755333090254923079e+01
4.040825142857298147e+01 1.755363799899595278e+01
4.140651428571581505e+01 1.755390564893015437e+01
4.240477714285865574e+01 1.755439374856628731e+01
4.340304000000148932e+01 1.755535164779130497e+01
4.440130285714432290e+01 1.755654763950615660e+01
4.539956571428716359e+01 1.755672127116934078e+01
4.639782857142999717e+01 1.755461804310564133e+01
4.739609142857283075e+01 1.755046515955820396e+01
4.839435428571567144e+01 1.754532816466558742e+01
4.939261714285850502e+01 1.754012842597865074e+01
