#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 55764.68
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
6.929999999993015081e-01 1.680675762935252138e+01
1.691410596025805013e+00 1.614648497345034173e+01
2.689821192052308518e+00 1.585519225551094280e+01
3.688231788078812023e+00 1.559723259979144849e+01
4.686642384105315529e+00 1.543426964243637656e+01
5.685052980131819034e+00 1.530774632613653807e+01
6.683463576158322539e+00 1.524474316374944038e+01
7.681874172184826044e+00 1.521343045682688633e+01
8.680284768211329549e+00 1.518064111188806997e+01
9.678695364237832166e+00 1.514980439758170050e+01
1.067710596026433656e+01 1.515290749522839775e+01
1.167551655629084095e+01 1.514591841289016649e+01
1.267392715231734357e+01 1.518536029200367921e+01
1.367233774834384619e+01 1.522085242626906698e+01
1.467074834437035058e+01 1.519095767808623343e+01
1.566915894039685497e+01 1.520795414365050036e+01
1.666756953642335759e+01 1.521464017431344118e+01
1.766598013244986021e+01 1.521919939052195758e+01
1.866439072847636282e+01 1.521564504943099472e+01
1.966280132450286899e+01 1.523133513118349924e+01
2.066121192052937161e+01 1.525039598582752021e+01
2.165962251655587423e+01 1.526120472385925098e+01
2.265803311258238040e+01 1.527323896963927297e+01
2.365644370860888301e+01 1.528737473849814243e+01
2.465485430463538563e+01 1.530497929704226934e+01
2.565326490066188825e+01 1.532766275290707014e+01
2.665167549668839087e+01 1.535660075756740106e+01
2.765008609271489703e+01 1.539153776782477223e+01
2.864849668874139965e+01 1.543008101259003872e+01
2.964690728476790227e+01 1.546824182258579938e+01
3.064531788079440844e+01 1.550245162398079124e+01
3.164372847682091106e+01 1.553156471441194242e+01
3.264213907284741367e+01 1.555692801023591620e+01
3.364054966887391629e+01 1.558066377644582978e+01
3.463896026490041891e+01 1.560403809891185212e+01
3.563737086092692152e+01 1.562710284927820936e+01
3.663578145695342414e+01 1.564938113890967131e+01
3.763419205297993386e+01 1.567057150046249347e+01
3.863260264900643648e+01 1.569032621907933667e+01
3.963101324503293910e+01 1.570784012075906055e+01
4.062942384105944171e+01 1.572248983446444370e+01
4.162783443708594433e+01 1.573436590902455734e+01
4.262624503311244695e+01 1.574391162102265440e+01
