#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56000.85
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
3.870000000024447218e-01 1.958741867305236894e+01
1.388022304835163867e+00 1.867301819937309304e+01
2.389044609667883012e+00 1.826899333140490000e+01
3.390066914500602380e+00 1.806234037491434918e+01
4.391089219333321303e+00 1.795140215371305459e+01
5.392111524166040226e+00 1.785770430738618231e+01
6.393133828998760038e+00 1.777595085844210843e+01
7.394156133831478961e+00 1.772910254904968141e+01
8.395178438664197884e+00 1.771387716926986045e+01
9.396200743496917696e+00 1.771120278111522239e+01
1.039722304832963573e+01 1.770780388159073837e+01
1.139824535316235554e+01 1.770874038460204147e+01
1.239926765799507535e+01 1.772076372488529117e+01
1.340028996282779339e+01 1.773586694649608120e+01
1.440131226766051320e+01 1.776941007316945687e+01
1.540233457249323124e+01 1.776845306816115055e+01
1.640335687732595105e+01 1.777002288637616445e+01
1.740437918215867086e+01 1.776633642732999618e+01
1.840540148699139067e+01 1.777457983343279579e+01
1.940642379182410693e+01 1.774903526906290807e+01
2.040744609665682674e+01 1.777786159990043657e+01
2.140846840148954655e+01 1.778499298156934216e+01
2.240949070632226636e+01 1.779120858673870131e+01
2.341051301115498617e+01 1.779634604002683318e+01
2.441153531598770599e+01 1.780085303022543641e+01
2.541255762082042224e+01 1.780533305328248161e+01
2.641357992565314206e+01 1.781032949465695481e+01
2.741460223048586187e+01 1.781627294786181537e+01
2.841562453531858168e+01 1.782346752653150546e+01
2.941664684015130149e+01 1.783208195605054769e+01
3.041766914498401775e+01 1.784212494227989154e+01
3.141869144981673756e+01 1.785339698151353360e+01
3.241971375464945737e+01 1.786548690607824241e+01
3.342073605948217363e+01 1.787792592990601648e+01
3.442175836431489699e+01 1.789040155893807338e+01
3.542278066914761325e+01 1.790277804475351431e+01
3.642380297398033662e+01 1.791498861730063652e+01
3.742482527881305288e+01 1.792699127774276491e+01
3.842584758364576913e+01 1.793876977750343116e+01
3.942686988847849250e+01 1.795032124106709048e+01
4.042789219331120876e+01 1.796164543805199543e+01
4.142891449814393212e+01 1.797276222205735507e+01
4.242993680297664838e+01 1.798372549079153870e+01
4.343095910780936464e+01 1.799460254143231808e+01
4.443198141264208800e+01 1.800545604733568084e+01
4.543300371747480426e+01 1.801636336361805846e+01
4.643402602230752763e+01 1.802747570182753734e+01
4.743504832714024388e+01 1.803908607576449441e+01
4.843607063197296725e+01 1.805154682680661082e+01
4.943709293680568351e+01 1.806490533136893717e+01
5.043811524163839977e+01 1.807877950151418744e+01
5.143913754647112313e+01 1.809279579295717255e+01
5.244015985130383939e+01 1.810683223160275546e+01
5.344118215613656275e+01 1.812090958939993612e+01
5.444220446096927901e+01 1.813511401525495259e+01
5.544322676580199527e+01 1.814960034194130856e+01
5.644424907063471863e+01 1.816429471780587690e+01
5.744527137546743489e+01 1.817782715687880213e+01
5.844629368030015826e+01 1.818775396065906236e+01
5.944731598513287452e+01 1.819382679993939078e+01
6.044833828996559077e+01 1.819808592423157734e+01
6.144936059479831414e+01 1.820228438381973746e+01
6.245038289963103040e+01 1.820717610089308636e+01
6.345140520446375376e+01 1.821281242773982356e+01
6.445242750929647002e+01 1.821896197005994011e+01
6.545344981412918628e+01 1.822576042574733890e+01
6.645447211896190254e+01 1.823434527880917244e+01
6.745549442379463301e+01 1.824648713593968452e+01
6.845651672862734927e+01 1.826325493385011711e+01
6.945753903346006553e+01 1.828437502670142933e+01
7.045856133829278178e+01 1.830866489322137269e+01
7.145958364312549804e+01 1.833459648745515125e+01
7.246060594795822851e+01 1.836071017529166127e+01
7.346162825279094477e+01 1.838594022172790332e+01
7.446265055762366103e+01 1.840969161014060518e+01
7.546367286245637729e+01 1.843167129754441191e+01
7.646469516728909355e+01 1.845173220899078714e+01
7.746571747212182402e+01 1.846997290000863146e+01
7.846673977695454028e+01 1.848711894807467004e+01
7.946776208178725653e+01 1.850464161880862690e+01
8.046878438661997279e+01 1.852392247106329393e+01
8.146980669145268905e+01 1.854538148200529335e+01
8.247082899628541952e+01 1.856878922790630781e+01
8.347185130111813578e+01 1.859397266540660354e+01
8.447287360595085204e+01 1.862112296420956881e+01
8.547389591078356830e+01 1.865094190067871693e+01
8.647491821561628456e+01 1.868480640878215127e+01
8.747594052044901503e+01 1.872439138848569229e+01
8.847696282528173128e+01 1.877043554176684381e+01
8.947798513011444754e+01 1.882217135499854521e+01
9.047900743494716380e+01 1.887821547235845898e+01
9.148002973977988006e+01 1.893747872532041754e+01
9.248105204461261053e+01 1.899938508433636031e+01
9.348207434944532679e+01 1.906377010962390628e+01
9.448309665427804305e+01 1.913069724881644618e+01
9.548411895911075931e+01 1.920014707643357355e+01
9.648514126394348978e+01 1.927157779875389565e+01
9.748616356877620603e+01 1.934353943733190206e+01
9.848718587360892229e+01 1.941347107137378103e+01
