#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56019.41
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
1.898999999997613486e+00 1.640513603339339710e+01
2.895348623850814818e+00 1.614790337262292752e+01
3.891697247704016149e+00 1.589885709900578981e+01
4.888045871557217481e+00 1.563945088864849708e+01
5.884394495410418813e+00 1.549817280698630917e+01
6.880743119263621033e+00 1.538137290768884213e+01
7.877091743116822364e+00 1.529742420301431238e+01
8.873440366970022808e+00 1.525106130907637336e+01
9.869788990823224140e+00 1.521290644745214848e+01
1.086613761467642725e+01 1.517891484492221110e+01
1.186248623852962858e+01 1.514495909033211518e+01
1.285883486238282991e+01 1.511109673409983500e+01
1.385518348623603124e+01 1.510316858910626792e+01
1.485153211008923257e+01 1.512684848071693189e+01
1.584788073394243391e+01 1.516941416191562375e+01
1.684422935779563346e+01 1.521241478550438408e+01
1.784057798164883479e+01 1.523318391837100627e+01
1.883692660550203968e+01 1.524348384821470148e+01
1.983327522935524101e+01 1.533240088033150350e+01
2.082962385320844234e+01 1.527696346630865776e+01
2.182597247706164367e+01 1.529435258859481195e+01
2.282232110091484500e+01 1.531270096349506815e+01
2.381866972476804634e+01 1.533407235265167223e+01
2.481501834862124767e+01 1.536083934824465480e+01
2.581136697247444900e+01 1.539386759367251756e+01
2.680771559632765033e+01 1.543252881140795729e+01
2.780406422018085166e+01 1.547568850662311668e+01
2.880041284403405299e+01 1.552209368509716825e+01
2.979676146788725433e+01 1.557012987592376518e+01
3.079311009174045566e+01 1.561753126822113025e+01
3.178945871559365699e+01 1.566171505581153767e+01
3.278580733944686187e+01 1.570074135906297741e+01
3.378215596330005610e+01 1.573380420828178217e+01
3.477850458715326454e+01 1.576074399295516848e+01
3.577485321100646587e+01 1.578136757102037180e+01
3.677120183485966720e+01 1.579523182032059481e+01
3.776755045871286853e+01 1.580206355920823924e+01
3.876389908256606986e+01 1.580271810720925352e+01
3.976024770641927120e+01 1.579960659763960074e+01
4.075659633027247253e+01 1.579551543055181284e+01
4.175294495412567386e+01 1.579225677807299810e+01
4.274929357797887519e+01 1.579067856329422348e+01
4.374564220183207652e+01 1.579130805350825462e+01
4.474199082568527785e+01 1.579480224461318372e+01
4.573833944953847919e+01 1.580202507171463822e+01
4.673468807339168052e+01 1.581364429085903112e+01
4.773103669724488185e+01 1.582952368650193797e+01
4.872738532109808318e+01 1.584867622265765341e+01
4.972373394495128451e+01 1.586986834096942189e+01
5.072008256880448585e+01 1.589214884129151528e+01
5.171643119265768718e+01 1.591496220877341905e+01
5.271277981651088851e+01 1.593804578214610501e+01
5.370912844036408984e+01 1.596131818068402453e+01
5.470547706421729117e+01 1.598481564583829062e+01
5.570182568807049250e+01 1.600865220465899696e+01
5.669817431192369384e+01 1.603296109018224058e+01
5.769452293577689517e+01 1.605781791144858772e+01
5.869087155963009650e+01 1.608321203576036140e+01
5.968722018348329783e+01 1.610909386819040279e+01
6.068356880733649916e+01 1.613543470991980300e+01
6.167991743118970049e+01 1.616225413395616428e+01
6.267626605504290183e+01 1.618962821142040553e+01
6.367261467889610316e+01 1.621769124587089905e+01
6.466896330274930449e+01 1.624659921874308921e+01
6.566531192660249872e+01 1.627638065532490330e+01
6.666166055045570715e+01 1.630677208860115002e+01
6.765800917430891559e+01 1.633746398627124918e+01
6.865435779816210982e+01 1.636850165890085052e+01
6.965070642201531825e+01 1.640016731617205892e+01
7.064705504586851248e+01 1.643267029388065836e+01
7.164340366972172092e+01 1.646594960513826322e+01
7.263975229357491514e+01 1.649974268918097309e+01
7.363610091742812358e+01 1.653438407494698126e+01
7.463244954128131781e+01 1.657156227874142829e+01
7.562879816513452624e+01 1.661290096725815602e+01
7.662514678898772047e+01 1.665840986115279776e+01
7.762149541284092891e+01 1.670732011073313572e+01
7.861784403669412313e+01 1.675927280279246645e+01
7.961419266054733157e+01 1.681466733786563239e+01
8.061054128440052580e+01 1.687437738649689578e+01
8.160688990825373423e+01 1.693872037773868300e+01
8.260323853210692846e+01 1.700628663901093063e+01
8.359958715596013690e+01 1.707482728553225471e+01
8.459593577981333112e+01 1.714314424723320940e+01
8.559228440366653956e+01 1.721107721154006853e+01
8.658863302751973379e+01 1.727875567043155058e+01
8.758498165137294222e+01 1.734637273323490803e+01
8.858133027522613645e+01 1.741415630495862032e+01
8.957767889907934489e+01 1.748178939955361955e+01
9.057402752293253911e+01 1.754691249533889774e+01
9.157037614678574755e+01 1.760551925611403590e+01
9.256672477063894178e+01 1.765597743448604007e+01
9.356307339449215021e+01 1.769975088005438835e+01
9.455942201834534444e+01 1.773869543521621139e+01
9.555577064219855288e+01 1.777391059433717047e+01
9.655211926605174710e+01 1.780581933154991603e+01
9.754846788990495554e+01 1.783431670088679866e+01
9.854481651375814977e+01 1.785889261551158924e+01
9.954116513761135820e+01 1.787899865230120255e+01
1.005375137614645524e+02 1.785903929918153565e+01
1.015338623853177609e+02 1.788000254368190056e+01
1.025302110091709551e+02 1.789898499050680414e+01
1.035265596330241635e+02 1.791643519044861321e+01
1.045229082568773578e+02 1.793278721828910705e+01
1.055192568807305662e+02 1.794843774611784326e+01
1.065156055045837604e+02 1.796372715013988852e+01
1.075119541284369689e+02 1.797892700007790978e+01
1.085083027522901631e+02 1.799423503364854682e+01
1.095046513761433715e+02 1.800977708669992694e+01
1.105009999999965657e+02 1.802561428860304105e+01
1.114973486238497742e+02 1.804175350663336275e+01
1.124936972477029684e+02 1.805815934940507006e+01
1.134900458715561768e+02 1.807476658246556767e+01
1.144863944954093711e+02 1.809149220758641974e+01
1.154827431192625795e+02 1.810824658564520107e+01
1.164790917431157737e+02 1.812494293436274617e+01
1.174754403669689822e+02 1.814150450001782033e+01
1.184717889908221764e+02 1.815786884966111714e+01
1.194681376146753848e+02 1.817398910796814349e+01
1.204644862385285791e+02 1.818983249584216821e+01
1.214608348623817875e+02 1.820537705295590314e+01
1.224571834862349817e+02 1.822060775261455845e+01
1.234535321100881902e+02 1.823551320018781396e+01
1.244498807339413844e+02 1.825008372529587675e+01
1.254462293577945928e+02 1.826431107379037755e+01
1.264425779816477871e+02 1.827818932790090756e+01
1.274389266055009955e+02 1.829171635836818766e+01
1.284352752293542039e+02 1.830489512323656953e+01
1.294316238532073839e+02 1.831773438803858056e+01
1.304279724770605924e+02 1.833024877320224988e+01
1.314243211009138008e+02 1.834245827405538876e+01
1.324206697247670093e+02 1.835438747070645249e+01
1.334170183486202177e+02 1.836606457384066005e+01
1.344133669724733977e+02 1.837752033280250430e+01
1.354097155963266061e+02 1.838878677051584631e+01
1.364060642201798146e+02 1.839989575710455938e+01
1.374024128440330230e+02 1.841087755158067196e+01
1.383987614678862030e+02 1.842175953148056422e+01
1.393951100917394115e+02 1.843256531923208641e+01
1.403914587155926199e+02 1.844331440623956553e+01
1.413878073394458283e+02 1.845402223919009188e+01
1.423841559632990084e+02 1.846470063725566746e+01
1.433805045871522168e+02 1.847535838060375468e+01
1.443768532110054252e+02 1.848600183537354624e+01
1.453732018348586337e+02 1.849663552767115959e+01
1.463695504587118137e+02 1.850726262477541795e+01
1.473658990825650221e+02 1.851788531427436624e+01
1.483622477064182306e+02 1.852850509007834745e+01
1.493585963302714390e+02 1.853912296169445284e+01
1.503549449541246190e+02 1.854973960412882761e+01
1.513512935779778275e+02 1.856035546368307010e+01
1.523476422018310359e+02 1.857097083182846120e+01
1.533439908256842443e+02 1.858158589634588509e+01
1.543403394495374243e+02 1.859220077643664126e+01
1.553366880733906328e+02 1.860281554661473180e+01
1.563330366972438412e+02 1.861343025281365726e+01
1.573293853210970497e+02 1.862404492316698068e+01
1.583257339449502297e+02 1.863465957524586969e+01
1.593220825688034381e+02 1.864527422108632493e+01
1.603184311926566465e+02 1.865588887106241245e+01
1.613147798165098550e+02 1.866650353754240754e+01
1.623111284403630350e+02 1.867711823929678516e+01
1.633074770642162434e+02 1.868773300782788382e+01
1.643038256880694519e+02 1.869834789718454715e+01
1.653001743119226603e+02 1.870896299945455610e+01
1.662965229357758403e+02 1.871957846904168576e+01
1.672928715596290488e+02 1.873019456009969019e+01
1.682892201834822572e+02 1.874081168319105473e+01
1.692855688073354656e+02 1.875143048945853508e+01
1.702819174311886457e+02 1.876205199343885610e+01
1.712782660550418541e+02 1.877267774915465282e+01
1.722746146788950625e+02 1.878331009815903130e+01
1.732709633027482710e+02 1.879395251218455343e+01
1.742673119266014510e+02 1.880461005544811570e+01
1.752636605504546594e+02 1.881528998934873442e+01
1.762600091743078679e+02 1.882600252980741118e+01
1.772563577981610763e+02 1.883676173692473554e+01
1.782527064220142563e+02 1.884758645937557020e+01
1.792490550458674647e+02 1.885850116842755853e+01
1.802454036697206732e+02 1.886953641099713508e+01
1.812417522935738816e+02 1.888072852935894730e+01
1.822381009174270616e+02 1.889211831142734255e+01
1.832344495412802701e+02 1.890374843007193206e+01
1.842307981651334785e+02 1.891565992007900832e+01
1.852271467889866869e+02 1.892788840657959781e+01
1.862234954128398670e+02 1.894046108716655397e+01
1.872198440366930754e+02 1.895339534850335994e+01
1.882161926605462838e+02 1.896669936019890557e+01
1.892125412843994923e+02 1.898037430865669606e+01
1.902088899082526723e+02 1.899441747421308690e+01
1.912052385321058807e+02 1.900882529838405333e+01
1.922015871559590892e+02 1.902359584576085538e+01
1.931979357798122976e+02 1.903873040788485937e+01
1.941942844036655060e+02 1.905423423755317458e+01
1.951906330275186860e+02 1.907011648199363663e+01
1.961869816513718945e+02 1.908638934949953381e+01
1.971833302752251029e+02 1.910306649440958182e+01
1.981796788990783114e+02 1.912016064198750342e+01
1.991760275229314914e+02 1.913768066182773708e+01
2.001723761467846998e+02 1.915562860678495483e+01
2.011687247706379083e+02 1.917399750264282687e+01
2.021650733944911167e+02 1.919277066435352097e+01
2.031614220183442967e+02 1.921192289897102157e+01
2.041577706421975051e+02 1.923142328798993361e+01
2.051541192660507136e+02 1.925123870070548548e+01
2.061504678899039220e+02 1.927133707782127914e+01
2.071468165137571020e+02 1.929168982963601309e+01
2.081431651376103105e+02 1.931227315433418568e+01
2.091395137614635189e+02 1.933306843652116669e+01
2.101358623853167273e+02 1.935406203328799535e+01
2.111322110091699074e+02 1.937524473877620679e+01
2.121285596330231158e+02 1.939661112947227295e+01
2.131249082568763242e+02 1.941815889944943763e+01
2.141212568807295327e+02 1.943988822676218575e+01
2.151176055045827127e+02 1.946180117247969932e+01
2.161139541284359211e+02 1.948390109574036089e+01
2.171103027522891296e+02 1.950619206435822761e+01
2.181066513761423380e+02 1.952867824581013423e+01
2.191029999999955180e+02 1.955136327478892255e+01
