#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56057.25
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
9.259999999994761311e-01 2.089952010886851141e+01
1.925791666666150981e+00 2.049998972837147448e+01
2.925583333332825831e+00 2.011122426043223044e+01
3.925374999999500236e+00 1.993598038310396703e+01
4.925166666666175530e+00 1.977521746564171323e+01
5.924958333332849492e+00 1.961265894965150025e+01
6.924749999999524341e+00 1.950890848930325561e+01
7.924541666666199191e+00 1.945984638945567724e+01
8.924333333332874929e+00 1.940691644523445447e+01
9.924124999999548891e+00 1.939789876180124040e+01
1.092391666666622285e+01 1.939167334920174568e+01
1.192370833333289859e+01 1.937507099568417956e+01
1.292349999999957255e+01 1.934662865829939093e+01
1.392329166666624829e+01 1.936219945160117462e+01
1.492308333333292225e+01 1.938542249530312844e+01
1.592287499999959799e+01 1.939343231654760658e+01
1.692266666666627373e+01 1.937434954963845257e+01
1.792245833333294769e+01 1.935529490998620261e+01
1.892224999999962165e+01 1.935602505341526935e+01
1.992204166666629561e+01 1.936072719060870995e+01
2.092183333333296957e+01 1.944547795382811728e+01
2.192162499999964709e+01 1.945728435083729124e+01
2.292141666666632105e+01 1.947019416117731794e+01
2.392120833333299501e+01 1.948521326749824567e+01
2.492099999999966897e+01 1.950428251856851602e+01
2.592079166666634293e+01 1.952815138738531786e+01
2.692058333333302045e+01 1.955234224132662391e+01
2.792037499999969441e+01 1.957346533587512738e+01
2.892016666666636837e+01 1.959296645566157125e+01
2.991995833333304233e+01 1.961252027839386614e+01
3.091974999999971985e+01 1.963275382485572251e+01
3.191954166666639381e+01 1.965359165522693274e+01
3.291933333333307132e+01 1.967432205613948781e+01
3.391912499999974528e+01 1.969366287993025821e+01
3.491891666666641925e+01 1.971091215514242023e+01
3.591870833333309321e+01 1.972751163166362431e+01
3.691849999999976717e+01 1.974560264302148838e+01
3.791829166666644113e+01 1.976578169562829856e+01
3.891808333333311509e+01 1.978759135949547954e+01
3.991787499999978905e+01 1.981063275985085070e+01
4.091766666666646302e+01 1.983500235174425086e+01
4.191745833333313698e+01 1.986134464041753489e+01
4.291724999999981804e+01 1.989035982593155438e+01
4.391704166666649201e+01 1.992153319286094160e+01
4.491683333333316597e+01 1.995307963244731297e+01
4.591662499999983993e+01 1.998390565847223144e+01
4.691641666666651389e+01 2.001408806972572307e+01
4.791620833333318785e+01 2.004393668814447693e+01
4.891599999999986181e+01 2.007357244810865282e+01
4.991579166666653578e+01 2.010323333060060591e+01
5.091558333333320974e+01 2.013394031652596894e+01
5.191537499999989080e+01 2.016674171642965518e+01
5.291516666666656477e+01 2.020042595453413270e+01
5.391495833333323873e+01 2.023252820462461798e+01
5.491474999999991269e+01 2.026122207212068105e+01
5.591454166666658665e+01 2.028512474279674294e+01
5.691433333333326061e+01 2.030306122834911164e+01
5.791412499999993457e+01 2.031455925021496256e+01
5.891391666666660853e+01 2.032035872497378293e+01
5.991370833333328250e+01 2.032208988418477702e+01
6.091349999999996356e+01 2.032139249168925232e+01
6.191329166666663752e+01 2.031940631428558675e+01
6.291308333333331149e+01 2.031685694521299723e+01
6.391287499999998545e+01 2.031441956818775907e+01
6.491266666666666652e+01 2.031321428237578530e+01
6.591245833333333337e+01 2.031532627040627048e+01
6.691225000000001444e+01 2.032345244569850706e+01
6.791204166666668129e+01 2.033874313093484076e+01
6.891183333333336236e+01 2.035945642869880601e+01
6.991162500000002922e+01 2.038293438754596210e+01
7.091141666666671028e+01 2.040760158406780533e+01
7.191120833333337714e+01 2.043298304446842195e+01
7.291100000000005821e+01 2.045905347518808171e+01
7.391079166666672506e+01 2.048574472000021984e+01
7.491058333333340613e+01 2.051271849995138652e+01
7.591037500000008720e+01 2.053950148800579001e+01
7.691016666666675405e+01 2.056582469340202834e+01
7.790995833333343512e+01 2.059173348224636513e+01
7.890975000000010198e+01 2.061741723980572516e+01
7.990954166666678304e+01 2.064303608406539681e+01
8.090933333333344990e+01 2.066866881353064400e+01
8.190912500000013097e+01 2.069433519381577113e+01
8.290891666666679782e+01 2.072002992107436370e+01
8.390870833333347889e+01 2.074574293948693793e+01
8.490850000000015996e+01 2.077146575584504617e+01
8.590829166666682681e+01 2.079718662891047032e+01
8.690808333333350788e+01 2.082286300936938161e+01
8.790787500000017474e+01 2.084831602312100785e+01
8.890766666666685580e+01 2.087290783162852392e+01
8.990745833333352266e+01 2.089502758610433375e+01
9.090725000000020373e+01 2.091292308764884211e+01
9.190704166666687058e+01 2.092801157475594565e+01
9.290683333333355165e+01 2.094375899083597048e+01
9.390662500000023272e+01 2.096137535818104425e+01
9.490641666666689957e+01 2.098024017894442395e+01
9.590620833333358064e+01 2.099892452891398165e+01
9.690600000000024750e+01 2.101508301706394732e+01
9.790579166666692856e+01 2.102818340788486751e+01
9.890558333333359542e+01 2.104719993487907104e+01
9.990537500000027649e+01 2.108234855779253891e+01
1.009051666666669433e+02 2.119559816458353296e+01
1.019049583333336244e+02 2.122560274685800863e+01
1.029047500000003055e+02 2.125659803468700559e+01
1.039045416666669723e+02 2.128876858601266520e+01
1.049043333333336534e+02 2.132210620889570407e+01
1.059041250000003203e+02 2.135638583712234606e+01
1.069039166666670013e+02 2.139120623056703963e+01
1.079037083333336682e+02 2.142606817279981613e+01
1.089035000000003492e+02 2.146045504251896929e+01
1.099032916666670161e+02 2.149389377829337633e+01
1.109030833333336972e+02 2.152599127263547274e+01
1.119028750000003782e+02 2.155645051614869701e+01
1.129026666666670451e+02 2.158507196608401912e+01
1.139024583333337262e+02 2.161174372622212303e+01
1.149022500000003930e+02 2.163642335892502189e+01
1.159020416666670741e+02 2.165911524901699892e+01
1.169018333333337409e+02 2.167984866947500677e+01
1.179016250000004220e+02 2.169866124462373591e+01
1.189014166666670889e+02 2.171559015356839595e+01
1.199012083333337699e+02 2.173067041327434623e+01
1.209010000000004510e+02 2.174393737678169813e+01
1.219007916666671179e+02 2.175542987025831465e+01
1.229005833333337989e+02 2.176519103547611422e+01
1.239003750000004658e+02 2.177326538904594599e+01
1.249001666666671468e+02 2.177969225894013405e+01
1.258999583333338137e+02 2.178449713375603736e+01
1.268997500000004948e+02 2.178768324802092948e+01
1.278995416666671616e+02 2.178922580338528547e+01
1.288993333333338569e+02 2.178907066023924699e+01
1.298991250000005095e+02 2.178713835092092665e+01
1.308989166666671906e+02 2.178333315742065679e+01
1.318987083333338717e+02 2.177755602881626373e+01
1.328985000000005527e+02 2.176971945762566207e+01
1.338982916666672054e+02 2.175976215206248554e+01
1.348980833333338865e+02 2.174766141617096693e+01
1.358978750000005675e+02 2.173344152979463217e+01
1.368976666666672486e+02 2.171717704192695564e+01
