#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56112.92
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
-7.509999999994761311e+00 2.143000000000004590e+01
-6.506999999994766526e+00 2.125884526176275813e+01
-5.503999999994771741e+00 2.108769052352552364e+01
-4.500999999994777845e+00 2.091653578528840640e+01
-3.497999999994783060e+00 2.074538104806097394e+01
-2.494999999994788276e+00 2.057427814834150936e+01
-1.491999999994794379e+00 2.042710329626412857e+01
-4.889999999947995946e-01 2.036429558825499697e+01
5.140000000051951901e-01 2.036213417209001975e+01
1.517000000005189975e+00 1.875838222828655688e+01
2.520000000005184759e+00 1.826980322626963726e+01
3.523000000005179544e+00 1.807785661040509595e+01
4.526000000005172552e+00 1.795075443067021936e+01
5.529000000005167337e+00 1.788316282656743184e+01
6.532000000005162121e+00 1.785609335045944945e+01
7.535000000005156906e+00 1.786157189676129420e+01
8.538000000005151691e+00 1.780671227279131585e+01
9.541000000005144699e+00 1.775264933369863485e+01
1.054400000000514126e+01 1.775204773566296979e+01
1.154700000000513427e+01 1.772608585765130229e+01
1.255000000000513083e+01 1.770640832793695552e+01
1.355300000000512384e+01 1.768938331858218405e+01
1.455600000000512040e+01 1.767857871351719368e+01
1.555900000000511341e+01 1.767180346774581778e+01
1.656200000000510641e+01 1.764951556155850909e+01
1.756500000000510298e+01 1.761891868879057199e+01
1.856800000000509598e+01 1.760425819311539186e+01
1.957100000000509255e+01 1.760619607217657290e+01
2.057400000000508555e+01 1.761955637680113540e+01
2.157700000000508211e+01 1.761594129323627556e+01
2.258000000000507512e+01 1.761364694616436566e+01
2.358300000000507168e+01 1.761251809340144803e+01
2.458600000000506469e+01 1.761241745816271020e+01
2.558900000000505770e+01 1.761322520314323015e+01
2.659200000000505071e+01 1.761487488731948758e+01
2.759500000000505082e+01 1.761736943826290513e+01
2.859800000000504383e+01 1.762070117146205206e+01
2.960100000000503684e+01 1.762476440072787653e+01
3.060400000000502985e+01 1.762940015021660756e+01
3.160700000000502996e+01 1.763446199464365094e+01
3.261000000000502297e+01 1.763983186861229058e+01
3.361300000000501598e+01 1.764547344406737039e+01
3.461600000000500899e+01 1.765157708423269511e+01
3.561900000000500199e+01 1.765861837649631028e+01
3.662200000000500211e+01 1.766697809605721758e+01
3.762500000000499512e+01 1.767637804333203988e+01
3.862800000000498812e+01 1.768592982704922179e+01
3.963100000000498113e+01 1.769466522119113350e+01
4.063400000000497414e+01 1.770189243808306045e+01
4.163700000000497425e+01 1.770728721119363058e+01
4.264000000000496726e+01 1.771087355395607688e+01
4.364300000000496027e+01 1.771293970218422231e+01
4.464600000000495328e+01 1.771390607086776470e+01
4.564900000000495339e+01 1.771420423624873308e+01
4.665200000000494640e+01 1.771421670578820340e+01
4.765500000000493941e+01 1.771427416491680873e+01
4.865800000000493242e+01 1.771466699359903529e+01
4.966100000000492543e+01 1.771561239921849307e+01
5.066400000000492554e+01 1.771714016806932790e+01
5.166700000000491855e+01 1.771897746380312455e+01
5.267000000000491156e+01 1.772065382838852088e+01
5.367300000000490456e+01 1.772185367397673161e+01
5.467600000000490468e+01 1.772262603871469011e+01
5.567900000000489769e+01 1.772323014593920831e+01
5.668200000000489069e+01 1.772388643088647697e+01
5.768500000000489081e+01 1.772469566095986337e+01
5.868800000000487671e+01 1.772578293012822215e+01
5.969100000000487682e+01 1.772759574584032194e+01
6.069400000000486273e+01 1.773085232751816775e+01
6.169700000000486284e+01 1.773588689990572576e+01
6.270000000000486295e+01 1.774246075173784121e+01
6.370300000000484886e+01 1.775019923055370086e+01
6.470600000000484897e+01 1.775888309313922875e+01
6.570900000000483487e+01 1.776850440720377122e+01
6.671200000000483499e+01 1.777916785180400083e+01
6.771500000000483510e+01 1.779083195797227646e+01
6.871800000000482100e+01 1.780322448136062974e+01
6.972100000000482112e+01 1.781637897152956995e+01
7.072400000000482123e+01 1.783118731585193473e+01
7.172700000000480713e+01 1.784909152270970623e+01
7.273000000000480725e+01 1.787130911188007687e+01
7.373300000000479315e+01 1.789828887981159156e+01
7.473600000000479326e+01 1.792945156261406936e+01
7.573900000000479338e+01 1.796286934876541963e+01
7.674200000000477928e+01 1.799459159264574026e+01
7.774500000000477939e+01 1.801805767056135466e+01
7.874800000000476530e+01 1.802535967499942515e+01
7.975100000000476541e+01 1.801182970251419846e+01
8.075400000000476552e+01 1.798109232818480763e+01
