#  days V
# ref= XXXXX
# jd_expl= 0
# if missing data (gap 1000 days), interpolate 
# type=  smooth 
# ebv= 0.0
# 
0.000000000000000000e+00 3.177270702650543654e+01
1.011235955056179803e+00 2.443139160877184324e+01
2.022471910112359605e+00 2.437726217726267919e+01
3.033707865168539186e+00 2.543081382349270214e+01
4.044943820224719211e+00 2.548342217679569188e+01
5.056179775280899236e+00 2.500410591034882657e+01
6.067415730337078372e+00 2.451906898178336647e+01
7.078651685393258397e+00 2.429746857752813227e+01
8.089887640449438422e+00 2.409506834098146300e+01
9.101123595505617558e+00 2.367134173920080897e+01
1.011235955056179847e+01 2.357546028117983994e+01
1.112359550561797761e+01 2.336846984105448755e+01
1.213483146067415674e+01 2.322328375356115870e+01
1.314606741573033766e+01 2.307925429251582017e+01
1.415730337078651679e+01 2.296002053439940127e+01
1.516853932584269771e+01 2.285794949890616223e+01
1.617977528089887684e+01 2.278796739243389879e+01
1.719101123595505598e+01 2.273053987704477308e+01
1.820224719101123512e+01 2.268616642530900762e+01
1.921348314606741781e+01 2.266730638479150528e+01
2.022471910112359694e+01 2.265264914888987846e+01
2.123595505617977608e+01 2.262395509373014590e+01
2.224719101123595522e+01 2.260504250954853589e+01
2.325842696629213435e+01 2.260321876986769141e+01
2.426966292134831349e+01 2.261325325109174855e+01
2.528089887640449618e+01 2.264093454175032250e+01
2.629213483146067531e+01 2.269477744083084048e+01
2.730337078651685445e+01 2.276541421387872788e+01
2.831460674157303359e+01 2.284271924314955626e+01
2.932584269662921272e+01 2.292644190412775984e+01
3.033707865168539541e+01 2.300182162150186116e+01
3.134831460674157455e+01 2.306025033564826998e+01
3.235955056179775369e+01 2.311461749532444188e+01
3.337078651685393282e+01 2.316387433302594090e+01
3.438202247191011196e+01 2.320791096686012978e+01
3.539325842696629110e+01 2.323452071411993813e+01
3.640449438202247023e+01 2.323983789864040972e+01
3.741573033707864937e+01 2.324676956320935162e+01
3.842696629213483561e+01 2.325473529501401160e+01
3.943820224719101475e+01 2.326138552352510303e+01
4.044943820224719389e+01 2.328267577259099852e+01
4.146067415730337302e+01 2.332258393550496578e+01
4.247191011235955216e+01 2.336193304102530277e+01
4.348314606741573130e+01 2.339631493615482327e+01
4.449438202247191043e+01 2.343200532148478388e+01
4.550561797752808957e+01 2.348457094103370579e+01
4.651685393258426870e+01 2.355125375607298466e+01
4.752808988764044784e+01 2.362519835329405993e+01
4.853932584269662698e+01 2.369971315149385305e+01
4.955056179775281322e+01 2.377207660114764209e+01
5.056179775280899236e+01 2.384687033631629305e+01
5.157303370786517149e+01 2.391686227253217112e+01
5.258426966292135063e+01 2.397843737758961069e+01
5.359550561797752977e+01 2.404072683896096407e+01
5.460674157303370890e+01 2.410452860918424278e+01
5.561797752808988804e+01 2.417115825479469748e+01
5.662921348314606718e+01 2.423573304527304373e+01
5.764044943820224631e+01 2.428890358563732832e+01
5.865168539325842545e+01 2.433548760707807901e+01
5.966292134831461169e+01 2.437777693781828248e+01
6.067415730337079083e+01 2.442307193483748051e+01
6.168539325842696996e+01 2.447571224706782544e+01
6.269662921348314910e+01 2.453407216269402369e+01
6.370786516853932824e+01 2.458471069817660748e+01
6.471910112359550737e+01 2.462458879511323673e+01
6.573033707865168651e+01 2.465762999120367738e+01
6.674157303370786565e+01 2.468685998675660542e+01
6.775280898876404478e+01 2.471254694489576664e+01
6.876404494382022392e+01 2.474581009907777585e+01
6.977528089887640306e+01 2.478564195970291451e+01
7.078651685393258219e+01 2.482539032868824691e+01
7.179775280898876133e+01 2.486356370462810617e+01
7.280898876404494047e+01 2.489690673371485730e+01
7.382022471910111960e+01 2.493149733323989636e+01
7.483146067415729874e+01 2.496515635111240172e+01
7.584269662921349209e+01 2.500313466751219593e+01
7.685393258426967122e+01 2.504031198466453745e+01
7.786516853932585036e+01 2.507786911730793733e+01
7.887640449438202950e+01 2.511120273541175862e+01
7.988764044943820863e+01 2.514401778405333232e+01
8.089887640449438777e+01 2.516737549691818288e+01
8.191011235955056691e+01 2.518289799495533998e+01
8.292134831460674604e+01 2.520534220580601925e+01
8.393258426966292518e+01 2.522948714919891344e+01
8.494382022471910432e+01 2.524856577655538459e+01
8.595505617977528345e+01 2.526880484789808534e+01
8.696629213483146259e+01 2.528787614523023208e+01
8.797752808988764173e+01 2.530272055654414842e+01
8.898876404494382086e+01 2.532200021426146108e+01
9.000000000000000000e+01 2.534337808949381454e+01
