# day r'
# ref=Nugent et al 202, Kasen 2010, Bianco et al. 2011
# jd_expl=   0   
# type= smooth
0 31.7727078637  
1 24.3385742341  
2 24.3440276953  
3 25.4329366682  
4 25.5056022614  
5 25.0320318618  
6 24.5347103126  
7 24.3115281504  
8 24.1347162417  
9 23.6813180585  
10 23.5987201441 
11 23.3865156047 
12 23.2429691403 
13 23.0968891547 
14 22.9768567853 
15 22.8701264827 
16 22.7985389723 
17 22.7399356635 
18 22.6908649727 
19 22.6678964311 
20 22.6652977365 
21 22.6279963234 
22 22.6024342504 
23 22.6          
24 22.6067182988 
25 22.6231633324 
26 22.6708500631 
27 22.743006767  
28 22.8154345116 
29 22.8981251778 
30 22.9867455659 
31 23.0414417626 
32 23.0958267998 
33 23.1496706661 
34 23.1902333049 
35 23.2404400395 
36 23.2357563378 
37 23.2435867709 
38 23.2510551112 
39 23.260512535  
40 23.2588334806 
41 23.3051251236 
42 23.3439515796 
43 23.3834870538 
44 23.4101769989 
45 23.449489935  
46 23.5154291255 
47 23.582959619  
48 23.6630443561 
49 23.7316739767 
50 23.8040784028 
51 23.8816330691 
52 23.9452953934 
53 24.0012667913 
54 24.0676335986 
55 24.1272646367 
56 24.1989870755 
57 24.2603345817 
58 24.3057068091 
59 24.3528859552 
60 24.3890842673 
61 24.4382494329 
62 24.4909475694 
63 24.5557666058 
64 24.5983951365 
65 24.6364285046 
66 24.6656905725 
67 24.6959845883 
68 24.7149126384 
69 24.754544616  
70 24.7949015967 
71 24.8336382458 
72 24.873173216  
73 24.9008405883 
74 24.9399122508 
75 24.9676003423 
76 25.0115670178 
77 25.043660777  
78 25.0858250148 
79 25.1129715483 
80 25.1514848092 
81 25.1716112258 
82 25.1804960993 
83 25.2075164095 
84 25.2333706834 
85 25.2481034196 
86 25.2700081806 
87 25.2909036147 
88 25.3003542341 
89 25.3223167511 
90 25.343366685  
