#  days V
# ref=  xxxxx 
# jd_expl= 0.0
# if missing data (gap 0.5 days), interpolate 
# type=  smooth 
# ebv= 0.354838709677
# 
5.000000000000000000e-01 1.177799092463019548e+01
1.507421657458482889e+00 1.178908988516626799e+01
2.514843314916965777e+00 1.187817719212705470e+01
3.522264972375448444e+00 1.182586105752496408e+01
4.529686629833931555e+00 1.176344273859250755e+01
5.537108287292414666e+00 1.184576840337022041e+01
6.544529944750896888e+00 1.195153375657712935e+01
7.551951602209379999e+00 1.188188627779745410e+01
8.559373259667863110e+00 1.176491860061597983e+01
9.566794917126346220e+00 1.176186467343361741e+01
1.057421657458482933e+01 1.182749062393594919e+01
1.158163823204331244e+01 1.159134734549876455e+01
1.258905988950179378e+01 1.075933879256372805e+01
1.359648154696027689e+01 9.253542713959049593e+00
1.460390320441876000e+01 8.925449707792132870e+00
1.561132486187724311e+01 9.006791674095078193e+00
1.661874651933572622e+01 9.092679247884362326e+00
1.762616817679420933e+01 9.341608448304006274e+00
1.863358983425269244e+01 9.681406734392265179e+00
1.964101149171117555e+01 1.012682501818629710e+01
2.064843314916965866e+01 1.054445199079783890e+01
2.165585480662814177e+01 1.095225937508021730e+01
2.266327646408662488e+01 1.130885706692246018e+01
2.367069812154510799e+01 1.153661145127378163e+01
2.467811977900358755e+01 1.174915473215490991e+01
2.568554143646207066e+01 1.191031813380270066e+01
2.669296309392055377e+01 1.191930312493229671e+01
2.770038475137903689e+01 1.191719229105040512e+01
2.870780640883752000e+01 1.193029639672421993e+01
2.971522806629600311e+01 1.193925920782620587e+01
3.072264972375448622e+01 1.191630300447894442e+01
3.173007138121296933e+01 1.182476545380355226e+01
3.273749303867145244e+01 1.175145874053753658e+01
3.374491469612993200e+01 1.169986191478040993e+01
3.475233635358841866e+01 1.165030884400074740e+01
3.575975801104689822e+01 1.161302039214833748e+01
3.676717966850538488e+01 1.148194856382278850e+01
3.777460132596386444e+01 1.130693284630747186e+01
3.878202298342235110e+01 1.145554641871641088e+01
3.978944464088083066e+01 1.177891075790427422e+01
4.079686629833931732e+01 1.195444238870233455e+01
4.180428795579779688e+01 1.203075867420998435e+01
4.281170961325628355e+01 1.200264462989278158e+01
4.381913127071476310e+01 1.180919846735605283e+01
4.482655292817324977e+01 1.120392760920836395e+01
4.583397458563172933e+01 1.004957367797136669e+01
4.684139624309021599e+01 9.024654992453257307e+00
4.784881790054869555e+01 8.748584673320468852e+00
4.885623955800717511e+01 8.656671758564623786e+00
4.986366121546566177e+01 8.549578793012639011e+00
5.087108287292414133e+01 8.520863567060406041e+00
5.187850453038262799e+01 8.569918374598053390e+00
5.288592618784110755e+01 8.628955892908120262e+00
5.389334784529959421e+01 8.720848834133422045e+00
5.490076950275807377e+01 8.869624603348515990e+00
5.590819116021656043e+01 9.094438318313608605e+00
5.691561281767503999e+01 9.342131844330609169e+00
5.792303447513352666e+01 9.590484612471852799e+00
5.893045613259200621e+01 9.839603801481565881e+00
5.993787779005049288e+01 1.012554456033220873e+01
6.094529944750897243e+01 1.051464117946655996e+01
6.195272110496745910e+01 1.097484290679544117e+01
6.296014276242593866e+01 1.141425068980176150e+01
6.396756441988442532e+01 1.179608838017957595e+01
6.497498607734290488e+01 1.196801132202575246e+01
6.598240773480138444e+01 1.204512680185934848e+01
6.698982939225986399e+01 1.204740522056588325e+01
6.799725104971835776e+01 1.203717305686405403e+01
6.900467270717683732e+01 1.209558989598381729e+01
7.001209436463531688e+01 1.219281774572379895e+01
7.101951602209379644e+01 1.229278165318010707e+01
7.202693767955229021e+01 1.238561281719388774e+01
7.303435933701076976e+01 1.237484125607444518e+01
