#  days V
# ref= Sokoloski et al. 2013
# jd_expl= 0.0
# if missing data (gap 0.5 days), interpolate 
# type=  smooth 
# ebv= 0.354838709677
# 
5.000000000000000000e-01 1.132045317819389396e+01
1.503538383838880499e+00 8.313924927587915903e+00
2.507076767677760998e+00 7.816534534726889305e+00
3.510615151516641497e+00 7.824391226433364821e+00
4.514153535355521996e+00 7.681095638454007002e+00
5.517691919194402494e+00 7.590895888808590009e+00
6.521230303033282993e+00 7.576554489029438066e+00
7.524768686872163492e+00 7.572266640546868821e+00
8.528307070711043991e+00 7.581538840755182918e+00
9.531845454549923602e+00 7.636075049702544248e+00
1.053538383838880499e+01 7.605545252849235993e+00
1.153892222222768638e+01 7.631645991853535094e+00
1.254246060606656599e+01 7.391471517502714583e+00
1.354599898990544560e+01 7.613053360321055507e+00
1.454953737374432698e+01 7.417671990481486510e+00
1.555307575758320837e+01 7.099995507374602610e+00
1.655661414142208798e+01 7.126574553076127749e+00
1.756015252526096759e+01 7.027939188836102247e+00
1.856369090909984720e+01 6.835374770982301840e+00
1.956722929293873037e+01 6.754299556946702587e+00
2.057076767677760998e+01 6.698041220256242489e+00
2.157430606061648959e+01 6.682470375391756257e+00
2.257784444445537275e+01 6.847002017491139014e+00
2.358138282829425236e+01 7.009864663458735379e+00
2.458492121213313197e+01 6.948646917810300749e+00
2.558845959597201158e+01 6.837515507885302490e+00
2.659199797981089120e+01 6.664258397361844999e+00
2.759553636364977436e+01 6.548504525804857757e+00
2.859907474748865397e+01 6.409062014915082983e+00
2.960261313132753358e+01 6.518391647638106079e+00
3.060615151516641674e+01 6.556518950299810911e+00
3.160968989900529635e+01 6.568706888405555055e+00
3.261322828284417596e+01 6.796782337085581105e+00
3.361676666668305558e+01 7.089119326264289533e+00
3.462030505052193519e+01 7.115303991844425191e+00
3.562384343436081480e+01 7.302692227861031782e+00
3.662738181819969441e+01 7.343200021474821426e+00
3.763092020203858112e+01 7.271152537968513130e+00
3.863445858587746073e+01 7.245336792410104643e+00
3.963799696971634035e+01 7.326823007483089789e+00
4.064153535355521996e+01 7.275176126720474201e+00
4.164507373739409957e+01 7.256126913793863764e+00
4.264861212123297918e+01 7.307251996506292535e+00
4.365215050507185879e+01 7.428876483514955886e+00
4.465568888891074550e+01 7.728558605847736906e+00
4.565922727274962512e+01 7.856371835692723238e+00
4.666276565658850473e+01 7.863662637870684868e+00
4.766630404042738434e+01 7.842887759184520746e+00
4.866984242426626395e+01 7.940676276324984961e+00
4.967338080810514356e+01 7.812530300851522114e+00
5.067691919194402317e+01 7.771448904514925538e+00
5.168045757578290278e+01 7.663712909358542547e+00
5.268399595962178239e+01 7.520412545469602250e+00
5.368753434346066911e+01 7.512067668239478024e+00
5.469107272729954872e+01 7.520163484625195238e+00
5.569461111113842833e+01 7.465776180865772105e+00
5.669814949497730794e+01 7.477001912199157552e+00
5.770168787881618755e+01 7.609551232927204367e+00
5.870522626265506716e+01 7.606407679101172548e+00
5.970876464649394677e+01 7.683569506529034143e+00
6.071230303033283349e+01 7.812951340763222952e+00
6.171584141417171310e+01 7.858526208539641900e+00
6.271937979801059271e+01 7.864781826291666889e+00
6.372291818184947232e+01 7.928173166016843965e+00
6.472645656568835193e+01 8.010457441049434024e+00
6.572999494952723865e+01 8.097908599487050552e+00
6.673353333336611115e+01 8.098162011080518141e+00
6.773707171720499787e+01 8.060138465185687551e+00
6.874061010104387037e+01 8.043897979366750661e+00
6.974414848488275709e+01 8.033959110919038693e+00
7.074768686872162959e+01 8.124699579710869202e+00
7.175122525256051631e+01 8.222259605859740361e+00
7.275476363639938882e+01 8.280578523246823863e+00
7.375830202023827553e+01 8.427434946757003331e+00
7.476184040407716225e+01 8.652551401041304047e+00
7.576537878791603475e+01 8.587483066461178538e+00
7.676891717175492147e+01 8.359411997201199540e+00
