#  days V
# ref= Finzell, Chomiuk, et al in prep
# jd_expl= 0.0
# if missing data (gap 1 days), interpolate 
# type=  smooth 
# ebv= 1.16129032258
# 
5.000000000000000000e-01 1.350578124520690793e+01
1.497372131145818797e+00 1.300302063045963763e+01
2.494744262291637593e+00 1.260007912818115727e+01
3.492116393437456168e+00 1.215602441224466190e+01
4.489488524583275186e+00 1.168588387572485843e+01
5.486860655729094205e+00 1.131198480722883559e+01
6.484232786874912335e+00 1.112921911821637266e+01
7.481604918020731354e+00 1.086348702868451532e+01
8.478977049166550373e+00 1.071642613641181185e+01
9.476349180312368503e+00 1.057274844346687281e+01
1.047372131145818841e+01 1.052934020629670009e+01
1.147109344260400654e+01 1.054485192774442126e+01
1.246846557374982467e+01 1.046988583136413098e+01
1.346583770489564458e+01 1.031304108986103074e+01
1.446320983604146271e+01 1.029831285262992679e+01
1.546058196718728261e+01 1.028838450733286791e+01
1.645795409833310075e+01 1.015181664910316428e+01
1.745532622947892065e+01 1.018316556563467579e+01
1.845269836062473701e+01 1.027576522247443691e+01
1.945007049177055691e+01 1.029990996238822198e+01
2.044744262291637682e+01 1.041601560506306079e+01
2.144481475406219317e+01 1.047954977826654854e+01
2.244218688520801308e+01 1.054439229603700312e+01
2.343955901635383299e+01 1.060677603470835528e+01
2.443693114749964934e+01 1.066716672095734708e+01
2.543430327864546925e+01 1.072626753650379960e+01
2.643167540979128916e+01 1.078370351780164427e+01
2.742904754093710906e+01 1.083805167124000945e+01
2.842641967208292542e+01 1.088739313772775930e+01
2.942379180322874532e+01 1.093103112096266472e+01
3.042116393437456523e+01 1.097158906183977400e+01
3.141853606552038158e+01 1.101391066729093637e+01
3.241590819666620149e+01 1.106190987112792889e+01
3.341328032781201784e+01 1.111794946568875098e+01
3.441065245895784130e+01 1.118389388679242913e+01
3.540802459010365766e+01 1.126148626234209971e+01
3.640539672124947401e+01 1.135177487986218914e+01
3.740276885239529747e+01 1.145453802961769085e+01
3.840014098354111383e+01 1.156881437085373321e+01
3.939751311468693018e+01 1.169409791465461446e+01
4.039488524583275364e+01 1.183075956344292123e+01
4.139225737697856999e+01 1.197997292187596940e+01
4.238962950812438635e+01 1.214424255725203317e+01
4.338700163927020981e+01 1.232828896040050282e+01
4.438437377041602616e+01 1.253897354169149381e+01
4.538174590156184252e+01 1.278342052240716953e+01
4.637911803270766598e+01 1.306626948102368502e+01
4.737649016385348233e+01 1.338793006590811530e+01
4.837386229499929868e+01 1.374484241566072029e+01
4.937123442614512214e+01 1.413136502768841041e+01
5.036860655729093850e+01 1.454181867507586823e+01
5.136597868843676196e+01 1.497176573847263903e+01
5.236335081958257831e+01 1.541951269527545776e+01
5.336072295072839466e+01 1.588935167418097549e+01
5.435809508187421812e+01 1.639492603018985051e+01
5.535546721302003448e+01 1.695598478961728617e+01
5.635283934416585083e+01 1.758561660277148420e+01
5.735021147531167429e+01 1.827913846844235479e+01
5.834758360645749065e+01 1.901464149478350052e+01
5.934495573760330700e+01 1.975931155755196045e+01
6.034232786874913046e+01 2.047402577075501284e+01
6.133969999989494681e+01 2.111775867100894288e+01
6.233707213104076317e+01 2.165502404251160584e+01
6.333444426218658663e+01 2.206345037575239232e+01
6.433181639333240298e+01 2.233589259763462920e+01
6.532918852447822644e+01 2.247696339476821237e+01
6.632656065562403569e+01 2.249897457792723898e+01
6.732393278676985915e+01 2.242105222321074010e+01
6.832130491791568261e+01 2.227107603410881609e+01
6.931867704906149186e+01 2.208679169533129993e+01
7.031604918020731532e+01 2.191156759327704151e+01
7.131342131135313878e+01 2.178392573386484443e+01
7.231079344249894802e+01 2.172675795199025828e+01
7.330816557364477148e+01 2.174371755332370171e+01
7.430553770479059494e+01 2.182320395966312532e+01
7.530290983593640419e+01 2.194434292237189155e+01
7.630028196708222765e+01 2.208127738620642333e+01
7.729765409822805111e+01 2.220652198303557512e+01
7.829502622937386036e+01 2.229486753359866569e+01
7.929239836051968382e+01 2.232698817665347946e+01
8.028977049166550728e+01 2.229121193549126190e+01
8.128714262281131653e+01 2.218430755630703288e+01
8.228451475395713999e+01 2.201354063534194694e+01
8.328188688510296345e+01 2.179986358228256904e+01
8.427925901624877270e+01 2.157755435930794263e+01
8.527663114739459616e+01 2.138549770599823319e+01
8.627400327854041961e+01 2.125445251688050519e+01
8.727137540968622886e+01 2.120029017768577617e+01
8.826874754083205232e+01 2.122485751010050947e+01
8.926611967197787578e+01 2.131845648435449192e+01
9.026349180312368503e+01 2.146058401741406740e+01
9.126086393426950849e+01 2.162128240646898192e+01
9.225823606541533195e+01 2.176662792692075854e+01
9.325560819656114120e+01 2.186738977273276419e+01
9.425298032770696466e+01 2.190694370016036530e+01
9.525035245885278812e+01 2.188741281026509000e+01
9.624772458999859737e+01 2.183363260408508211e+01
9.724509672114442083e+01 2.178761194305947768e+01
9.824246885229024429e+01 2.178664308077288680e+01
9.923984098343606775e+01 2.184090016981449622e+01
1.002372131145818770e+02 2.193449001610283844e+01
1.012345852457277005e+02 2.204243413087186099e+01
1.022319573768735239e+02 2.214129525634728779e+01
1.032293295080193332e+02 2.220901362188128303e+01
1.042267016391651566e+02 2.222263841040118137e+01
1.052240737703109801e+02 2.216210334351769973e+01
1.062214459014567893e+02 2.201944164714961261e+01
1.072188180326026128e+02 2.180331891805073141e+01
1.082161901637484362e+02 2.153307636618765386e+01
1.092135622948942455e+02 2.122922312007054302e+01
1.102109344260400690e+02 2.090846682842903448e+01
1.112083065571858924e+02 2.058373840616310702e+01
1.122056786883317017e+02 2.026575025271209540e+01
1.132030508194775251e+02 1.996375476419109418e+01
1.142004229506233486e+02 1.968570925813207140e+01
1.151977950817691578e+02 1.943905619487341241e+01
1.161951672129149813e+02 1.923227914319174303e+01
1.171925393440608048e+02 1.907623176819155120e+01
1.181899114752066140e+02 1.898401406234970068e+01
1.191872836063524375e+02 1.896860469561829277e+01
1.201846557374982609e+02 1.903859190049489669e+01
1.211820278686440702e+02 1.919399183157199928e+01
1.221793999997898936e+02 1.942485441311642091e+01
