#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56442.7
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.850000000005820766e-01 1.867219526466033841e+01
1.486227272727939530e+00 1.836414449756425071e+01
2.487454545455296984e+00 1.813767731669748429e+01
3.488681818182654659e+00 1.804139027357723535e+01
4.489909090910011891e+00 1.800499005204736136e+01
5.491136363637369122e+00 1.796796441655098064e+01
6.492363636364727242e+00 1.791406222277412752e+01
7.493590909092084473e+00 1.791160042211311065e+01
8.494818181819441705e+00 1.793308072077278936e+01
9.496045454546798936e+00 1.794558705496152484e+01
1.049727272727415617e+01 1.798745494470958306e+01
1.149850000000151340e+01 1.800398575022613912e+01
1.249972727272887241e+01 1.801040748947799131e+01
1.350095454545622964e+01 1.805120187942840815e+01
1.450218181818358687e+01 1.807378745091594752e+01
1.550340909091094410e+01 1.809893425235696895e+01
1.650463636363830133e+01 1.808725875716928400e+01
1.750586363636566034e+01 1.809380571031194762e+01
1.850709090909301580e+01 1.809016184424794460e+01
1.950831818182037480e+01 1.810856280494025583e+01
2.050954545454773026e+01 1.815095941697966708e+01
2.151077272727508927e+01 1.816807281671728092e+01
2.251200000000244472e+01 1.818548738861848690e+01
2.351322727272980373e+01 1.820174608998281229e+01
2.451445454545716274e+01 1.821548968015508052e+01
2.551568181818451819e+01 1.822769419800139090e+01
2.651690909091187720e+01 1.824018962125032317e+01
2.751813636363923266e+01 1.825345927687463998e+01
2.851936363636659166e+01 1.826711497290963493e+01
2.952059090909394712e+01 1.828073625025176696e+01
3.052181818182130613e+01 1.829435984333430198e+01
3.152304545454866158e+01 1.830890924046222423e+01
3.252427272727602059e+01 1.832563241165737367e+01
3.352550000000337604e+01 1.834278813496982252e+01
3.452672727273073860e+01 1.835538037859073768e+01
3.552795454545809406e+01 1.836185964594244169e+01
3.652918181818544952e+01 1.836433721176508271e+01
3.753040909091280497e+01 1.836484189403503109e+01
3.853163636364016753e+01 1.836451690650458701e+01
3.953286363636752299e+01 1.836420442829349042e+01
4.053409090909487844e+01 1.836526171400411656e+01
4.153531818182224100e+01 1.837008104188005575e+01
4.253654545454959646e+01 1.837999237634364746e+01
4.353777272727695191e+01 1.839264341331284314e+01
4.453900000000430737e+01 1.840552611230554092e+01
4.554022727273166993e+01 1.841822312873011924e+01
4.654145454545902538e+01 1.843110862039502251e+01
4.754268181818638084e+01 1.844467976527871400e+01
4.854390909091374340e+01 1.845934572600742740e+01
4.954513636364109885e+01 1.847459184642391605e+01
5.054636363636845431e+01 1.848850502035513799e+01
5.154759090909580976e+01 1.849983261460018014e+01
5.254881818182317232e+01 1.850916131057908842e+01
5.355004545455052778e+01 1.851749380331347083e+01
5.455127272727788323e+01 1.852541952314080476e+01
5.555250000000523869e+01 1.853319290493591609e+01
5.655372727273260125e+01 1.854091715522864448e+01
5.755495454545995671e+01 1.854864163065284544e+01
5.855618181818731216e+01 1.855640532224106209e+01
5.955740909091467472e+01 1.856426229522867288e+01
6.055863636364203018e+01 1.857230837569003157e+01
6.155986363636938563e+01 1.858072116142441033e+01
6.256109090909674109e+01 1.858982341344516698e+01
6.356231818182410365e+01 1.860017740539129960e+01
6.456354545455145910e+01 1.861270856968980070e+01
6.556477272727882166e+01 1.862883297121168980e+01
6.656600000000617001e+01 1.865052038355912245e+01
