#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56507.9
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.510000000009313226e-01 2.111964298792634764e+01
1.448630000000921569e+00 1.975328784984494490e+01
2.446260000000911816e+00 1.930593225684928171e+01
3.443890000000901619e+00 1.913292212162287598e+01
4.441520000000892310e+00 1.902876815315446279e+01
5.439150000000881668e+00 1.893505788217381891e+01
6.436780000000871915e+00 1.887307336465226726e+01
7.434410000000862162e+00 1.883235236286324010e+01
8.432040000000853297e+00 1.878178350291421594e+01
9.429670000000841767e+00 1.875449176196206835e+01
1.042730000000083201e+01 1.874240264709818860e+01
1.142493000000082226e+01 1.870741200576155094e+01
1.242256000000081251e+01 1.869119551031933923e+01
1.342019000000080275e+01 1.870187617750203657e+01
1.441782000000079300e+01 1.872565104661483204e+01
1.541545000000078325e+01 1.875145985431823448e+01
1.641308000000077527e+01 1.877841507860272330e+01
1.741071000000076197e+01 1.880538988250875576e+01
1.840834000000075221e+01 1.883236472363712721e+01
1.940597000000074246e+01 1.885933956486204011e+01
2.040360000000073271e+01 1.888661159907977094e+01
2.140123000000072295e+01 1.891348215823976986e+01
2.239886000000071320e+01 1.894052686650987738e+01
2.339649000000070345e+01 1.896774334237494486e+01
2.439412000000069369e+01 1.899519113341255405e+01
2.539175000000068394e+01 1.902295711163914405e+01
2.638938000000067419e+01 1.905110716596007236e+01
2.738701000000066443e+01 1.907962175601921473e+01
2.838464000000065468e+01 1.910832658654889826e+01
2.938227000000064493e+01 1.913681067873148223e+01
3.037990000000063517e+01 1.916431089754261308e+01
3.137753000000062542e+01 1.918965961954529220e+01
3.237516000000061922e+01 1.921172137321299189e+01
3.337279000000060591e+01 1.923062317266398935e+01
3.437042000000059261e+01 1.924833292063109980e+01
3.536805000000058641e+01 1.926699012225757812e+01
3.636568000000057310e+01 1.928724843450265070e+01
3.736331000000056690e+01 1.930850307009600186e+01
3.836094000000055360e+01 1.932992645899207318e+01
3.935857000000054740e+01 1.935142608265180186e+01
4.035620000000053409e+01 1.937370750026386546e+01
4.135383000000052789e+01 1.939735719767247346e+01
4.235146000000051458e+01 1.942228600393884719e+01
4.334909000000050838e+01 1.944766995550211774e+01
4.434672000000049508e+01 1.947163887595720766e+01
4.534435000000048888e+01 1.949146606789112113e+01
4.634198000000047557e+01 1.950558732703164466e+01
4.733961000000046937e+01 1.951515544490487031e+01
4.833724000000045606e+01 1.952250860623621520e+01
4.933487000000044986e+01 1.952930885448532550e+01
5.033250000000043656e+01 1.953633484414314125e+01
5.133013000000043036e+01 1.954394292455495119e+01
5.232776000000041705e+01 1.955242876648351213e+01
5.332539000000041085e+01 1.956224261896295147e+01
5.432302000000039754e+01 1.957411396553816019e+01
5.532065000000039134e+01 1.958896789576008146e+01
5.631828000000037804e+01 1.960748163996908744e+01
5.731591000000037184e+01 1.962959717277533045e+01
5.831354000000035853e+01 1.965457918233546764e+01
5.931117000000035233e+01 1.968148015942443507e+01
6.030880000000033903e+01 1.970945090106101460e+01
6.130643000000033283e+01 1.973781064369618576e+01
6.230406000000031952e+01 1.976602710872622026e+01
6.330169000000031332e+01 1.979360898801199653e+01
6.429932000000030712e+01 1.981992235101187561e+01
6.529695000000029381e+01 1.984416815569745296e+01
6.629458000000028051e+01 1.986597356875511622e+01
6.729221000000026720e+01 1.988607395183169047e+01
6.828984000000025389e+01 1.990535809741743378e+01
6.928747000000025480e+01 1.992365863965880735e+01
7.028510000000024149e+01 1.993986120124065664e+01
7.128273000000022819e+01 1.995276027247921746e+01
7.228036000000021488e+01 1.996375315594616850e+01
7.327799000000021579e+01 1.998101984054726543e+01
7.427562000000020248e+01 2.001664861320505651e+01
7.527325000000018917e+01 2.007434667996340849e+01
7.627088000000017587e+01 2.014742676914831421e+01
7.726851000000017677e+01 2.022810647432910613e+01
7.826614000000016347e+01 2.031207112933557113e+01
7.926377000000015016e+01 2.039773326878624005e+01
8.026140000000013686e+01 2.048480105377959859e+01
8.125903000000013776e+01 2.057335693918611241e+01
8.225666000000012446e+01 2.066319932381991720e+01
8.325429000000011115e+01 2.075340275460256478e+01
8.425192000000009784e+01 2.084248958924357709e+01
8.524955000000009875e+01 2.092927820798736605e+01
8.624718000000008544e+01 2.101351958595788716e+01
8.724481000000007214e+01 2.109559585020875261e+01
8.824244000000005883e+01 2.117578157383238135e+01
8.924007000000005974e+01 2.125379762741854961e+01
9.023770000000004643e+01 2.132863884401081123e+01
9.123533000000003312e+01 2.139837936955018804e+01
9.223296000000001982e+01 2.146033122812790239e+01
9.323059000000002072e+01 2.151246911641742088e+01
9.422822000000000742e+01 2.155522683599596689e+01
9.522584999999999411e+01 2.159113176129159228e+01
9.622347999999998081e+01 2.162284917101077397e+01
9.722110999999996750e+01 2.165210416232341828e+01
9.821873999999996840e+01 2.167975494118014979e+01
9.921636999999995510e+01 2.170615419080619546e+01
1.002139999999999418e+02 2.184880679576907170e+01
