#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56505.84
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.690000000045984052e-01 2.061410835944566955e+01
1.468278688529160991e+00 1.982559525345162044e+01
2.467557377053723577e+00 1.934842912180937446e+01
3.466836065578285719e+00 1.910092094965056120e+01
4.466114754102848750e+00 1.893952481008765432e+01
5.465393442627410892e+00 1.882895243850603606e+01
6.464672131151973034e+00 1.875894824433314412e+01
7.463950819676536064e+00 1.870306272865972730e+01
8.463229508201099094e+00 1.866810208246736025e+01
9.462508196725661236e+00 1.865077672472470383e+01
1.046178688525022338e+01 1.864547203576081813e+01
1.146106557377478552e+01 1.863540785439139924e+01
1.246034426229934766e+01 1.864902359679045318e+01
1.345962295082390980e+01 1.864060351791437498e+01
1.445890163934847372e+01 1.864164796784400835e+01
1.545818032787303586e+01 1.863819009358808998e+01
1.645745901639759978e+01 1.863462065466640638e+01
1.745673770492216192e+01 1.863057276874214097e+01
1.845601639344672407e+01 1.864283511013084293e+01
1.945529508197128621e+01 1.865726230014251996e+01
2.045457377049584835e+01 1.867375064937766282e+01
2.145385245902041049e+01 1.868707123432751160e+01
2.245313114754497263e+01 1.870097175062776174e+01
2.345240983606953478e+01 1.871514684856156663e+01
2.445168852459409692e+01 1.872943950366166277e+01
2.545096721311865906e+01 1.874375858594411071e+01
2.645024590164322120e+01 1.875802918916680895e+01
2.744952459016778690e+01 1.877216295525527201e+01
2.844880327869234904e+01 1.878605122908551195e+01
2.944808196721691118e+01 1.879959277016458330e+01
3.044736065574147332e+01 1.881273812459410166e+01
3.144663934426603547e+01 1.882549633654260290e+01
3.244591803279060116e+01 1.883789153252597259e+01
3.344519672131516330e+01 1.884991271897084886e+01
3.444447540983972544e+01 1.886146229714727696e+01
3.544375409836428759e+01 1.887222864189421401e+01
3.644303278688884973e+01 1.888139725306830741e+01
3.744231147541341187e+01 1.888752288582542249e+01
3.844159016393797401e+01 1.888964966112285282e+01
3.944086885246253615e+01 1.888893572792266440e+01
4.044014754098709830e+01 1.888766744337366177e+01
4.143942622951166044e+01 1.888725623298887513e+01
4.243870491803622258e+01 1.888793344069921076e+01
4.343798360656078472e+01 1.888939733831772116e+01
4.443726229508534686e+01 1.889183327916518707e+01
4.543654098360990901e+01 1.889722596768609009e+01
4.643581967213447115e+01 1.890978622007165200e+01
4.743509836065903329e+01 1.893406475386594678e+01
4.843437704918359543e+01 1.897223403430832889e+01
4.943365573770815757e+01 1.902332724583576606e+01
5.043293442623271972e+01 1.908340576132350463e+01
5.143221311475728186e+01 1.914309006927312495e+01
5.243149180328184400e+01 1.918417887733043159e+01
5.343077049180640614e+01 1.919405972421709805e+01
5.443004918033097539e+01 1.918963458599691307e+01
5.542932786885553753e+01 1.919214592633375460e+01
5.642860655738009967e+01 1.920439956484022304e+01
5.742788524590466182e+01 1.922192230015871672e+01
5.842716393442922396e+01 1.924057646780127584e+01
5.942644262295378610e+01 1.925682569343556594e+01
6.042572131147834824e+01 1.926924838575176935e+01
6.142500000000291038e+01 1.928397738557224628e+01
6.242427868852747253e+01 1.930744424011520977e+01
6.342355737705203467e+01 1.933643214730992455e+01
6.442283606557660391e+01 1.936595771744724459e+01
6.542211475410115895e+01 1.939333406138011995e+01
6.642139344262572820e+01 1.941705407265042993e+01
6.742067213115028324e+01 1.943594361130911707e+01
6.841995081967485248e+01 1.944921761894289958e+01
6.941922950819940752e+01 1.945703514766774944e+01
7.041850819672397677e+01 1.946068066513368677e+01
7.141778688524853180e+01 1.946184020018138838e+01
7.241706557377310105e+01 1.946178493015302280e+01
7.341634426229765609e+01 1.946122368243582201e+01
7.441562295082222533e+01 1.946054026223256983e+01
7.541490163934678037e+01 1.946000481652295022e+01
7.641418032787134962e+01 1.945986687660860071e+01
7.741345901639590465e+01 1.946033692105094914e+01
7.841273770492047390e+01 1.946149804317078846e+01
7.941201639344502894e+01 1.946327606563404444e+01
8.041129508196959819e+01 1.946553508032605961e+01
8.141057377049415322e+01 1.946820279267577547e+01
8.240985245901872247e+01 1.947134169594367137e+01
8.340913114754327751e+01 1.947517891074853580e+01
8.440840983606784675e+01 1.948012032095522272e+01
8.540768852459240179e+01 1.948672717697841961e+01
8.640696721311697104e+01 1.949558144292909034e+01
8.740624590164154029e+01 1.950698386999729905e+01
8.840552459016609532e+01 1.952063245309811634e+01
8.940480327869066457e+01 1.953565593008567447e+01
9.040408196721521961e+01 1.955109663670398845e+01
9.140336065573978885e+01 1.956635913106716629e+01
9.240263934426434389e+01 1.958121241288656478e+01
9.340191803278891314e+01 1.959545624178742429e+01
9.440119672131346817e+01 1.960862755516623679e+01
9.540047540983803742e+01 1.962017082365202114e+01
9.639975409836259246e+01 1.963003456282205761e+01
9.739903278688716171e+01 1.963892166721493382e+01
9.839831147541171674e+01 1.964794432502440813e+01
9.939759016393628599e+01 1.965827645443261318e+01
1.003968688524608410e+02 1.971010014104634678e+01
1.013961475409854103e+02 1.972973088298868660e+01
1.023954262295099653e+02 1.975117793658933252e+01
1.033947049180345346e+02 1.977469548094451213e+01
1.043939836065590896e+02 1.980044929979420942e+01
1.053932622950836588e+02 1.982850131443264985e+01
1.063925409836082139e+02 1.985881570640196969e+01
1.073918196721327831e+02 1.989128039267685111e+01
1.083910983606573524e+02 1.992573487672767385e+01
1.093903770491819074e+02 1.996199688836033914e+01
1.103896557377064767e+02 1.999988344087848091e+01
1.113889344262310317e+02 2.003922495092610490e+01
1.123882131147556009e+02 2.007987299261341008e+01
1.133874918032801560e+02 2.012170309851493855e+01
1.143867704918047252e+02 2.016461414447948997e+01
1.153860491803292803e+02 2.020852563319682460e+01
1.163853278688538495e+02 2.025337386662991435e+01
1.173846065573784045e+02 2.029910769056113296e+01
1.183838852459029738e+02 2.034568424776486495e+01
1.193831639344275288e+02 2.039306499289154573e+01
1.203824426229520981e+02 2.044121209092790181e+01
1.213817213114766531e+02 2.049008522882105154e+01
1.223810000000012224e+02 2.053963880568258560e+01
