#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56547.93
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.550000000017462298e-01 1.879435294328303030e+01
1.453694915255984821e+00 1.849103834466158958e+01
2.452389830510223412e+00 1.819474259477294353e+01
3.451084745764462003e+00 1.806580804964276510e+01
4.449779661018700594e+00 1.797123737025322399e+01
5.448474576272939629e+00 1.787615868578326328e+01
6.447169491527177776e+00 1.788428896456972694e+01
7.445864406781415923e+00 1.786348499985953708e+01
8.444559322035654958e+00 1.785326046681387169e+01
9.443254237289893993e+00 1.784492836145397376e+01
1.044194915254413303e+01 1.783663164353684749e+01
1.144064406779837029e+01 1.783350051955543591e+01
1.243933898305260932e+01 1.785102676868092431e+01
1.343803389830684836e+01 1.786791849197819815e+01
1.443672881356108562e+01 1.785798914013773597e+01
1.543542372881532465e+01 1.784827834104562427e+01
1.643411864406956369e+01 1.783517342919484960e+01
1.743281355932380094e+01 1.783445721142475904e+01
1.843150847457804176e+01 1.783148731473734827e+01
1.943020338983227902e+01 1.782037302676091173e+01
2.042889830508651983e+01 1.782583918346359297e+01
2.142759322034075709e+01 1.782498573055210045e+01
2.242628813559499434e+01 1.782571466355736334e+01
2.342498305084923516e+01 1.782807465552672710e+01
2.442367796610347241e+01 1.783188371789854187e+01
2.542237288135770967e+01 1.783672442867346675e+01
2.642106779661195048e+01 1.784210554839608065e+01
2.741976271186618774e+01 1.784766836020570224e+01
2.841845762712042500e+01 1.785325823305345949e+01
2.941715254237466581e+01 1.785884361137020448e+01
3.041584745762890307e+01 1.786438241432996321e+01
3.141454237288314388e+01 1.786974855768285408e+01
3.241323728813738114e+01 1.787476002217942650e+01
3.341193220339162195e+01 1.787923146910413053e+01
3.441062711864585566e+01 1.788296737421539362e+01
3.540932203390009647e+01 1.788577122492116445e+01
3.640801694915433728e+01 1.788763329953843595e+01
3.740671186440857099e+01 1.788889842209805892e+01
3.840540677966281180e+01 1.789003238628636083e+01
3.940410169491705261e+01 1.789131071407544127e+01
4.040279661017129342e+01 1.789280897371657275e+01
4.140149152542552713e+01 1.789453018106198812e+01
4.240018644067976794e+01 1.789649351486923479e+01
4.339888135593400875e+01 1.789875546754223024e+01
4.439757627118824246e+01 1.790135434029510009e+01
4.539627118644248327e+01 1.790417909915767680e+01
4.639496610169672408e+01 1.790687939941924256e+01
