#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56548.95
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
-2.699999999997089617e+00 2.140004035004728067e+01
-1.693488549615388861e+00 2.118062062161113346e+01
-6.869770992336881044e-01 2.083278965712808883e+01
3.195343511480128740e-01 2.015430445120411562e+01
1.326045801529713408e+00 1.943597871553885170e+01
2.332557251911413942e+00 1.903760646896694908e+01
3.339068702293115365e+00 1.886114238109511021e+01
4.345580152674815899e+00 1.879705354657804506e+01
5.352091603056516433e+00 1.874672502499705473e+01
6.358603053438217856e+00 1.870921054780318826e+01
7.365114503819917502e+00 1.867351081506015120e+01
8.371625954201618924e+00 1.863781074841492469e+01
9.378137404583320347e+00 1.860211092166698776e+01
1.038464885496501999e+01 1.856460936690006136e+01
1.139116030534672142e+01 1.851424583903196464e+01
1.239767175572842106e+01 1.846902324725488853e+01
1.340418320611012248e+01 1.850644751484052364e+01
1.441069465649182391e+01 1.855668274490003000e+01
1.541720610687352533e+01 1.860967140575647605e+01
1.642371755725522320e+01 1.858719330339322440e+01
1.743022900763692462e+01 1.856410409230899461e+01
1.843674045801862604e+01 1.859834125759249446e+01
1.944325190840032747e+01 1.865793556243397333e+01
2.044976335878202889e+01 1.867059450324061132e+01
2.145627480916373031e+01 1.869185585538306427e+01
2.246278625954542818e+01 1.871498395087930078e+01
2.346929770992712960e+01 1.873934138469944699e+01
2.447580916030883103e+01 1.876412053377543998e+01
2.548232061069053245e+01 1.878847264972835518e+01
2.648883206107223387e+01 1.881203864653395641e+01
2.749534351145393174e+01 1.883503383024187627e+01
2.850185496183563316e+01 1.885774433272755601e+01
2.950836641221733458e+01 1.888032573948241932e+01
3.051487786259903601e+01 1.890284700367512727e+01
3.152138931298073743e+01 1.892525943851436310e+01
3.252790076336243885e+01 1.894720033529605274e+01
3.353441221374414027e+01 1.896771777733439635e+01
3.454092366412584170e+01 1.898534733282388842e+01
3.554743511450753601e+01 1.899902344356739903e+01
3.655394656488923744e+01 1.900915133523579570e+01
3.756045801527093886e+01 1.901747310730142715e+01
3.856696946565264028e+01 1.902600357853735602e+01
3.957348091603434170e+01 1.903625599599073226e+01
4.057999236641604313e+01 1.904904574809295781e+01
4.158650381679774455e+01 1.906452616214546580e+01
4.259301526717944597e+01 1.908222280817251004e+01
4.359952671756114739e+01 1.910116432116564411e+01
4.460603816794284882e+01 1.912031219259347736e+01
4.561254961832455024e+01 1.913909886922790449e+01
4.661906106870624455e+01 1.915756776207112821e+01
4.762557251908794598e+01 1.917598727354788224e+01
4.863208396946964740e+01 1.919445398022594418e+01
4.963859541985134882e+01 1.921328489114043236e+01
5.064510687023305024e+01 1.923368879586222846e+01
5.165161832061475167e+01 1.925679142529163101e+01
5.265812977099645309e+01 1.928253768237217258e+01
5.366464122137815451e+01 1.931036970603372538e+01
5.467115267175985593e+01 1.934029375981433674e+01
5.567766412214155736e+01 1.937351027194349484e+01
5.668417557252325167e+01 1.941251454896710271e+01
5.769068702290495310e+01 1.946003435971873330e+01
5.869719847328665452e+01 1.951666085996370725e+01
5.970370992366835594e+01 1.957973668557420410e+01
6.071022137405005736e+01 1.964551807830412855e+01
6.171673282443175879e+01 1.971161853967561584e+01
6.272324427481345310e+01 1.977724047285732212e+01
6.372975572519516163e+01 1.984236730339105037e+01
6.473626717557685595e+01 1.990718970439629487e+01
6.574277862595856448e+01 1.997190568306624314e+01
6.674929007634025879e+01 2.003669632041569315e+01
6.775580152672196732e+01 2.010174177609031432e+01
6.876231297710366164e+01 2.016720628695511408e+01
6.976882442748537017e+01 2.023312808763390080e+01
7.077533587786706448e+01 2.029913848731585091e+01
7.178184732824877301e+01 2.036395213598187581e+01
7.278835877863046733e+01 2.042476091756656942e+01
7.379487022901216164e+01 2.047745101805740831e+01
7.480138167939387017e+01 2.051939020535821001e+01
7.580789312977556449e+01 2.055304744690525354e+01
7.681440458015727302e+01 2.058386542787321360e+01
