#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56570.79
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.550000000017462298e-01 1.841287782490669755e+01
1.453514563108486923e+00 1.688614254812053161e+01
2.452029126215227617e+00 1.637952972767550719e+01
3.450543689321968088e+00 1.618243027007700263e+01
4.449058252428709004e+00 1.607716787031054295e+01
5.447572815535449919e+00 1.601372557682756081e+01
6.446087378642189947e+00 1.595237060796213413e+01
7.444601941748930862e+00 1.592270810642274270e+01
8.443116504855671778e+00 1.591528947162430363e+01
9.441631067962411805e+00 1.591860433643997119e+01
1.044014563106915361e+01 1.592505337999145887e+01
1.143866019417589364e+01 1.592769859530690724e+01
1.243717475728263366e+01 1.593435163436505775e+01
1.343568932038937547e+01 1.597652898000518640e+01
1.443420388349611549e+01 1.601834623665832069e+01
1.543271844660285730e+01 1.605863943369132940e+01
1.643123300970959733e+01 1.609833584090087655e+01
1.742974757281633913e+01 1.612726905130086053e+01
1.842826213592307738e+01 1.614714425191871783e+01
1.942677669902981918e+01 1.616942936931007679e+01
2.042529126213656099e+01 1.617215542837290698e+01
2.142380582524329924e+01 1.618600919602164723e+01
2.242232038835004104e+01 1.619757486211226194e+01
2.342083495145678285e+01 1.620753299824705351e+01
2.441934951456352110e+01 1.621638306693185427e+01
2.541786407767026290e+01 1.622444334962641577e+01
2.641637864077700470e+01 1.623192145099054429e+01
2.741489320388374651e+01 1.623899265784905310e+01
2.841340776699048476e+01 1.624586372813777757e+01
2.941192233009722656e+01 1.625278396079758636e+01
3.041043689320396837e+01 1.625994865622578800e+01
3.140895145631070662e+01 1.626739762817477342e+01
3.240746601941744842e+01 1.627507235632192817e+01
3.340598058252418667e+01 1.628294649640884018e+01
3.440449514563093203e+01 1.629107214073873777e+01
3.540300970873767028e+01 1.629949879483342556e+01
3.640152427184440853e+01 1.630808151392620431e+01
3.740003883495115389e+01 1.631631634680670118e+01
3.839855339805789214e+01 1.632352505204156046e+01
3.939706796116463039e+01 1.632940785735720368e+01
4.039558252427137575e+01 1.633429093150037659e+01
4.139409708737811400e+01 1.633874956173808357e+01
4.239261165048485225e+01 1.634318335381219711e+01
4.339112621359159760e+01 1.634774226968565358e+01
4.438964077669833586e+01 1.635244749315475232e+01
4.538815533980507411e+01 1.635729363407773107e+01
4.638666990291181946e+01 1.636228728717976111e+01
4.738518446601855771e+01 1.636745096268510835e+01
4.838369902912529597e+01 1.637280834140999985e+01
4.938221359223204132e+01 1.637835715561374528e+01
5.038072815533877957e+01 1.638406113859971214e+01
5.137924271844552493e+01 1.638988908913039566e+01
5.237775728155226318e+01 1.639587804743334587e+01
5.337627184465900143e+01 1.640219050581361415e+01
5.437478640776574679e+01 1.640913800821363111e+01
5.537330097087248504e+01 1.641708726169727228e+01
5.637181553397922329e+01 1.642622296700708873e+01
5.737033009708596865e+01 1.643641945597599729e+01
5.836884466019270690e+01 1.644741487700114746e+01
5.936735922329944515e+01 1.645903461506360443e+01
6.036587378640619050e+01 1.647125412231732611e+01
6.136438834951292876e+01 1.648418224840014901e+01
6.236290291261966701e+01 1.649800894808521434e+01
6.336141747572641236e+01 1.651276382630786088e+01
6.435993203883315061e+01 1.652780645313337260e+01
6.535844660193988886e+01 1.654160140477921459e+01
6.635696116504662712e+01 1.655245772782980396e+01
6.735547572815337958e+01 1.655970676154739607e+01
6.835399029126011783e+01 1.656422714008075303e+01
6.935250485436685608e+01 1.656800408739714925e+01
7.035101941747359433e+01 1.657337072259953104e+01
7.134953398058033258e+01 1.658272753849843184e+01
7.234804854368707083e+01 1.659869210982824939e+01
7.334656310679382329e+01 1.662390397756199434e+01
7.434507766990056155e+01 1.665987664361813714e+01
7.534359223300729980e+01 1.670604127414089746e+01
7.634210679611403805e+01 1.676064382889322957e+01
7.734062135922077630e+01 1.682188416003581821e+01
7.833913592232751455e+01 1.688815616087910598e+01
7.933765048543426701e+01 1.695822316645702799e+01
8.033616504854100526e+01 1.703144833234489042e+01
8.133467961164774351e+01 1.710761393367253547e+01
8.233319417475448176e+01 1.718610970253724091e+01
8.333170873786122002e+01 1.726536717711431734e+01
8.433022330096795827e+01 1.734354260260219860e+01
8.532873786407471073e+01 1.741945177091877994e+01
8.632725242718144898e+01 1.749258789359085142e+01
8.732576699028818723e+01 1.756271487031925460e+01
8.832428155339492548e+01 1.762973269676525234e+01
8.932279611650166373e+01 1.769376686174388880e+01
9.032131067960840198e+01 1.775504339563272538e+01
9.131982524271515445e+01 1.781346256395899985e+01
9.231833980582189270e+01 1.786846006903006057e+01
9.331685436892863095e+01 1.791942182224006075e+01
9.431536893203536920e+01 1.796601618695585501e+01
9.531388349514210745e+01 1.800807877438260718e+01
9.631239805824884570e+01 1.804543885736577380e+01
9.731091262135559816e+01 1.807806196947786148e+01
9.830942718446233641e+01 1.810638108896440102e+01
9.930794174756907466e+01 1.813140032372997723e+01
1.003064563106758129e+02 1.821465039239942030e+01
1.013049708737825512e+02 1.825298100723043149e+01
1.023034854368893036e+02 1.828851647903349331e+01
1.033019999999960419e+02 1.832125676615849841e+01
