#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56602.81
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
4.530000000013387762e-01 1.964138794163710955e+01
1.451008695653518199e+00 1.930669195487512013e+01
2.449017391305697622e+00 1.913942732303514660e+01
3.447026086957877489e+00 1.901672510859392062e+01
4.445034782610056467e+00 1.893207393372057723e+01
5.443043478262236334e+00 1.888197283981238783e+01
6.441052173914416201e+00 1.881381618786710419e+01
7.439060869566595180e+00 1.880860702876847412e+01
8.437069565218774159e+00 1.881984697252543626e+01
9.435078260870954026e+00 1.874164818003069755e+01
1.043308695652313389e+01 1.875126617003848395e+01
1.143109565217531376e+01 1.872775274078018271e+01
1.242910434782749363e+01 1.876728648408102273e+01
1.342711304347967349e+01 1.881773735553206706e+01
1.442512173913185158e+01 1.885590848909265915e+01
1.542313043478403145e+01 1.887920935955651913e+01
1.642113913043620954e+01 1.886679387579701839e+01
1.741914782608839118e+01 1.885231182037566455e+01
1.841715652174056927e+01 1.882637810170966475e+01
1.941516521739275092e+01 1.879949505435386214e+01
2.041317391304492901e+01 1.884147537242257897e+01
2.141118260869711065e+01 1.884262360601140429e+01
2.240919130434928874e+01 1.884387905360587467e+01
2.340720000000146683e+01 1.884510615717925219e+01
2.440520869565364848e+01 1.884596700413021253e+01
2.540321739130582657e+01 1.884617222766572553e+01
2.640122608695800821e+01 1.884572590749566601e+01
2.739923478261018630e+01 1.884484990578977204e+01
2.839724347826236439e+01 1.884375974305257628e+01
2.939525217391454603e+01 1.884258633310967568e+01
3.039326086956672412e+01 1.884140501541579837e+01
3.139126956521890577e+01 1.884026619979007933e+01
3.238927826087108031e+01 1.883920702635359490e+01
3.338728695652326195e+01 1.883825848709613737e+01
3.438529565217544359e+01 1.883745789529575276e+01
3.538330434782762524e+01 1.883686500504529349e+01
3.638131304347979977e+01 1.883656735278079353e+01
3.737932173913198142e+01 1.883665159914204068e+01
3.837733043478416306e+01 1.883714517346696127e+01
3.937533913043633760e+01 1.883798756483128045e+01
4.037334782608851924e+01 1.883906863183112179e+01
4.137135652174070088e+01 1.884028641140811544e+01
4.236936521739288253e+01 1.884157309811012837e+01
4.336737391304505707e+01 1.884289161177202843e+01
4.436538260869723871e+01 1.884422392253064515e+01
4.536339130434942035e+01 1.884556189234013246e+01
4.636140000000159489e+01 1.884690205246397099e+01
4.735940869565377653e+01 1.884824300667469643e+01
4.835741739130595818e+01 1.884958422850933246e+01
4.935542608695813271e+01 1.885092553371720570e+01
5.035343478261031436e+01 1.885226686284920916e+01
5.135144347826249600e+01 1.885360819826182066e+01
5.234945217391467764e+01 1.885494953500560555e+01
5.334746086956685218e+01 1.885629087110267221e+01
5.434546956521903383e+01 1.885763220283712016e+01
5.534347826087121547e+01 1.885897351631873420e+01
5.634148695652339001e+01 1.886031476059848444e+01
5.733949565217557165e+01 1.886165576372308905e+01
5.833750434782775329e+01 1.886299599289003126e+01
5.933551304347992783e+01 1.886433392751156291e+01
6.033352173913210947e+01 1.886566554537581908e+01
6.133153043478429112e+01 1.886698090158307295e+01
6.232953913043647276e+01 1.886825684928354718e+01
6.332754782608864730e+01 1.886944276167641021e+01
6.432555652174082184e+01 1.887043677816931719e+01
6.532356521739301058e+01 1.887106043511857223e+01
6.632157391304518512e+01 1.887107110475226435e+01
6.731958260869737387e+01 1.887028012056261161e+01
6.831759130434954841e+01 1.886875555986157238e+01
6.931560000000172295e+01 1.886688488618102610e+01
7.031360869565391170e+01 1.886515441132345927e+01
7.131161739130608623e+01 1.886389009080984280e+01
7.230962608695826077e+01 1.886322829768311848e+01
7.330763478261044952e+01 1.886329323585714235e+01
7.430564347826262406e+01 1.886442629265744131e+01
7.530365217391479860e+01 1.886733209317119631e+01
7.630166086956698734e+01 1.887303728512871359e+01
7.729966956521916188e+01 1.888253888413353110e+01
7.829767826087133642e+01 1.889615354772084999e+01
7.929568695652352517e+01 1.891315413441715165e+01
8.029369565217569971e+01 1.893225364044968373e+01
8.129170434782787424e+01 1.895234551356450226e+01
8.228971304348006299e+01 1.897275449901996680e+01
8.328772173913223753e+01 1.899310522900165665e+01
8.428573043478442628e+01 1.901314124124721872e+01
8.528373913043660082e+01 1.903259647911565366e+01
8.628174782608877535e+01 1.905109347595107039e+01
8.727975652174096410e+01 1.906809738351144290e+01
8.827776521739313864e+01 1.908329403134068158e+01
8.927577391304531318e+01 1.909799544366322976e+01
9.027378260869750193e+01 1.911537205065290834e+01
9.127179130434967647e+01 1.913645509276402734e+01
9.226980000000185100e+01 1.915935750935207693e+01
