#  days R
# ref= Rubin et al. 2016 ApJ, 820, 33R
# jd_expl= 56769.14
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 99
# 
1.670000000012805685e-01 2.028064448988709145e+01
1.165672131148849378e+00 1.924886622086382459e+01
2.164344262296418187e+00 1.822890931103783529e+01
3.163016393443986551e+00 1.813232994646381258e+01
4.161688524591555804e+00 1.806738479152009447e+01
5.160360655739124169e+00 1.800285209575833889e+01
6.159032786886692534e+00 1.793891263409487991e+01
7.157704918034261787e+00 1.787741961298234727e+01
8.156377049181831040e+00 1.786350913407029850e+01
9.155049180329399405e+00 1.785171826219214353e+01
1.015372131147696777e+01 1.786510831948455191e+01
1.115239344262453614e+01 1.789116119685593276e+01
1.215106557377210450e+01 1.791037722136453425e+01
1.314973770491967286e+01 1.791967606394306856e+01
1.414840983606724301e+01 1.791968100644283624e+01
1.514708196721481137e+01 1.791869878731749921e+01
1.614575409836238151e+01 1.792303149038016130e+01
1.714442622950994988e+01 1.792737393860612372e+01
1.814309836065751824e+01 1.793171755113585064e+01
1.914177049180508661e+01 1.794056368971692805e+01
2.014044262295265497e+01 1.797545233808046916e+01
2.113911475410022334e+01 1.799372984439684586e+01
2.213778688524779170e+01 1.801089702268697579e+01
2.313645901639536007e+01 1.802653487984141734e+01
2.413513114754292843e+01 1.804126977801146481e+01
2.513380327869049680e+01 1.805580465342465502e+01
2.613247540983806516e+01 1.807050570454755345e+01
2.713114754098563708e+01 1.808538683965929295e+01
2.812981967213320544e+01 1.809987934215478234e+01
2.912849180328077381e+01 1.811229175561778604e+01
3.012716393442834217e+01 1.812101073318398292e+01
3.112583606557591054e+01 1.812659630712843750e+01
3.212450819672348246e+01 1.813050208542626862e+01
3.312318032787104727e+01 1.813360750670358712e+01
3.412185245901861919e+01 1.813627580870121747e+01
3.512052459016618400e+01 1.813862040739218529e+01
3.611919672131375592e+01 1.814062128571852739e+01
3.711786885246132073e+01 1.814221159187315990e+01
3.811654098360889265e+01 1.814340951406237323e+01
3.911521311475645746e+01 1.814437993582754416e+01
4.011388524590402938e+01 1.814531570889078793e+01
4.111255737705159419e+01 1.814631532193386221e+01
4.211122950819916610e+01 1.814739061423990307e+01
4.310990163934673802e+01 1.814852104281877132e+01
4.410857377049430283e+01 1.814968472357799101e+01
4.510724590164187475e+01 1.815086657286992988e+01
4.610591803278943956e+01 1.815205771566945003e+01
4.710459016393701148e+01 1.815325331659350638e+01
4.810326229508457629e+01 1.815445082907733720e+01
4.910193442623214821e+01 1.815564884502938980e+01
5.010060655737971302e+01 1.815684634020253441e+01
5.109927868852728494e+01 1.815804210916301997e+01
5.209795081967484975e+01 1.815923422854714886e+01
5.309662295082242167e+01 1.816041940143829336e+01
5.409529508196999359e+01 1.816159201486287245e+01
5.509396721311755840e+01 1.816274270644654720e+01
5.609263934426513032e+01 1.816385621698248443e+01
5.709131147541269513e+01 1.816490833224994361e+01
5.808998360656026705e+01 1.816586181008183587e+01
5.908865573770783186e+01 1.816666136461633840e+01
6.008732786885540378e+01 1.816722805717327915e+01
6.108600000000296859e+01 1.816745383333293873e+01
