# t    u      B      V      r      i
# SN 2013by  Valenti et al 2015
3.0   12.38  12.57  12.76  12.92  13.55 
4.0   12.37  12.56  12.74  12.85  13.17 
5.0   12.37  12.56  12.72  12.79  12.98 
6.0   12.38  12.57  12.70  12.74  12.91 
7.0   12.39  12.58  12.68  12.69  12.85 
8.0   12.41  12.59  12.66  12.66  12.79 
9.0   12.44  12.61  12.64  12.63  12.74 
10.0   12.47  12.62  12.62  12.61  12.70 
11.0   12.51  12.64  12.59  12.59  12.67 
12.0   12.56  12.66  12.57  12.58  12.65 
13.0   12.62  12.68  12.56  12.58  12.65 
14.0   12.69  12.72  12.55  12.59  12.66 
15.0   12.78  12.76  12.56  12.61  12.68 
16.0   12.88  12.80  12.59  12.62  12.70 
17.0   12.98  12.85  12.62  12.64  12.73 
18.0   13.09  12.89  12.65  12.66  12.77 
19.0   13.21  12.94  12.69  12.68  12.80 
20.0   13.32  12.99  12.71  12.71  12.84 
21.0   13.43  13.05  12.74  12.73  12.87 
22.0   13.55  13.12  12.77  12.75  12.89 
23.0   13.68  13.18  12.80  12.77  12.91 
24.0   13.81  13.25  12.83  12.79  12.94 
25.0   13.94  13.31  12.85  12.81  12.96 
26.0   14.07  13.38  12.88  12.83  12.98 
27.0   14.20  13.44  12.91  12.85  13.00 
28.0   14.32  13.50  12.94  12.87  13.02 
29.0   14.45  13.55  12.96  12.89  13.05 
30.0   14.57  13.60  12.99  12.91  13.07 
31.0   14.70  13.66  13.02  12.93  13.09 
32.0   14.82  13.72  13.05  12.95  13.10 
33.0   14.95  13.85  13.08  12.97  13.12 
34.0   15.06  13.96  13.12  12.98  13.13 
35.0   15.16  14.01  13.17  13.00  13.15 
36.0   15.24  14.05  13.23  13.02  13.17 
37.0   15.32  14.09  13.27  13.03  13.19 
38.0   15.40  14.12  13.29  13.05  13.21 
39.0   15.47  14.16  13.31  13.06  13.22 
40.0   15.55  14.19  13.33  13.08  13.24 
41.0   15.62  14.23  13.34  13.09  13.26 
42.0   15.70  14.26  13.36  13.10  13.27 
43.0   15.78  14.29  13.38  13.12  13.27 
44.0   15.86  14.33  13.40  13.13  13.28 
45.0   15.95  14.36  13.41  13.14  13.29 
46.0   16.04  14.39  13.43  13.14  13.30 
47.0   16.14  14.42  13.45  13.15  13.32 
48.0   16.25  14.45  13.47  13.16  13.33 
49.0   16.35  14.49  13.50  13.17  13.32 
50.0   16.45  14.52  13.52  13.18  13.32 
51.0   16.54  14.55  13.55  13.19  13.32 
52.0   16.61  14.58  13.58  13.20  13.33 
53.0   16.66  14.61  13.61  13.21  13.33 
54.0   16.69  14.65  13.64  13.22  13.35 
55.0   16.70  14.68  13.66  13.24  13.36 
56.0   16.72  14.72  13.68  13.25  13.37 
57.0   16.75  14.75  13.69  13.27  13.39 
58.0   16.79  14.79  13.69  13.30  13.40 
59.0   16.83  14.83  13.71  13.32  13.41 
60.0   16.88  14.86  13.72  13.34  13.41 
61.0   16.93  14.90  13.74  13.36  13.42 
62.0   16.98  14.93  13.76  13.37  13.45 
63.0   17.01  14.97  13.77  13.39  13.48 
64.0   17.05  15.01  13.79  13.40  13.50 
65.0   17.08  15.06  13.82  13.42  13.53 
66.0   17.12  15.12  13.86  13.43  13.55 
67.0   17.15  15.17  13.90  13.45  13.57 
68.0   17.19  15.22  13.94  13.47  13.58 
69.0   17.23  15.26  13.98  13.49  13.59 
70.0   17.27  15.27  14.03  13.51  13.63 
71.0   17.30  15.32  14.08  13.54  13.69 
72.0   17.34  15.38  14.13  13.57  13.73 
73.0   17.38  15.45  14.18  13.61  13.77 
74.0   17.42  15.51  14.23  13.66  13.81 
75.0   17.47  15.57  14.29  13.70  13.84 
76.0   17.51  15.64  14.35  13.75  13.87 
77.0   17.55  15.74  14.42  13.80  13.90 
78.0   17.59  15.84  14.48  13.85  13.95 
79.0   17.63  15.94  14.55  13.90  14.01 
80.0   17.67  16.04  14.62  13.96  14.07 
81.0   17.71  16.15  14.69  14.03  14.15 
82.0   17.74  16.25  14.76  14.09  14.22 
83.0   17.78  16.35  14.83  14.16  14.28 
84.0   17.81  16.46  14.90  14.24  14.35 
85.0   17.84  16.57  14.98  14.32  14.48 
86.0   17.87  16.69  15.07  14.43  14.66 
87.0   17.89  16.82  15.17  14.55  14.85 
88.0   17.92  16.97  15.30  14.66  15.05 
89.0   17.94  17.11  15.44  14.78  15.22 
90.0   17.97  17.25  15.59  14.89  15.33 
91.0   17.99  17.38  15.73  15.00  15.46 
92.0   18.01  17.51  15.85  15.13  15.60 
93.0   18.03  17.64  15.94  15.26  15.67 
94.0   18.05  17.76  16.02  15.42  15.71 
95.0   18.06  17.87  16.11  15.56  15.75 
96.0   18.08  17.92  16.21  15.62  15.78 
97.0   18.10  17.89  16.31  15.63  15.80 
98.0   18.12  17.89  16.41  15.64  15.83 
