# days V
# ref= XXXXX
# jd_expl= 2456497.45
# if missing data (gap 2.0 days), interpolate 
# type=  smooth 
# ebv= 0.00528377833228
0.0   13.033 
0.502512562814   12.978 
1.00502512563   12.924 
1.50753768844   12.868 
2.01005025126   12.813 
2.51256281407   12.762 
3.01507537688   12.711 
3.5175879397   12.675 
4.02010050251   12.639 
4.52261306533   12.605 
5.02512562814   12.572 
5.52763819095   12.539 
6.03015075377   12.506 
6.53266331658   12.475 
7.0351758794   12.445 
7.53768844221   12.421 
8.04020100503   12.398 
8.54271356784   12.388 
9.04522613065   12.378 
9.54773869347   12.370 
10.0502512563   12.364 
10.5527638191   12.361 
11.0552763819   12.360 
11.5577889447   12.367 
12.0603015075   12.373 
12.5628140704   12.374 
13.0653266332   12.377 
13.567839196   12.383 
14.0703517588   12.389 
14.5728643216   12.388 
15.0753768844   12.386 
15.5778894472   12.381 
16.0804020101   12.376 
16.5829145729   12.373 
17.0854271357   12.371 
17.5879396985   12.370 
18.0904522613   12.368 
18.5929648241   12.366 
19.0954773869   12.365 
19.5979899497   12.367 
20.1005025126   12.372 
20.6030150754   12.387 
21.1055276382   12.401 
21.608040201   12.415 
22.1105527638   12.428 
22.6130653266   12.440 
23.1155778894   12.453 
23.6180904523   12.465 
24.1206030151   12.478 
24.6231155779   12.491 
25.1256281407   12.504 
25.6281407035   12.516 
26.1306532663   12.530 
26.6331658291   12.544 
27.135678392   12.561 
27.6381909548   12.583 
28.1407035176   12.605 
28.6432160804   12.628 
29.1457286432   12.651 
29.648241206   12.674 
30.1507537688   12.696 
30.6532663317   12.718 
31.1557788945   12.735 
31.6582914573   12.738 
32.1608040201   12.740 
32.6633165829   12.736 
33.1658291457   12.734 
33.6683417085   12.735 
34.1708542714   12.737 
34.6733668342   12.739 
35.175879397   12.743 
35.6783919598   12.750 
36.1809045226   12.761 
36.6834170854   12.778 
37.1859296482   12.796 
37.6884422111   12.814 
38.1909547739   12.833 
38.6934673367   12.851 
39.1959798995   12.870 
39.6984924623   12.889 
40.2010050251   12.906 
40.7035175879   12.922 
41.2060301508   12.937 
41.7085427136   12.949 
42.2110552764   12.961 
42.7135678392   12.973 
43.216080402   12.985 
43.7185929648   12.998 
44.2211055276   13.010 
44.7236180905   13.023 
45.2261306533   13.037 
45.7286432161   13.051 
46.2311557789   13.067 
46.7336683417   13.084 
47.2361809045   13.099 
47.7386934673   13.110 
48.2412060302   13.122 
48.743718593   13.134 
49.2462311558   13.147 
49.7487437186   13.160 
50.2512562814   13.173 
50.7537688442   13.185 
51.256281407   13.198 
51.7587939698   13.211 
52.2613065327   13.222 
52.7638190955   13.232 
53.2663316583   13.239 
53.7688442211   13.242 
54.2713567839   13.248 
54.7738693467   13.255 
55.2763819095   13.263 
55.7788944724   13.271 
56.2814070352   13.279 
56.783919598   13.287 
57.2864321608   13.301 
57.7889447236   13.318 
58.2914572864   13.330 
58.7939698492   13.337 
59.2964824121   13.343 
59.7989949749   13.347 
60.3015075377   13.351 
60.8040201005   13.355 
61.3065326633   13.359 
61.8090452261   13.363 
62.3115577889   13.368 
62.8140703518   13.372 
63.3165829146   13.378 
63.8190954774   13.386 
64.3216080402   13.398 
64.824120603   13.413 
65.3266331658   13.429 
65.8291457286   13.445 
66.3316582915   13.460 
66.8341708543   13.475 
67.3366834171   13.485 
67.8391959799   13.492 
68.3417085427   13.497 
68.8442211055   13.500 
69.3467336683   13.506 
69.8492462312   13.514 
70.351758794   13.526 
70.8542713568   13.539 
71.3567839196   13.553 
71.8592964824   13.566 
72.3618090452   13.571 
72.864321608   13.573 
73.3668341709   13.574 
73.8693467337   13.576 
74.3718592965   13.577 
74.8743718593   13.579 
75.3768844221   13.581 
75.8793969849   13.583 
76.3819095477   13.587 
76.8844221106   13.592 
77.3869346734   13.608 
77.8894472362   13.626 
78.391959799   13.644 
78.8944723618   13.662 
79.3969849246   13.678 
79.8994974874   13.693 
80.4020100503   13.711 
80.9045226131   13.728 
81.4070351759   13.746 
81.9095477387   13.764 
82.4120603015   13.782 
82.9145728643   13.800 
83.4170854271   13.819 
83.9195979899   13.838 
84.4221105528   13.856 
84.9246231156   13.875 
85.4271356784   13.890 
85.9296482412   13.904 
86.432160804   13.917 
86.9346733668   13.930 
87.4371859296   13.943 
87.9396984925   13.957 
88.4422110553   13.971 
88.9447236181   13.985 
89.4472361809   14.003 
89.9497487437   14.022 
90.4522613065   14.045 
90.9547738693   14.069 
91.4572864322   14.094 
91.959798995   14.119 
92.4623115578   14.155 
92.9648241206   14.191 
93.4673366834   14.245 
93.9698492462   14.300 
94.472361809   14.353 
94.9748743719   14.405 
95.4773869347   14.457 
95.9798994975   14.509 
96.4824120603   14.564 
96.9849246231   14.618 
97.4874371859   14.719 
97.9899497487   14.821 
98.4924623116   14.924 
98.9949748744   15.027 
99.4974874372   15.129 
100.0   15.230 
