#  days V
# ref= XXXXX
# jd_expl= 2453549.0
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 0.0381801447653
# 
4.169999998994171619e-01 1.614700377862777714e+01
1.416945945845942134e+00 1.525941912889307517e+01
2.416891891792467106e+00 1.465986642461561651e+01
3.416837837738991634e+00 1.435141598016818776e+01
4.416783783685517051e+00 1.436684948149259000e+01
5.416729729632041135e+00 1.436945291725582941e+01
6.416675675578566107e+00 1.435944248342867624e+01
7.416621621525091079e+00 1.436862207566176863e+01
8.416567567471616940e+00 1.437642154642106007e+01
9.416513513418140136e+00 1.441984664653073445e+01
1.041645945936466511e+01 1.442736858088355412e+01
1.141640540531119008e+01 1.441033665701115218e+01
1.241635135125771505e+01 1.439079736220469030e+01
1.341629729720424002e+01 1.440843833809225139e+01
1.441624324315076500e+01 1.440886014525869108e+01
1.541618918909728997e+01 1.442140181421476441e+01
1.641613513504381672e+01 1.447325244260524713e+01
1.741608108099033814e+01 1.449666243681168964e+01
1.841602702693686311e+01 1.449089636884334098e+01
1.941597297288338808e+01 1.453304068894975387e+01
2.041591891882991305e+01 1.452734657943330099e+01
2.141586486477643803e+01 1.454095810273933331e+01
2.241581081072296300e+01 1.455398652509910740e+01
2.341575675666948797e+01 1.456624336734405567e+01
2.441570270261601294e+01 1.457704667576613211e+01
2.541564864856253791e+01 1.458505506674867469e+01
2.641559459450906289e+01 1.458941407732928752e+01
2.741554054045558786e+01 1.459085238022047903e+01
2.841548648640211283e+01 1.459069822802084282e+01
2.941543243234863780e+01 1.458984330821319020e+01
3.041537837829516278e+01 1.458873719956177695e+01
3.141532432424168775e+01 1.458766052171915995e+01
3.241527027018821627e+01 1.458691058908078375e+01
3.341521621613473769e+01 1.458678332195675154e+01
3.441516216208125911e+01 1.458724588882873796e+01
3.541510810802778764e+01 1.458790196680082474e+01
3.641505405397430906e+01 1.458850647094329744e+01
3.741499999992083758e+01 1.458906095483706800e+01
3.841494594586735900e+01 1.458959913409529641e+01
3.941489189181388753e+01 1.459009895723005634e+01
4.041483783776040895e+01 1.459056629616146239e+01
4.141478378370693747e+01 1.459130650338192048e+01
4.241472972965345889e+01 1.459294631424254263e+01
4.341467567559998741e+01 1.459570872020989185e+01
4.441462162154650883e+01 1.459914670657534863e+01
4.541456756749303736e+01 1.460268144322602879e+01
4.641451351343955878e+01 1.460585566668271262e+01
4.741445945938608730e+01 1.460827327540246579e+01
4.841440540533260872e+01 1.460956537164340041e+01
4.941435135127913725e+01 1.460948264315213052e+01
5.041429729722565867e+01 1.460798372912245036e+01
5.141424324317218719e+01 1.460515130720663990e+01
5.241418918911870861e+01 1.460103237846980306e+01
5.341413513506523714e+01 1.459560180810356123e+01
