# days V
# ref= XXXXX
# jd_expl= 55713.0
# if missing data (gap 20 days), interpolate 
# type=  smooth 
# ebv= 0.0
3.0   15.072 
4.0   14.760 
5.0   14.457 
6.0   14.164 
7.0   13.860 
8.0   13.574 
9.0   13.380 
10.0   13.225 
11.0   13.089 
12.0   12.995 
13.0   12.938 
14.0   12.872 
15.0   12.806 
16.0   12.745 
17.0   12.693 
18.0   12.648 
19.0   12.613 
20.0   12.595 
21.0   12.598 
22.0   12.632 
23.0   12.674 
24.0   12.721 
25.0   12.783 
26.0   12.856 
27.0   12.932 
28.0   13.013 
29.0   13.114 
30.0   13.211 
31.0   13.305 
32.0   13.404 
33.0   13.479 
34.0   13.542 
35.0   13.602 
36.0   13.662 
37.0   13.720 
38.0   13.774 
39.0   13.817 
40.0   13.856 
41.0   13.896 
42.0   13.938 
43.0   13.980 
44.0   14.021 
45.0   14.059 
46.0   14.090 
47.0   14.122 
48.0   14.156 
49.0   14.180 
50.0   14.202 
51.0   14.226 
52.0   14.251 
53.0   14.273 
54.0   14.284 
55.0   14.291 
56.0   14.303 
57.0   14.305 
58.0   14.321 
59.0   14.349 
60.0   14.377 
61.0   14.403 
62.0   14.428 
63.0   14.452 
64.0   14.469 
65.0   14.480 
66.0   14.492 
67.0   14.503 
68.0   14.522 
69.0   14.544 
70.0   14.565 
71.0   14.585 
72.0   14.603 
73.0   14.626 
74.0   14.655 
75.0   14.664 
76.0   14.675 
77.0   14.693 
78.0   14.730 
79.0   14.739 
80.0   14.745 
81.0   14.752 
82.0   14.762 
83.0   14.781 
84.0   14.805 
85.0   14.830 
86.0   14.853 
87.0   14.874 
88.0   14.892 
89.0   14.906 
90.0   14.917 
91.0   14.933 
92.0   14.956 
93.0   14.985 
94.0   15.014 
95.0   15.043 
96.0   15.109 
97.0   15.117 
98.0   15.092 
