#  days K2
# ref= Olling et al 2015
# jd_expl= 994.77155
# type=  smooth 
# ebv= 0.4
# 
9.909999999999999365e-02 2.367970717102467759e+01
1.123975873015872873e+00 2.322772201254100821e+01
2.148851746031745780e+00 2.247694441168783186e+01
3.173727619047618909e+00 2.169944138486627594e+01
4.198603492063491593e+00 2.098711338165591656e+01
5.223479365079364278e+00 2.045932932458300257e+01
6.248355238095237851e+00 1.997218828882908781e+01
7.273231111111110536e+00 1.957674758055199504e+01
8.298106984126983221e+00 1.922562164019209519e+01
9.322982857142855906e+00 1.893016157243316755e+01
1.034785873015872859e+01 1.871652242652502096e+01
1.137273460317460128e+01 1.852470446847414109e+01
1.239761047619047574e+01 1.837407963507136799e+01
1.342248634920634842e+01 1.826265098597775349e+01
1.444736222222222111e+01 1.817583536026352675e+01
1.547223809523809379e+01 1.811345200236823771e+01
1.649711396825396648e+01 1.807710650430826149e+01
1.752198984126983916e+01 1.805041944071839310e+01
1.854686571428571185e+01 1.804543999795493647e+01
1.957174158730158453e+01 1.803981195653130243e+01
2.059661746031745722e+01 1.804612281720932287e+01
2.162149333333332990e+01 1.806228552475003823e+01
2.264636920634920259e+01 1.808899639876690557e+01
2.367124507936507527e+01 1.812207636076009365e+01
2.469612095238095151e+01 1.816977546372682184e+01
2.572099682539682419e+01 1.822916518490962545e+01
2.674587269841269688e+01 1.829548299494156183e+01
2.777074857142856956e+01 1.837116540573017787e+01
2.879562444444444225e+01 1.845071285074370593e+01
2.982050031746031493e+01 1.853018095615166061e+01
3.084537619047618762e+01 1.860286538504111320e+01
3.187025206349206030e+01 1.866283010223530070e+01
3.289512793650793299e+01 1.871871361380246057e+01
3.392000380952380567e+01 1.877297927869308936e+01
3.494487968253967836e+01 1.881806463725655121e+01
3.596975555555555104e+01 1.885373369676504041e+01
3.699463142857142373e+01 1.889024243320086072e+01
3.801950730158729641e+01 1.892247207252221841e+01
3.904438317460316910e+01 1.895312683443930979e+01
4.006925904761904178e+01 1.898171892250701021e+01
4.109413492063491447e+01 1.901541918562140765e+01
4.211901079365078715e+01 1.904740745929916201e+01
4.314388666666665983e+01 1.907941400319808523e+01
4.416876253968253252e+01 1.911741428145157329e+01
4.519363841269840520e+01 1.916633244530957114e+01
4.621851428571427789e+01 1.922131020319117312e+01
4.724339015873015057e+01 1.928675843684515456e+01
4.826826603174602326e+01 1.936137860131430699e+01
4.929314190476190305e+01 1.945125432027360546e+01
5.031801777777777573e+01 1.953756425350132631e+01
5.134289365079364842e+01 1.960159954242077163e+01
5.236776952380952110e+01 1.966648038531326392e+01
5.339264539682539379e+01 1.973458762853622162e+01
5.441752126984126647e+01 1.978679655705239782e+01
5.544239714285713916e+01 1.983044201511129501e+01
5.646727301587301184e+01 1.986823180613872708e+01
5.749214888888888453e+01 1.991073967411227841e+01
5.851702476190475721e+01 1.993265296979411261e+01
5.954190063492062990e+01 1.995409156353864688e+01
6.056677650793650258e+01 1.998435600426626735e+01
6.159165238095237527e+01 2.002821820598203928e+01
6.261652825396824795e+01 2.006756562427446511e+01
6.364140412698412064e+01 2.010743697640849703e+01
6.466628000000000043e+01 2.014253711076282016e+01
