#  days V
# ref= Valenti et al 2011
# jd_expl= 55099.5
# if missing data (gap 1 days), interpolate 
# type=  smooth 
# ebv= 0.122903455812
# 
1.721088435576278997e-02 1.842229567816940516e+01
1.020816326532625773e+00 1.808564539847200692e+01
2.024421768709488312e+00 1.766517869352142966e+01
3.028027210886350851e+00 1.717445270839367311e+01
4.031632653063214278e+00 1.683322346662226465e+01
5.035238095240076817e+00 1.644406756559701677e+01
6.038843537416939355e+00 1.608966949860808882e+01
7.042448979593801894e+00 1.585729082415194213e+01
8.046054421770664433e+00 1.563599848179827845e+01
9.049659863947526972e+00 1.540288637560682261e+01
1.005326530612439129e+01 1.524349767092053298e+01
1.105687074830125383e+01 1.511675738307619987e+01
1.206047619047811637e+01 1.498487001630331505e+01
1.306408163265497890e+01 1.489032624908846181e+01
1.406768707483184144e+01 1.480016329505653339e+01
1.507129251700870398e+01 1.474037070227135615e+01
1.607489795918556652e+01 1.468670062664346787e+01
1.707850340136242906e+01 1.463665812144960476e+01
1.808210884353929160e+01 1.459389801065344905e+01
1.908571428571615414e+01 1.455460634956105359e+01
2.008931972789301668e+01 1.461965968371035274e+01
2.109292517006987921e+01 1.460094203175649952e+01
2.209653061224674531e+01 1.458561071203227044e+01
2.310013605442360785e+01 1.457501129121776273e+01
2.410374149660047038e+01 1.457152195782501813e+01
2.510734693877733292e+01 1.457674272438023699e+01
2.611095238095419546e+01 1.459066446644428439e+01
2.711455782313105800e+01 1.461255245222135279e+01
2.811816326530792054e+01 1.464186368009118766e+01
2.912176870748478308e+01 1.467829681076380943e+01
3.012537414966164562e+01 1.472138347139096659e+01
3.112897959183850816e+01 1.477022608835913786e+01
3.213258503401537070e+01 1.482361122823047417e+01
3.313619047619223323e+01 1.488029951824123742e+01
3.413979591836909577e+01 1.493920684703781987e+01
3.514340136054595831e+01 1.499941873273134618e+01
3.614700680272282085e+01 1.506017206921158902e+01
3.715061224489968339e+01 1.512090629525134133e+01
3.815421768707654593e+01 1.518130138554276698e+01
3.915782312925340847e+01 1.524119792213754288e+01
4.016142857143027101e+01 1.530046796170142187e+01
4.116503401360713355e+01 1.535889956300286840e+01
4.216863945578399608e+01 1.541605556047842995e+01
4.317224489796085862e+01 1.547118579929052018e+01
4.417585034013772116e+01 1.552351408358256002e+01
4.517945578231458370e+01 1.557285597153855505e+01
4.618306122449145334e+01 1.561973767689644532e+01
4.718666666666831588e+01 1.566486807969068806e+01
