#  days V
# ref= Cao et al 2013, Fremling et al 2014
# jd_expl= 56459.17
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 0.0545616856861
# 
1.590268500003730878e+00 1.709067239084283329e+01
2.593850756525394985e+00 1.677054582112024406e+01
3.597433013047059536e+00 1.646805908316723688e+01
4.601015269568724086e+00 1.619869132647633947e+01
5.604597526090388193e+00 1.593300779676040158e+01
6.608179782612052300e+00 1.573932651017593010e+01
7.611762039133717295e+00 1.557202346511739321e+01
8.615344295655381401e+00 1.542878289976818174e+01
9.618926552177045508e+00 1.535228518674597709e+01
1.062250880869870961e+01 1.526700388035225586e+01
1.162609106522037372e+01 1.516369999045544148e+01
1.262967332174203783e+01 1.511475338868684126e+01
1.363325557826370371e+01 1.507835387489579837e+01
1.463683783478536782e+01 1.505450309858218993e+01
1.564042009130703192e+01 1.502454713103100303e+01
1.664400234782869603e+01 1.502737609490418436e+01
1.764758460435036014e+01 1.509203593129085164e+01
1.865116686087202424e+01 1.511368825025697227e+01
1.965474911739368835e+01 1.508663334184287130e+01
2.065833137391535246e+01 1.521691416780691952e+01
2.166191363043701656e+01 1.528083680867066008e+01
2.266549588695868067e+01 1.535464331877697930e+01
2.366907814348034478e+01 1.543700587252206446e+01
2.467266040000200888e+01 1.552747145896690739e+01
2.567624265652367654e+01 1.562537541421629861e+01
2.667982491304534065e+01 1.572770755740103077e+01
2.768340716956700476e+01 1.582768467077555918e+01
2.868698942608866886e+01 1.591878804329178188e+01
2.969057168261033297e+01 1.600020827822299552e+01
3.069415393913199708e+01 1.607520286322634817e+01
3.169773619565366118e+01 1.614691825862178831e+01
3.270131845217532884e+01 1.621704406814414767e+01
3.370490070869698940e+01 1.628614700435519680e+01
3.470848296521865706e+01 1.635408825024142843e+01
3.571206522174031761e+01 1.642019989864201079e+01
3.671564747826198527e+01 1.648338086655287782e+01
3.771922973478364582e+01 1.654234923186648842e+01
3.872281199130531348e+01 1.659612804212373049e+01
3.972639424782697404e+01 1.664447189959281204e+01
4.072997650434864170e+01 1.668784693271479824e+01
4.173355876087030225e+01 1.672703347021221987e+01
4.273714101739196991e+01 1.676274255469899188e+01
4.374072327391363046e+01 1.679545474939473948e+01
4.474430553043529812e+01 1.682547030630978213e+01
4.574788778695695868e+01 1.685310726198782660e+01
4.675147004347862634e+01 1.687893842142819878e+01
4.775505230000028689e+01 1.690384255979135730e+01
4.875863455652195455e+01 1.692856850934089152e+01
4.976221681304362221e+01 1.695303799432750580e+01
5.076579906956528276e+01 1.697658642455353828e+01
5.176938132608695042e+01 1.699920317326193953e+01
5.277296358260861098e+01 1.702183837757761964e+01
5.377654583913027864e+01 1.704526447129714128e+01
5.478012809565193919e+01 1.706921827684794124e+01
5.578371035217360685e+01 1.709296945297117887e+01
5.678729260869526740e+01 1.711636378440207906e+01
5.779087486521693506e+01 1.714014827503878990e+01
5.879445712173859562e+01 1.716551823016748557e+01
5.979803937826026328e+01 1.719328390689089403e+01
6.080162163478192383e+01 1.722276277948307666e+01
6.180520389130359149e+01 1.725073599838325222e+01
6.280878614782525204e+01 1.727289180021140425e+01
6.381236840434691970e+01 1.728846729574036800e+01
6.481595066086858026e+01 1.730063481714623919e+01
6.581953291739024792e+01 1.731221008743561995e+01
6.682311517391191558e+01 1.732414589355937196e+01
6.782669743043358324e+01 1.733642624303045565e+01
6.883027968695523668e+01 1.734880140645609714e+01
6.983386194347690434e+01 1.736100011726584569e+01
7.083744419999857200e+01 1.737267668700441803e+01
