#  days V
# ref= XXXXX
# jd_expl= 52303.4
# if missing data (gap 3 days), interpolate 
# type=  smooth 
# ebv= 0.0689004221975
# 
1.269999999996798579e+00 1.381192381019430471e+01
2.271858108104916507e+00 1.318336922529050526e+01
3.273716216213034436e+00 1.277118963265531448e+01
4.275574324321151920e+00 1.252700196079779715e+01
5.277432432429270293e+00 1.237951206432764195e+01
6.279290540537388665e+00 1.227264194026994204e+01
7.281148648645506150e+00 1.220700781369918175e+01
8.283006756753623634e+00 1.214999419604598785e+01
9.284864864861742006e+00 1.212501901895703504e+01
1.028672297296986038e+01 1.211752194433948659e+01
1.128858108107797875e+01 1.212699375885424580e+01
1.229043918918609535e+01 1.215384546549219458e+01
1.329229729729421372e+01 1.220013814897795790e+01
1.429415540540233209e+01 1.223859002397203710e+01
1.529601351351044869e+01 1.230474769530196077e+01
1.629787162161856884e+01 1.237450979875433354e+01
1.729972972972668543e+01 1.244708598510496778e+01
1.830158783783480203e+01 1.251077515593885714e+01
1.930344594594292218e+01 1.256860200964884910e+01
2.030530405405103878e+01 1.265522180747244718e+01
2.130716216215915892e+01 1.272694417796604860e+01
2.230902027026727552e+01 1.279947026878361527e+01
2.331087837837539212e+01 1.287263771135087254e+01
2.431273648648351227e+01 1.294642904595478150e+01
2.531459459459162886e+01 1.302089571204187557e+01
2.631645270269974546e+01 1.309614142063567499e+01
2.731831081080786561e+01 1.317223134579016630e+01
2.832016891891598220e+01 1.324883484926094113e+01
2.932202702702409880e+01 1.332516479287617805e+01
3.032388513513221895e+01 1.340069506070985561e+01
3.132574324324033554e+01 1.347537958433654559e+01
3.232760135134845569e+01 1.354928519664508890e+01
3.332945945945657229e+01 1.362238019559178603e+01
3.433131756756468889e+01 1.369440189207818115e+01
3.533317567567280548e+01 1.376438950034777875e+01
3.633503378378092918e+01 1.382977883724378287e+01
3.733689189188904578e+01 1.388726705596456412e+01
3.833874999999716238e+01 1.393679960151464314e+01
3.934060810810527897e+01 1.398141434101045100e+01
4.034246621621339557e+01 1.402339972169779436e+01
4.134432432432151927e+01 1.406350387632735632e+01
4.234618243242963587e+01 1.410162823389532605e+01
4.334804054053775246e+01 1.413709433964859841e+01
4.434989864864586906e+01 1.416892118928865152e+01
4.535175675675398566e+01 1.419678759406925828e+01
4.635361486486210225e+01 1.422147104119301098e+01
4.735547297297022595e+01 1.424405795215433379e+01
4.835733108107834255e+01 1.426534640099253792e+01
4.935918918918645915e+01 1.428580478151749489e+01
5.036104729729457574e+01 1.430566900851206036e+01
5.136290540540269234e+01 1.432505329206085776e+01
5.236476351351081604e+01 1.434406344304515457e+01
5.336662162161893264e+01 1.436283395769559057e+01
5.436847972972704923e+01 1.438148343857211486e+01
5.537033783783516583e+01 1.440008293923122551e+01
5.637219594594328242e+01 1.441866477184330186e+01
5.737405405405139902e+01 1.443724117560241815e+01
5.837591216215952272e+01 1.445581620056415240e+01
5.937777027026763932e+01 1.447439100693916814e+01
6.037962837837575591e+01 1.449296585082219302e+01
6.138148648648387251e+01 1.451154074997996268e+01
6.238334459459198911e+01 1.453011568130226649e+01
6.338520270270011281e+01 1.454869062677416736e+01
6.438706081080823651e+01 1.456726557748206297e+01
6.538891891891634600e+01 1.458584052988309665e+01
6.639077702702446970e+01 1.460441548277145607e+01
6.739263513513257919e+01 1.462299043578597235e+01
6.839449324324070290e+01 1.464156538883004188e+01
6.939635135134881239e+01 1.466014034188042281e+01
7.039820945945693609e+01 1.467871529493202232e+01
7.140006756756505979e+01 1.469729024798385097e+01
7.240192567567316928e+01 1.471586520103570983e+01
7.340378378378129298e+01 1.473444015408757224e+01
7.440564189188940247e+01 1.475301510713944353e+01
7.540749999999752617e+01 1.477159006019130416e+01
7.640935810810564988e+01 1.479016501324317012e+01
7.741121621621375937e+01 1.480873996629503253e+01
7.841307432432188307e+01 1.482731491934690027e+01
7.941493243242999256e+01 1.484588987239876623e+01
8.041679054053811626e+01 1.486446482545062864e+01
8.141864864864623996e+01 1.488303977850249993e+01
8.242050675675434945e+01 1.490161473155436411e+01
8.342236486486247315e+01 1.492018968460622652e+01
8.442422297297058265e+01 1.493876463765809781e+01
8.542608108107870635e+01 1.495733959070995667e+01
8.642793918918681584e+01 1.497591454376182263e+01
8.742979729729493954e+01 1.499448949681369569e+01
8.843165540540306324e+01 1.501306444986556343e+01
8.943351351351117273e+01 1.503163940291740985e+01
9.043537162161929643e+01 1.505021435596929180e+01
9.143722972972740592e+01 1.506878930902115066e+01
9.243908783783552963e+01 1.508736426207301129e+01
9.344094594594365333e+01 1.510593921512488613e+01
9.444280405405176282e+01 1.512451416817674321e+01
9.544466216215988652e+01 1.514308912122861273e+01
9.644652027026799601e+01 1.516166407428047513e+01
9.744837837837611971e+01 1.518023902733234287e+01
9.845023648648424341e+01 1.519881398038420350e+01
9.945209459459235291e+01 1.521738893343607835e+01
1.004539527027004766e+02 1.523596389798395023e+01
1.014558108108085861e+02 1.525453886319937524e+01
1.024576689189167098e+02 1.527311384035861686e+01
1.034595270270248335e+02 1.529168884025347452e+01
1.044613851351329430e+02 1.531026388254765536e+01
1.054632432432410667e+02 1.532883900231010976e+01
1.064651013513491762e+02 1.534741426076224080e+01
1.074669594594572999e+02 1.536598976253599780e+01
1.084688175675654236e+02 1.538456568273328173e+01
1.094706756756735331e+02 1.540314230836028919e+01
1.104725337837816568e+02 1.542172010029121942e+01
1.114743918918897663e+02 1.544029978373344214e+01
1.124762499999978900e+02 1.545888247699845763e+01
1.134781081081059995e+02 1.547746986966887128e+01
1.144799662162141232e+02 1.549606446079787325e+01
1.154818243243222469e+02 1.551466986335037745e+01
1.164836824324303564e+02 1.553329116910360064e+01
1.174855405405384801e+02 1.555193534405901268e+01
1.184873986486465895e+02 1.557061158454617456e+01
1.194892567567547133e+02 1.558933151145407336e+01
1.204911148648628370e+02 1.560810903199105582e+01
1.214929729729709464e+02 1.562695969371974947e+01
1.224948310810790701e+02 1.564589944495197216e+01
1.234966891891871796e+02 1.566494292291481472e+01
1.244985472972953033e+02 1.568410165727545369e+01
1.255004054054034270e+02 1.570338274489283670e+01
1.265022635135115365e+02 1.572278846064331148e+01
1.275041216216196602e+02 1.574231691154555435e+01
1.285059797297277555e+02 1.576196341803870382e+01
1.295078378378358934e+02 1.578172207388982962e+01
1.305096959459440029e+02 1.580158699342937823e+01
1.315115540540521408e+02 1.582155299347674315e+01
1.325134121621602503e+02 1.584161569753475618e+01
1.335152702702683598e+02 1.586177118572935285e+01
1.345171283783764693e+02 1.588201534884708366e+01
1.355189864864846072e+02 1.590234310047011412e+01
1.365208445945927167e+02 1.592274761471786881e+01
1.375227027027008262e+02 1.594321980036282760e+01
1.385245608108089641e+02 1.596374824870497022e+01
1.395264189189170736e+02 1.598431982310499322e+01
1.405282770270251831e+02 1.600492085248512808e+01
1.415301351351333210e+02 1.602553862441406807e+01
1.425319932432414305e+02 1.604616271628083979e+01
1.435338513513495400e+02 1.606678577985223555e+01
1.445357094594576495e+02 1.608740365631294722e+01
1.455375675675657874e+02 1.610801496654889675e+01
1.465394256756738969e+02 1.612862044844205300e+01
1.475412837837820064e+02 1.614922228354419786e+01
1.485431418918901443e+02 1.616982354664029842e+01
1.495449999999982538e+02 1.619042780534616455e+01
1.505468581081063633e+02 1.621103883381017496e+01
1.515487162162145012e+02 1.623166038888149743e+01
1.525505743243226107e+02 1.625229601628712928e+01
1.535524324324307202e+02 1.627294889103593789e+01
1.545542905405388296e+02 1.629362173033058525e+01
1.555561486486469676e+02 1.631431682896437962e+01
1.565580067567550770e+02 1.633503624717729608e+01
1.575598648648631865e+02 1.635578214030996946e+01
1.585617229729713245e+02 1.637655718591860321e+01
1.595635810810794339e+02 1.639736506197220223e+01
1.605654391891875434e+02 1.641821096266524904e+01
1.615672972972956813e+02 1.643910218636981924e+01
1.625691554054037908e+02 1.646004886100614328e+01
1.635710135135119003e+02 1.648106484996118226e+01
1.645728716216200098e+02 1.650216877277244976e+01
1.655747297297281477e+02 1.652338486421656327e+01
1.665765878378362572e+02 1.654474313152706344e+01
1.675784459459443667e+02 1.656627811290836405e+01
1.685803040540525046e+02 1.658802573289552029e+01
1.695821621621606141e+02 1.661001841581946081e+01
1.705840202702687236e+02 1.663227950132394994e+01
1.715858783783768331e+02 1.665481849245579227e+01
1.725877364864849710e+02 1.667762828964310629e+01
1.735895945945930805e+02 1.670068451809624577e+01
1.745914527027011900e+02 1.672394606268982642e+01
1.755933108108093279e+02 1.674735556497564559e+01
1.765951689189174374e+02 1.677083895489591114e+01
1.775970270270255469e+02 1.679430378731570528e+01
1.785988851351336848e+02 1.681763696907482597e+01
1.796007432432417943e+02 1.684070328696345342e+01
1.806026013513499038e+02 1.686334686289574947e+01
1.816044594594580133e+02 1.688539793848008941e+01
1.826063175675661512e+02 1.690668669477098618e+01
1.836081756756742607e+02 1.692706379765821012e+01
1.846100337837823702e+02 1.694642447400555696e+01
1.856118918918905081e+02 1.696473061925473402e+01
1.866137499999986176e+02 1.698202534141163511e+01
1.876156081081067271e+02 1.699843679988979872e+01
1.886174662162148650e+02 1.701417165750713778e+01
1.896193243243229745e+02 1.702950067493243225e+01
1.906211824324310840e+02 1.704473883981814808e+01
1.916230405405391934e+02 1.706022076718133818e+01
1.926248986486473314e+02 1.707627095072027146e+01
1.936267567567554408e+02 1.709316961398732815e+01
1.946286148648635503e+02 1.711111873126636596e+01
1.956304729729716883e+02 1.713021717648831910e+01
1.966323310810797977e+02 1.715045489724709427e+01
1.976341891891879072e+02 1.717173051728526190e+01
1.986360472972960167e+02 1.719388672118935091e+01
1.996379054054041546e+02 1.721674981655991132e+01
2.006397635135122641e+02 1.724015969856726826e+01
2.016416216216203736e+02 1.726398339525409398e+01
2.026434797297285115e+02 1.728811373947372942e+01
2.036453378378366210e+02 1.731245953045748109e+01
2.046471959459447305e+02 1.733693394937709442e+01
2.056490540540528684e+02 1.736144599924733001e+01
2.066509121621609779e+02 1.738589752790106502e+01
2.076527702702690874e+02 1.741018679438231587e+01
2.086546283783771969e+02 1.743421806561822507e+01
2.096564864864853348e+02 1.745791458200247348e+01
2.106583445945934443e+02 1.748122980584830444e+01
2.116602027027015538e+02 1.750415138644758173e+01
2.126620608108096917e+02 1.752669560713992425e+01
2.136639189189178012e+02 1.754889541740824299e+01
