# 2011dh   type IIB
#          Ergon et al 2015
#
# t      U       B      V      R      I
0.0    15.06  15.51  15.04  14.69  14.57 
1.0    14.99  15.23  14.75  14.40  14.34 
2.0    14.84  14.95  14.45  14.10  14.11 
3.0    14.68  14.68  14.16  13.83  13.88 
4.0    14.50  14.41  13.86  13.58  13.66 
5.0    14.31  14.18  13.60  13.35  13.44 
6.0    14.17  13.98  13.39  13.15  13.22 
7.0    14.09  13.83  13.23  12.99  13.02 
8.0    14.06  13.72  13.12  12.85  12.85 
9.0    13.96  13.63  13.03  12.73  12.73 
10.0   13.85  13.56  12.96  12.64  12.66 
11.0   13.77  13.49  12.89  12.56  12.59 
12.0   13.69  13.44  12.82  12.49  12.51 
13.0   13.66  13.39  12.76  12.43  12.44 
14.0   13.64  13.35  12.70  12.38  12.36 
15.0   13.62  13.33  12.66  12.34  12.29 
16.0   13.61  13.33  12.62  12.31  12.25 
17.0   13.64  13.34  12.62  12.29  12.24 
18.0   13.71  13.39  12.63  12.27  12.23 
19.0   13.80  13.45  12.66  12.27  12.22 
20.0   13.95  13.54  12.70  12.29  12.22 
21.0   14.13  13.64  12.74  12.32  12.22 
22.0   14.31  13.76  12.79  12.36  12.23 
23.0   14.54  13.90  12.86  12.40  12.25 
24.0   14.78  14.04  12.93  12.45  12.29 
25.0   15.02  14.18  13.02  12.52  12.33 
26.0   15.24  14.32  13.11  12.58  12.38 
27.0   15.41  14.45  13.21  12.65  12.43 
28.0   15.56  14.57  13.30  12.71  12.48 
29.0   15.69  14.67  13.38  12.77  12.52 
30.0   15.80  14.75  13.47  12.82  12.55 
31.0   15.91  14.83  13.54  12.87  12.59 
32.0   16.01  14.91  13.60  12.91  12.62 
33.0   16.07  14.98  13.66  12.96  12.66 
34.0   16.15  15.05  13.71  13.02  12.69 
35.0   16.24  15.11  13.77  13.07  12.73 
36.0   16.31  15.17  13.81  13.12  12.76 
37.0   16.36  15.21  13.86  13.16  12.79 
38.0   16.41  15.25  13.90  13.19  12.82 
39.0   16.43  15.29  13.94  13.22  12.86 
40.0   16.42  15.32  13.98  13.26  12.89 
41.0   16.42  15.35  14.02  13.29  12.92 
42.0   16.42  15.37  14.05  13.32  12.95 
43.0   16.42  15.39  14.08  13.36  12.97 
44.0   16.43  15.41  14.12  13.40  13.00 
45.0   16.43  15.43  14.15  13.44  13.02 
46.0   16.43  15.44  14.18  13.46  13.04 
47.0   16.43  15.45  14.20  13.47  13.07 
48.0   16.42  15.47  14.23  13.51  13.11 
49.0   16.43  15.49  14.25  13.54  13.14 
50.0   16.45  15.51  14.27  13.57  13.17 
51.0   16.46  15.52  14.28  13.58  13.19 
52.0   16.46  15.54  14.29  13.60  13.20 
53.0   16.44  15.55  14.30  13.61  13.23 
54.0   16.41  15.56  14.32  13.62  13.25 
55.0   16.38  15.57  14.33  13.64  13.27 
56.0   16.39  15.58  14.35  13.67  13.29 
57.0   16.42  15.59  14.38  13.70  13.31 
58.0   16.44  15.60  14.40  13.73  13.33 
59.0   16.46  15.61  14.43  13.75  13.34 
60.0   16.47  15.62  14.45  13.78  13.36 
61.0   16.46  15.63  14.46  13.80  13.37 
62.0   16.45  15.63  14.48  13.82  13.39 
63.0   16.44  15.64  14.49  13.83  13.41 
64.0   16.42  15.65  14.51  13.85  13.43 
65.0   16.42  15.65  14.52  13.88  13.45 
66.0   16.42  15.66  14.54  13.91  13.46 
67.0   16.42  15.66  14.56  13.93  13.47 
68.0   16.43  15.67  14.58  13.95  13.48 
69.0   16.46  15.67  14.60  13.95  13.49 
70.0   16.48  15.68  14.62  13.97  13.50 
71.0   16.46  15.70  14.64  14.00  13.51 
72.0   16.45  15.72  14.65  14.01  13.53 
73.0   16.45  15.73  14.67  14.03  13.56 
74.0   16.46  15.75  14.69  14.04  13.58 
75.0   16.47  15.76  14.71  14.07  13.61 
76.0   16.50  15.78  14.73  14.10  13.63 
77.0   16.51  15.79  14.74  14.13  13.65 
78.0   16.44  15.79  14.75  14.14  13.67 
79.0   16.41  15.80  14.77  14.16  13.68 
80.0   16.43  15.81  14.79  14.18  13.69 
81.0   16.46  15.81  14.81  14.20  13.69 
82.0   16.49  15.82  14.83  14.23  13.71 
83.0   16.49  15.83  14.85  14.26  13.73 
84.0   16.47  15.85  14.87  14.29  13.75 
85.0   16.45  15.86  14.89  14.31  13.78 
86.0   16.44  15.87  14.91  14.33  13.80 
87.0   16.45  15.87  14.92  14.34  13.81 
88.0   16.51  15.88  14.94  14.36  13.82 
89.0   16.54  15.89  14.96  14.38  13.84 
90.0   16.56  15.91  14.98  14.40  13.87 
91.0   16.59  15.92  15.00  14.43  13.90 
92.0   16.63  15.94  15.03  14.46  13.93 
93.0   16.67  15.96  15.06  14.50  13.96 
94.0   16.67  15.98  15.09  14.53  13.99 
95.0   16.61  16.00  15.08  14.52  14.01 
