# Ic   SN2002ap   Tomita et al 2006, pandey et 2002
# t    U       B     V      R       I
1.0   13.47  13.65  12.98  13.27  13.36 
2.0   13.22  13.44  12.79  13.05  13.24 
3.0   13.06  13.27  12.64  12.85  13.13 
4.0   12.96  13.14  12.52  12.68  13.03 
5.0   12.88  13.05  12.43  12.54  12.93 
6.0   12.84  12.99  12.35  12.43  12.83 
7.0   12.85  12.95  12.30  12.34  12.74 
8.0   12.93  12.93  12.27  12.28  12.65 
9.0   13.04  12.92  12.26  12.23  12.56 
10.0   13.16  12.93  12.25  12.19  12.48 
11.0   13.30  12.96  12.26  12.16  12.40 
12.0   13.45  13.01  12.28  12.13  12.34 
13.0   13.61  13.08  12.30  12.11  12.29 
14.0   13.77  13.16  12.32  12.11  12.24 
15.0   13.94  13.25  12.36  12.12  12.22 
16.0   14.10  13.35  12.40  12.14  12.21 
17.0   14.24  13.45  12.45  12.17  12.21 
18.0   14.36  13.55  12.51  12.21  12.22 
19.0   14.48  13.64  12.58  12.26  12.24 
20.0   14.60  13.74  12.65  12.31  12.26 
21.0   14.71  13.83  12.72  12.36  12.30 
22.0   14.78  13.91  12.79  12.41  12.33 
23.0   14.87  14.00  12.86  12.47  12.37 
24.0   14.96  14.07  12.94  12.53  12.41 
25.0   15.04  14.15  13.02  12.59  12.45 
26.0   15.09  14.22  13.10  12.65  12.49 
27.0   15.15  14.28  13.18  12.71  12.53 
28.0   15.23  14.35  13.25  12.78  12.57 
29.0   15.32  14.42  13.33  12.84  12.61 
30.0   15.42  14.49  13.41  12.91  12.65 
31.0   15.48  14.55  13.49  12.98  12.69 
32.0   15.51  14.62  13.57  13.05  12.74 
33.0   15.55  14.69  13.65  13.12  12.78 
34.0   15.59  14.76  13.73  13.18  12.82 
35.0   15.63  14.82  13.79  13.25  12.86 
36.0   15.64  14.88  13.85  13.32  12.90 
37.0   15.66  14.93  13.91  13.38  12.94 
38.0   15.67  14.98  13.97  13.44  12.99 
39.0   15.69  15.03  14.03  13.50  13.03 
40.0   15.71  15.07  14.08  13.56  13.07 
41.0   15.73  15.12  14.14  13.60  13.11 
42.0   15.75  15.16  14.19  13.64  13.14 
43.0   15.77  15.19  14.24  13.67  13.18 
44.0   15.79  15.22  14.27  13.69  13.22 
45.0   15.81  15.25  14.28  13.72  13.25 
46.0   15.83  15.26  14.28  13.75  13.29 
47.0   15.85  15.26  14.29  13.77  13.32 
48.0   15.86  15.25  14.30  13.80  13.34 
49.0   15.88  15.24  14.32  13.83  13.37 
50.0   15.90  15.24  14.34  13.85  13.39 
51.0   15.92  15.24  14.36  13.88  13.42 
52.0   15.94  15.25  14.38  13.89  13.43 
53.0   15.96  15.26  14.39  13.91  13.45 
54.0   15.98  15.28  14.40  13.92  13.47 
55.0   16.00  15.29  14.40  13.94  13.48 
56.0   16.02  15.30  14.42  13.95  13.49 
57.0   16.04  15.32  14.43  13.96  13.51 
58.0   16.06  15.33  14.45  13.98  13.52 
59.0   16.08  15.34  14.47  13.99  13.52 
60.0   16.10  15.36  14.49  14.01  13.53 
61.0   16.11  15.37  14.50  14.02  13.54 
62.0   16.13  15.38  14.52  14.04  13.54 
63.0   16.15  15.40  14.54  14.05  13.55 
64.0   16.17  15.41  14.56  14.07  13.57 
65.0   16.19  15.42  14.58  14.09  13.58 
66.0   16.21  15.44  14.60  14.10  13.60 
67.0   16.23  15.45  14.62  14.12  13.61 
68.0   16.25  15.47  14.63  14.13  13.63 
69.0   16.27  15.48  14.65  14.15  13.65 
70.0   16.29  15.49  14.67  14.16  13.67 
71.0   16.31  15.51  14.69  14.18  13.69 
72.0   16.33  15.52  14.71  14.20  13.71 
73.0   16.34  15.53  14.73  14.21  13.73 
74.0   16.36  15.55  14.75  14.23  13.75 
75.0   16.38  15.56  14.76  14.24  13.77 
76.0   16.40  15.57  14.78  14.26  13.78 
77.0   16.42  15.59  14.80  14.27  13.80 
78.0   16.44  15.60  14.82  14.29  13.82 
79.0   16.46  15.61  14.84  14.31  13.84 
80.0   16.48  15.63  14.86  14.32  13.86 
81.0   16.50  15.64  14.88  14.34  13.88 
82.0   16.52  15.65  14.89  14.35  13.90 
83.0   16.54  15.67  14.91  14.37  13.92 
84.0   16.56  15.68  14.93  14.38  13.94 
85.0   16.58  15.69  14.95  14.40  13.96 
86.0   16.59  15.71  14.97  14.42  13.98 
87.0   16.61  15.72  14.99  14.43  14.00 
88.0   16.63  15.73  15.01  14.45  14.02 
89.0   16.65  15.75  15.02  14.46  14.04 
90.0   16.67  15.76  15.04  14.48  14.06 
91.0   16.69  15.77  15.06  14.49  14.07 
92.0   16.71  15.79  15.08  14.51  14.09 
93.0   16.73  15.80  15.10  14.53  14.11 
94.0   16.75  15.81  15.12  14.54  14.13 
95.0   16.77  15.83  15.13  14.56  14.15 
96.0   16.79  15.84  15.15  14.57  14.17 
97.0   16.81  15.85  15.17  14.59  14.19 
98.0   16.83  15.87  15.19  14.60  14.21 
99.0   16.84  15.88  15.21  14.62  14.23 
