time (d since explosion)     U     B     V     R    I     J    H     K    bol.
   2.531e+00  -1.556e+01  -1.488e+01  -1.500e+01  -1.514e+01  -1.515e+01  -1.466e+01  -1.485e+01  -1.481e+01  -1.537e+01
   2.649e+00  -1.566e+01  -1.495e+01  -1.508e+01  -1.521e+01  -1.527e+01  -1.512e+01  -1.501e+01  -1.474e+01  -1.543e+01
   2.773e+00  -1.573e+01  -1.498e+01  -1.524e+01  -1.534e+01  -1.537e+01  -1.505e+01  -1.514e+01  -1.517e+01  -1.547e+01
   2.902e+00  -1.569e+01  -1.505e+01  -1.530e+01  -1.543e+01  -1.539e+01  -1.529e+01  -1.530e+01  -1.516e+01  -1.550e+01
   3.038e+00  -1.574e+01  -1.514e+01  -1.537e+01  -1.556e+01  -1.560e+01  -1.529e+01  -1.552e+01  -1.498e+01  -1.556e+01
   3.180e+00  -1.563e+01  -1.520e+01  -1.549e+01  -1.568e+01  -1.577e+01  -1.552e+01  -1.539e+01  -1.539e+01  -1.559e+01
   3.328e+00  -1.572e+01  -1.525e+01  -1.558e+01  -1.580e+01  -1.583e+01  -1.564e+01  -1.563e+01  -1.525e+01  -1.565e+01
   3.484e+00  -1.562e+01  -1.532e+01  -1.570e+01  -1.585e+01  -1.589e+01  -1.575e+01  -1.564e+01  -1.554e+01  -1.567e+01
   3.647e+00  -1.564e+01  -1.535e+01  -1.577e+01  -1.599e+01  -1.609e+01  -1.591e+01  -1.584e+01  -1.571e+01  -1.573e+01
   3.817e+00  -1.561e+01  -1.540e+01  -1.585e+01  -1.608e+01  -1.617e+01  -1.608e+01  -1.606e+01  -1.568e+01  -1.578e+01
   3.996e+00  -1.564e+01  -1.543e+01  -1.596e+01  -1.618e+01  -1.626e+01  -1.606e+01  -1.598e+01  -1.602e+01  -1.582e+01
   4.182e+00  -1.557e+01  -1.543e+01  -1.604e+01  -1.628e+01  -1.639e+01  -1.619e+01  -1.610e+01  -1.593e+01  -1.587e+01
   4.378e+00  -1.557e+01  -1.547e+01  -1.608e+01  -1.639e+01  -1.650e+01  -1.625e+01  -1.624e+01  -1.623e+01  -1.593e+01
   4.582e+00  -1.556e+01  -1.551e+01  -1.616e+01  -1.647e+01  -1.660e+01  -1.640e+01  -1.626e+01  -1.627e+01  -1.599e+01
   4.796e+00  -1.558e+01  -1.550e+01  -1.626e+01  -1.657e+01  -1.667e+01  -1.641e+01  -1.637e+01  -1.622e+01  -1.604e+01
   5.021e+00  -1.553e+01  -1.548e+01  -1.631e+01  -1.666e+01  -1.683e+01  -1.660e+01  -1.661e+01  -1.643e+01  -1.611e+01
   5.255e+00  -1.554e+01  -1.553e+01  -1.634e+01  -1.674e+01  -1.693e+01  -1.666e+01  -1.673e+01  -1.663e+01  -1.617e+01
   5.501e+00  -1.553e+01  -1.555e+01  -1.640e+01  -1.680e+01  -1.706e+01  -1.674e+01  -1.683e+01  -1.678e+01  -1.622e+01
   5.758e+00  -1.554e+01  -1.556e+01  -1.646e+01  -1.685e+01  -1.707e+01  -1.678e+01  -1.701e+01  -1.685e+01  -1.628e+01
   6.027e+00  -1.549e+01  -1.556e+01  -1.652e+01  -1.693e+01  -1.720e+01  -1.698e+01  -1.697e+01  -1.673e+01  -1.634e+01
   6.309e+00  -1.552e+01  -1.552e+01  -1.652e+01  -1.698e+01  -1.724e+01  -1.701e+01  -1.712e+01  -1.695e+01  -1.636e+01
   6.603e+00  -1.553e+01  -1.557e+01  -1.657e+01  -1.704e+01  -1.733e+01  -1.710e+01  -1.705e+01  -1.688e+01  -1.642e+01
   6.912e+00  -1.551e+01  -1.556e+01  -1.659e+01  -1.708e+01  -1.741e+01  -1.714e+01  -1.722e+01  -1.699e+01  -1.647e+01
   7.235e+00  -1.549e+01  -1.553e+01  -1.662e+01  -1.714e+01  -1.747e+01  -1.721e+01  -1.720e+01  -1.706e+01  -1.650e+01
   7.573e+00  -1.549e+01  -1.555e+01  -1.664e+01  -1.717e+01  -1.754e+01  -1.726e+01  -1.734e+01  -1.710e+01  -1.654e+01
   7.927e+00  -1.545e+01  -1.553e+01  -1.666e+01  -1.722e+01  -1.756e+01  -1.732e+01  -1.739e+01  -1.697e+01  -1.657e+01
   8.297e+00  -1.543e+01  -1.552e+01  -1.667e+01  -1.724e+01  -1.761e+01  -1.739e+01  -1.742e+01  -1.711e+01  -1.659e+01
   8.685e+00  -1.537e+01  -1.547e+01  -1.667e+01  -1.727e+01  -1.767e+01  -1.737e+01  -1.747e+01  -1.701e+01  -1.661e+01
   9.091e+00  -1.536e+01  -1.546e+01  -1.664e+01  -1.726e+01  -1.769e+01  -1.740e+01  -1.749e+01  -1.708e+01  -1.661e+01
   9.516e+00  -1.523e+01  -1.538e+01  -1.658e+01  -1.725e+01  -1.772e+01  -1.743e+01  -1.756e+01  -1.720e+01  -1.660e+01
   9.961e+00  -1.511e+01  -1.531e+01  -1.655e+01  -1.723e+01  -1.774e+01  -1.747e+01  -1.762e+01  -1.715e+01  -1.660e+01
   1.043e+01  -1.502e+01  -1.521e+01  -1.649e+01  -1.722e+01  -1.777e+01  -1.752e+01  -1.763e+01  -1.718e+01  -1.659e+01
   1.091e+01  -1.486e+01  -1.513e+01  -1.640e+01  -1.717e+01  -1.777e+01  -1.755e+01  -1.768e+01  -1.722e+01  -1.656e+01
   1.142e+01  -1.472e+01  -1.502e+01  -1.633e+01  -1.712e+01  -1.778e+01  -1.761e+01  -1.772e+01  -1.727e+01  -1.655e+01
   1.196e+01  -1.458e+01  -1.491e+01  -1.625e+01  -1.708e+01  -1.779e+01  -1.761e+01  -1.778e+01  -1.735e+01  -1.652e+01
   1.252e+01  -1.435e+01  -1.476e+01  -1.611e+01  -1.702e+01  -1.777e+01  -1.767e+01  -1.783e+01  -1.736e+01  -1.649e+01
   1.310e+01  -1.417e+01  -1.460e+01  -1.604e+01  -1.698e+01  -1.779e+01  -1.769e+01  -1.783e+01  -1.735e+01  -1.647e+01
   1.371e+01  -1.403e+01  -1.449e+01  -1.588e+01  -1.691e+01  -1.776e+01  -1.770e+01  -1.786e+01  -1.739e+01  -1.643e+01
   1.435e+01  -1.374e+01  -1.427e+01  -1.577e+01  -1.686e+01  -1.776e+01  -1.771e+01  -1.788e+01  -1.732e+01  -1.640e+01
   1.502e+01  -1.352e+01  -1.411e+01  -1.566e+01  -1.678e+01  -1.773e+01  -1.772e+01  -1.789e+01  -1.733e+01  -1.635e+01
   1.573e+01  -1.332e+01  -1.392e+01  -1.554e+01  -1.673e+01  -1.771e+01  -1.771e+01  -1.788e+01  -1.729e+01  -1.631e+01
   1.646e+01  -1.309e+01  -1.374e+01  -1.539e+01  -1.665e+01  -1.767e+01  -1.766e+01  -1.788e+01  -1.721e+01  -1.625e+01
   1.723e+01  -1.293e+01  -1.355e+01  -1.525e+01  -1.658e+01  -1.761e+01  -1.763e+01  -1.781e+01  -1.704e+01  -1.619e+01
   1.804e+01  -1.279e+01  -1.343e+01  -1.515e+01  -1.651e+01  -1.757e+01  -1.760e+01  -1.777e+01  -1.690e+01  -1.612e+01
   1.888e+01  -1.249e+01  -1.329e+01  -1.502e+01  -1.643e+01  -1.747e+01  -1.752e+01  -1.769e+01  -1.687e+01  -1.605e+01
   1.976e+01  -1.248e+01  -1.315e+01  -1.497e+01  -1.639e+01  -1.742e+01  -1.740e+01  -1.763e+01  -1.679e+01  -1.598e+01
   2.068e+01  -1.231e+01  -1.308e+01  -1.486e+01  -1.631e+01  -1.729e+01  -1.727e+01  -1.750e+01  -1.682e+01  -1.588e+01
   2.165e+01  -1.219e+01  -1.293e+01  -1.473e+01  -1.621e+01  -1.716e+01  -1.718e+01  -1.738e+01  -1.670e+01  -1.576e+01
   2.266e+01  -1.216e+01  -1.287e+01  -1.464e+01  -1.610e+01  -1.705e+01  -1.705e+01  -1.729e+01  -1.668e+01  -1.565e+01
   2.372e+01  -1.198e+01  -1.268e+01  -1.452e+01  -1.595e+01  -1.692e+01  -1.693e+01  -1.710e+01  -1.664e+01  -1.551e+01
   2.483e+01  -1.189e+01  -1.256e+01  -1.436e+01  -1.578e+01  -1.676e+01  -1.687e+01  -1.697e+01  -1.638e+01  -1.537e+01
   2.599e+01  -1.184e+01  -1.237e+01  -1.419e+01  -1.560e+01  -1.668e+01  -1.675e+01  -1.686e+01  -1.629e+01  -1.524e+01
   2.721e+01  -1.155e+01  -1.224e+01  -1.398e+01  -1.542e+01  -1.654e+01  -1.663e+01  -1.670e+01  -1.622e+01  -1.510e+01
   2.848e+01  -1.150e+01  -1.205e+01  -1.389e+01  -1.528e+01  -1.648e+01  -1.651e+01  -1.652e+01  -1.608e+01  -1.498e+01
   2.981e+01  -1.135e+01  -1.196e+01  -1.376e+01  -1.514e+01  -1.637e+01  -1.636e+01  -1.636e+01  -1.593e+01  -1.485e+01
   3.120e+01  -1.132e+01  -1.184e+01  -1.368e+01  -1.504e+01  -1.631e+01  -1.622e+01  -1.618e+01  -1.579e+01  -1.475e+01
   3.266e+01  -1.119e+01  -1.174e+01  -1.352e+01  -1.488e+01  -1.620e+01  -1.606e+01  -1.608e+01  -1.561e+01  -1.461e+01
   3.418e+01  -1.092e+01  -1.155e+01  -1.342e+01  -1.478e+01  -1.615e+01  -1.590e+01  -1.589e+01  -1.549e+01  -1.450e+01
   3.578e+01  -1.103e+01  -1.147e+01  -1.335e+01  -1.467e+01  -1.606e+01  -1.581e+01  -1.568e+01  -1.551e+01  -1.439e+01
   3.745e+01  -1.065e+01  -1.133e+01  -1.322e+01  -1.458e+01  -1.595e+01  -1.558e+01  -1.553e+01  -1.525e+01  -1.426e+01
   3.920e+01  -1.053e+01  -1.126e+01  -1.314e+01  -1.444e+01  -1.590e+01  -1.547e+01  -1.538e+01  -1.510e+01  -1.416e+01
   4.104e+01  -1.052e+01  -1.118e+01  -1.297e+01  -1.431e+01  -1.579e+01  -1.531e+01  -1.521e+01  -1.483e+01  -1.403e+01
   4.295e+01  -1.033e+01  -1.102e+01  -1.285e+01  -1.418e+01  -1.569e+01  -1.517e+01  -1.501e+01  -1.470e+01  -1.391e+01
   4.496e+01  -1.032e+01  -1.075e+01  -1.275e+01  -1.406e+01  -1.555e+01  -1.500e+01  -1.485e+01  -1.461e+01  -1.375e+01
   4.706e+01  -1.025e+01  -1.079e+01  -1.263e+01  -1.393e+01  -1.544e+01  -1.480e+01  -1.471e+01  -1.439e+01  -1.362e+01
   4.926e+01  -1.007e+01  -1.064e+01  -1.252e+01  -1.384e+01  -1.533e+01  -1.469e+01  -1.442e+01  -1.417e+01  -1.350e+01
