time (d since explosion)     U     B     V     R    I     J    H     K    bol.
   2.531e+00  -1.533e+01  -1.495e+01  -1.534e+01  -1.555e+01  -1.558e+01  -1.556e+01  -1.515e+01  -1.527e+01  -1.533e+01
   2.649e+00  -1.530e+01  -1.502e+01  -1.548e+01  -1.565e+01  -1.563e+01  -1.555e+01  -1.545e+01  -1.533e+01  -1.540e+01
   2.773e+00  -1.531e+01  -1.512e+01  -1.553e+01  -1.574e+01  -1.578e+01  -1.567e+01  -1.550e+01  -1.553e+01  -1.546e+01
   2.902e+00  -1.531e+01  -1.516e+01  -1.562e+01  -1.586e+01  -1.589e+01  -1.574e+01  -1.581e+01  -1.555e+01  -1.553e+01
   3.038e+00  -1.536e+01  -1.522e+01  -1.577e+01  -1.601e+01  -1.601e+01  -1.585e+01  -1.576e+01  -1.595e+01  -1.561e+01
   3.180e+00  -1.543e+01  -1.526e+01  -1.586e+01  -1.610e+01  -1.615e+01  -1.599e+01  -1.593e+01  -1.582e+01  -1.569e+01
   3.328e+00  -1.545e+01  -1.531e+01  -1.592e+01  -1.619e+01  -1.619e+01  -1.597e+01  -1.594e+01  -1.566e+01  -1.575e+01
   3.484e+00  -1.545e+01  -1.537e+01  -1.603e+01  -1.628e+01  -1.634e+01  -1.613e+01  -1.612e+01  -1.597e+01  -1.582e+01
   3.647e+00  -1.542e+01  -1.537e+01  -1.612e+01  -1.639e+01  -1.639e+01  -1.620e+01  -1.609e+01  -1.617e+01  -1.588e+01
   3.817e+00  -1.545e+01  -1.543e+01  -1.618e+01  -1.644e+01  -1.649e+01  -1.626e+01  -1.629e+01  -1.605e+01  -1.593e+01
   3.996e+00  -1.549e+01  -1.548e+01  -1.627e+01  -1.656e+01  -1.664e+01  -1.632e+01  -1.611e+01  -1.619e+01  -1.601e+01
   4.182e+00  -1.548e+01  -1.548e+01  -1.634e+01  -1.664e+01  -1.669e+01  -1.645e+01  -1.629e+01  -1.633e+01  -1.606e+01
   4.378e+00  -1.549e+01  -1.552e+01  -1.642e+01  -1.673e+01  -1.682e+01  -1.651e+01  -1.631e+01  -1.635e+01  -1.612e+01
   4.582e+00  -1.552e+01  -1.556e+01  -1.646e+01  -1.678e+01  -1.691e+01  -1.654e+01  -1.648e+01  -1.642e+01  -1.618e+01
   4.796e+00  -1.556e+01  -1.558e+01  -1.656e+01  -1.689e+01  -1.697e+01  -1.662e+01  -1.652e+01  -1.645e+01  -1.625e+01
   5.021e+00  -1.555e+01  -1.561e+01  -1.663e+01  -1.696e+01  -1.701e+01  -1.667e+01  -1.663e+01  -1.634e+01  -1.630e+01
   5.255e+00  -1.556e+01  -1.563e+01  -1.666e+01  -1.703e+01  -1.713e+01  -1.674e+01  -1.675e+01  -1.652e+01  -1.636e+01
   5.501e+00  -1.550e+01  -1.561e+01  -1.669e+01  -1.708e+01  -1.721e+01  -1.686e+01  -1.683e+01  -1.678e+01  -1.640e+01
   5.758e+00  -1.553e+01  -1.559e+01  -1.675e+01  -1.714e+01  -1.729e+01  -1.691e+01  -1.697e+01  -1.679e+01  -1.645e+01
   6.027e+00  -1.546e+01  -1.559e+01  -1.677e+01  -1.717e+01  -1.734e+01  -1.700e+01  -1.708e+01  -1.699e+01  -1.648e+01
   6.309e+00  -1.550e+01  -1.560e+01  -1.680e+01  -1.722e+01  -1.740e+01  -1.703e+01  -1.709e+01  -1.683e+01  -1.652e+01
   6.603e+00  -1.543e+01  -1.556e+01  -1.680e+01  -1.726e+01  -1.749e+01  -1.714e+01  -1.718e+01  -1.683e+01  -1.655e+01
   6.912e+00  -1.543e+01  -1.552e+01  -1.681e+01  -1.728e+01  -1.751e+01  -1.712e+01  -1.716e+01  -1.679e+01  -1.655e+01
   7.235e+00  -1.536e+01  -1.549e+01  -1.678e+01  -1.729e+01  -1.756e+01  -1.716e+01  -1.720e+01  -1.675e+01  -1.656e+01
   7.573e+00  -1.526e+01  -1.542e+01  -1.678e+01  -1.731e+01  -1.758e+01  -1.715e+01  -1.729e+01  -1.691e+01  -1.657e+01
   7.927e+00  -1.524e+01  -1.536e+01  -1.673e+01  -1.729e+01  -1.761e+01  -1.719e+01  -1.728e+01  -1.678e+01  -1.656e+01
