time (d since explosion)     U     B     V     R    I     J    H     K    bol.
   2.531e+00  -1.580e+01  -1.563e+01  -1.628e+01  -1.655e+01  -1.660e+01  -1.625e+01  -1.623e+01  -1.624e+01  -1.608e+01
   2.649e+00  -1.580e+01  -1.566e+01  -1.636e+01  -1.661e+01  -1.661e+01  -1.636e+01  -1.620e+01  -1.617e+01  -1.611e+01
   2.773e+00  -1.596e+01  -1.577e+01  -1.640e+01  -1.668e+01  -1.688e+01  -1.638e+01  -1.623e+01  -1.631e+01  -1.620e+01
   2.902e+00  -1.581e+01  -1.571e+01  -1.656e+01  -1.681e+01  -1.688e+01  -1.643e+01  -1.657e+01  -1.634e+01  -1.625e+01
   3.038e+00  -1.590e+01  -1.581e+01  -1.657e+01  -1.690e+01  -1.694e+01  -1.658e+01  -1.643e+01  -1.636e+01  -1.632e+01
   3.180e+00  -1.589e+01  -1.587e+01  -1.668e+01  -1.701e+01  -1.707e+01  -1.673e+01  -1.675e+01  -1.665e+01  -1.641e+01
   3.328e+00  -1.592e+01  -1.592e+01  -1.681e+01  -1.710e+01  -1.718e+01  -1.661e+01  -1.672e+01  -1.657e+01  -1.648e+01
   3.484e+00  -1.597e+01  -1.598e+01  -1.689e+01  -1.720e+01  -1.726e+01  -1.670e+01  -1.662e+01  -1.658e+01  -1.654e+01
   3.647e+00  -1.601e+01  -1.601e+01  -1.697e+01  -1.727e+01  -1.734e+01  -1.669e+01  -1.681e+01  -1.665e+01  -1.661e+01
   3.817e+00  -1.603e+01  -1.607e+01  -1.706e+01  -1.736e+01  -1.738e+01  -1.682e+01  -1.690e+01  -1.678e+01  -1.669e+01
   3.996e+00  -1.610e+01  -1.616e+01  -1.717e+01  -1.748e+01  -1.745e+01  -1.684e+01  -1.697e+01  -1.668e+01  -1.677e+01
   4.182e+00  -1.620e+01  -1.624e+01  -1.721e+01  -1.753e+01  -1.755e+01  -1.688e+01  -1.695e+01  -1.694e+01  -1.683e+01
   4.378e+00  -1.616e+01  -1.624e+01  -1.731e+01  -1.764e+01  -1.764e+01  -1.688e+01  -1.698e+01  -1.689e+01  -1.689e+01
   4.582e+00  -1.623e+01  -1.625e+01  -1.740e+01  -1.772e+01  -1.775e+01  -1.698e+01  -1.710e+01  -1.683e+01  -1.697e+01
   4.796e+00  -1.629e+01  -1.635e+01  -1.747e+01  -1.778e+01  -1.778e+01  -1.708e+01  -1.712e+01  -1.697e+01  -1.703e+01
   5.021e+00  -1.626e+01  -1.637e+01  -1.755e+01  -1.786e+01  -1.783e+01  -1.710e+01  -1.724e+01  -1.717e+01  -1.709e+01
   5.255e+00  -1.639e+01  -1.647e+01  -1.762e+01  -1.794e+01  -1.792e+01  -1.717e+01  -1.729e+01  -1.719e+01  -1.717e+01
   5.501e+00  -1.637e+01  -1.650e+01  -1.770e+01  -1.799e+01  -1.794e+01  -1.721e+01  -1.740e+01  -1.716e+01  -1.722e+01
   5.758e+00  -1.639e+01  -1.653e+01  -1.775e+01  -1.805e+01  -1.802e+01  -1.730e+01  -1.753e+01  -1.731e+01  -1.727e+01
   6.027e+00  -1.639e+01  -1.656e+01  -1.782e+01  -1.809e+01  -1.808e+01  -1.731e+01  -1.744e+01  -1.741e+01  -1.730e+01
   6.309e+00  -1.640e+01  -1.655e+01  -1.784e+01  -1.812e+01  -1.812e+01  -1.741e+01  -1.747e+01  -1.725e+01  -1.733e+01
