time (d since explosion)     U     B     V     R    I     J    H     K    bol.
   2.531e+00  -1.406e+01  -1.401e+01  -1.458e+01  -1.483e+01  -1.490e+01  -1.483e+01  -1.477e+01  -1.442e+01  -1.444e+01
   2.649e+00  -1.406e+01  -1.409e+01  -1.466e+01  -1.491e+01  -1.495e+01  -1.492e+01  -1.485e+01  -1.460e+01  -1.451e+01
   2.773e+00  -1.431e+01  -1.424e+01  -1.478e+01  -1.505e+01  -1.504e+01  -1.504e+01  -1.488e+01  -1.502e+01  -1.464e+01
   2.902e+00  -1.432e+01  -1.425e+01  -1.491e+01  -1.517e+01  -1.521e+01  -1.505e+01  -1.516e+01  -1.503e+01  -1.473e+01
   3.038e+00  -1.439e+01  -1.434e+01  -1.501e+01  -1.525e+01  -1.531e+01  -1.518e+01  -1.506e+01  -1.515e+01  -1.480e+01
   3.180e+00  -1.443e+01  -1.445e+01  -1.512e+01  -1.537e+01  -1.542e+01  -1.531e+01  -1.537e+01  -1.509e+01  -1.490e+01
   3.328e+00  -1.447e+01  -1.454e+01  -1.521e+01  -1.544e+01  -1.556e+01  -1.536e+01  -1.549e+01  -1.531e+01  -1.499e+01
   3.484e+00  -1.450e+01  -1.460e+01  -1.527e+01  -1.557e+01  -1.564e+01  -1.551e+01  -1.546e+01  -1.544e+01  -1.507e+01
   3.647e+00  -1.462e+01  -1.464e+01  -1.538e+01  -1.568e+01  -1.575e+01  -1.555e+01  -1.556e+01  -1.557e+01  -1.516e+01
   3.817e+00  -1.454e+01  -1.469e+01  -1.546e+01  -1.579e+01  -1.584e+01  -1.569e+01  -1.569e+01  -1.543e+01  -1.523e+01
   3.996e+00  -1.460e+01  -1.479e+01  -1.558e+01  -1.592e+01  -1.591e+01  -1.571e+01  -1.574e+01  -1.558e+01  -1.531e+01
   4.182e+00  -1.464e+01  -1.484e+01  -1.569e+01  -1.600e+01  -1.601e+01  -1.577e+01  -1.581e+01  -1.560e+01  -1.539e+01
   4.378e+00  -1.467e+01  -1.487e+01  -1.570e+01  -1.604e+01  -1.613e+01  -1.590e+01  -1.580e+01  -1.559e+01  -1.544e+01
   4.582e+00  -1.473e+01  -1.489e+01  -1.581e+01  -1.616e+01  -1.625e+01  -1.595e+01  -1.583e+01  -1.572e+01  -1.551e+01
   4.796e+00  -1.474e+01  -1.492e+01  -1.589e+01  -1.624e+01  -1.634e+01  -1.606e+01  -1.592e+01  -1.597e+01  -1.559e+01
   5.021e+00  -1.470e+01  -1.495e+01  -1.597e+01  -1.634e+01  -1.641e+01  -1.619e+01  -1.601e+01  -1.584e+01  -1.566e+01
   5.255e+00  -1.483e+01  -1.496e+01  -1.600e+01  -1.642e+01  -1.648e+01  -1.622e+01  -1.614e+01  -1.589e+01  -1.571e+01
   5.501e+00  -1.474e+01  -1.502e+01  -1.609e+01  -1.648e+01  -1.656e+01  -1.621e+01  -1.614e+01  -1.600e+01  -1.577e+01
   5.758e+00  -1.478e+01  -1.503e+01  -1.612e+01  -1.655e+01  -1.666e+01  -1.636e+01  -1.619e+01  -1.599e+01  -1.583e+01
   6.027e+00  -1.480e+01  -1.506e+01  -1.619e+01  -1.661e+01  -1.673e+01  -1.640e+01  -1.633e+01  -1.607e+01  -1.588e+01
   6.309e+00  -1.475e+01  -1.502e+01  -1.621e+01  -1.668e+01  -1.677e+01  -1.643e+01  -1.634e+01  -1.605e+01  -1.591e+01
   6.603e+00  -1.479e+01  -1.507e+01  -1.628e+01  -1.675e+01  -1.689e+01  -1.655e+01  -1.642e+01  -1.606e+01  -1.599e+01
   6.912e+00  -1.479e+01  -1.505e+01  -1.629e+01  -1.678e+01  -1.695e+01  -1.653e+01  -1.642e+01  -1.602e+01  -1.601e+01
   7.235e+00  -1.470e+01  -1.502e+01  -1.632e+01  -1.682e+01  -1.702e+01  -1.660e+01  -1.655e+01  -1.614e+01  -1.605e+01
   7.573e+00  -1.477e+01  -1.502e+01  -1.634e+01  -1.686e+01  -1.705e+01  -1.665e+01  -1.647e+01  -1.606e+01  -1.608e+01
   7.927e+00  -1.462e+01  -1.499e+01  -1.633e+01  -1.688e+01  -1.710e+01  -1.668e+01  -1.661e+01  -1.614e+01  -1.609e+01
   8.297e+00  -1.460e+01  -1.495e+01  -1.633e+01  -1.689e+01  -1.717e+01  -1.673e+01  -1.670e+01  -1.604e+01  -1.612e+01
   8.685e+00  -1.453e+01  -1.491e+01  -1.629e+01  -1.691e+01  -1.722e+01  -1.675e+01  -1.674e+01  -1.619e+01  -1.613e+01
   9.091e+00  -1.447e+01  -1.483e+01  -1.628e+01  -1.690e+01  -1.725e+01  -1.677e+01  -1.681e+01  -1.614e+01  -1.613e+01
   9.516e+00  -1.441e+01  -1.479e+01  -1.623e+01  -1.690e+01  -1.728e+01  -1.686e+01  -1.690e+01  -1.613e+01  -1.614e+01
   9.961e+00  -1.426e+01  -1.472e+01  -1.618e+01  -1.688e+01  -1.730e+01  -1.685e+01  -1.696e+01  -1.613e+01  -1.612e+01
   1.043e+01  -1.417e+01  -1.464e+01  -1.611e+01  -1.684e+01  -1.730e+01  -1.689e+01  -1.701e+01  -1.617e+01  -1.611e+01
   1.091e+01  -1.403e+01  -1.452e+01  -1.603e+01  -1.681e+01  -1.733e+01  -1.691e+01  -1.703e+01  -1.613e+01  -1.609e+01
   1.142e+01  -1.390e+01  -1.443e+01  -1.594e+01  -1.675e+01  -1.732e+01  -1.696e+01  -1.708e+01  -1.616e+01  -1.606e+01
   1.196e+01  -1.371e+01  -1.426e+01  -1.580e+01  -1.669e+01  -1.733e+01  -1.696e+01  -1.709e+01  -1.613e+01  -1.602e+01
   1.252e+01  -1.350e+01  -1.410e+01  -1.567e+01  -1.661e+01  -1.731e+01  -1.697e+01  -1.711e+01  -1.615e+01  -1.598e+01
   1.310e+01  -1.324e+01  -1.395e+01  -1.549e+01  -1.651e+01  -1.729e+01  -1.695e+01  -1.714e+01  -1.612e+01  -1.591e+01
   1.371e+01  -1.302e+01  -1.371e+01  -1.532e+01  -1.640e+01  -1.725e+01  -1.699e+01  -1.716e+01  -1.598e+01  -1.583e+01
   1.435e+01  -1.277e+01  -1.354e+01  -1.517e+01  -1.626e+01  -1.720e+01  -1.699e+01  -1.716e+01  -1.597e+01  -1.576e+01
   1.502e+01  -1.253e+01  -1.326e+01  -1.496e+01  -1.615e+01  -1.714e+01  -1.698e+01  -1.716e+01  -1.601e+01  -1.568e+01
   1.573e+01  -1.224e+01  -1.306e+01  -1.474e+01  -1.601e+01  -1.710e+01  -1.697e+01  -1.718e+01  -1.610e+01  -1.559e+01
   1.646e+01  -1.219e+01  -1.281e+01  -1.450e+01  -1.587e+01  -1.703e+01  -1.698e+01  -1.713e+01  -1.616e+01  -1.550e+01
   1.723e+01  -1.188e+01  -1.261e+01  -1.431e+01  -1.571e+01  -1.693e+01  -1.692e+01  -1.711e+01  -1.603e+01  -1.539e+01
   1.804e+01  -1.182e+01  -1.236e+01  -1.411e+01  -1.555e+01  -1.683e+01  -1.690e+01  -1.705e+01  -1.607e+01  -1.529e+01
   1.888e+01  -1.163e+01  -1.213e+01  -1.382e+01  -1.535e+01  -1.670e+01  -1.683e+01  -1.695e+01  -1.608e+01  -1.516e+01
   1.976e+01  -1.153e+01  -1.191e+01  -1.364e+01  -1.517e+01  -1.656e+01  -1.672e+01  -1.679e+01  -1.591e+01  -1.501e+01
   2.068e+01  -1.121e+01  -1.172e+01  -1.345e+01  -1.495e+01  -1.639e+01  -1.658e+01  -1.663e+01  -1.597e+01  -1.484e+01
   2.165e+01  -1.123e+01  -1.161e+01  -1.323e+01  -1.474e+01  -1.622e+01  -1.649e+01  -1.644e+01  -1.598e+01  -1.468e+01
   2.266e+01  -1.098e+01  -1.140e+01  -1.299e+01  -1.450e+01  -1.603e+01  -1.630e+01  -1.629e+01  -1.595e+01  -1.449e+01
   2.372e+01  -1.103e+01  -1.125e+01  -1.292e+01  -1.436e+01  -1.588e+01  -1.619e+01  -1.607e+01  -1.604e+01  -1.435e+01
   2.483e+01  -1.079e+01  -1.116e+01  -1.277e+01  -1.416e+01  -1.565e+01  -1.603e+01  -1.595e+01  -1.611e+01  -1.420e+01
   2.599e+01  -1.067e+01  -1.095e+01  -1.265e+01  -1.403e+01  -1.551e+01  -1.593e+01  -1.590e+01  -1.612e+01  -1.408e+01
   2.721e+01  -1.068e+01  -1.081e+01  -1.245e+01  -1.388e+01  -1.534e+01  -1.581e+01  -1.573e+01  -1.601e+01  -1.395e+01
   2.848e+01  -1.046e+01  -1.075e+01  -1.228e+01  -1.369e+01  -1.520e+01  -1.565e+01  -1.558e+01  -1.589e+01  -1.381e+01
   2.981e+01  -1.015e+01  -1.039e+01  -1.210e+01  -1.355e+01  -1.504e+01  -1.550e+01  -1.546e+01  -1.583e+01  -1.366e+01
   3.120e+01  -9.952e+00  -1.033e+01  -1.193e+01  -1.340e+01  -1.485e+01  -1.542e+01  -1.529e+01  -1.565e+01  -1.352e+01
   3.266e+01  -1.004e+01  -1.022e+01  -1.180e+01  -1.326e+01  -1.472e+01  -1.525e+01  -1.517e+01  -1.552e+01  -1.338e+01
   3.418e+01  -9.970e+00  -1.017e+01  -1.175e+01  -1.311e+01  -1.456e+01  -1.508e+01  -1.501e+01  -1.542e+01  -1.323e+01
   3.578e+01  -9.620e+00  -9.795e+00  -1.158e+01  -1.297e+01  -1.437e+01  -1.492e+01  -1.478e+01  -1.520e+01  -1.306e+01
   3.745e+01  -9.678e+00  -9.769e+00  -1.143e+01  -1.280e+01  -1.425e+01  -1.475e+01  -1.464e+01  -1.514e+01  -1.292e+01
