time (d since explosion)     U     B     V     R    I     J    H     K    bol.
   2.531e+00  -1.524e+01  -1.530e+01  -1.609e+01  -1.625e+01  -1.626e+01  -1.601e+01  -1.554e+01  -1.597e+01  -1.570e+01
   2.649e+00  -1.513e+01  -1.528e+01  -1.610e+01  -1.630e+01  -1.628e+01  -1.589e+01  -1.585e+01  -1.599e+01  -1.571e+01
   2.773e+00  -1.522e+01  -1.530e+01  -1.618e+01  -1.642e+01  -1.642e+01  -1.593e+01  -1.584e+01  -1.581e+01  -1.579e+01
   2.902e+00  -1.525e+01  -1.529e+01  -1.631e+01  -1.648e+01  -1.649e+01  -1.614e+01  -1.617e+01  -1.586e+01  -1.585e+01
   3.038e+00  -1.521e+01  -1.530e+01  -1.628e+01  -1.658e+01  -1.662e+01  -1.627e+01  -1.613e+01  -1.574e+01  -1.591e+01
   3.180e+00  -1.519e+01  -1.537e+01  -1.640e+01  -1.667e+01  -1.668e+01  -1.614e+01  -1.625e+01  -1.618e+01  -1.596e+01
   3.328e+00  -1.525e+01  -1.542e+01  -1.652e+01  -1.678e+01  -1.681e+01  -1.626e+01  -1.615e+01  -1.624e+01  -1.607e+01
   3.484e+00  -1.525e+01  -1.539e+01  -1.658e+01  -1.684e+01  -1.686e+01  -1.637e+01  -1.620e+01  -1.613e+01  -1.610e+01
   3.647e+00  -1.531e+01  -1.553e+01  -1.669e+01  -1.695e+01  -1.694e+01  -1.643e+01  -1.637e+01  -1.613e+01  -1.620e+01
   3.817e+00  -1.518e+01  -1.551e+01  -1.673e+01  -1.702e+01  -1.698e+01  -1.654e+01  -1.643e+01  -1.650e+01  -1.625e+01
   3.996e+00  -1.530e+01  -1.555e+01  -1.683e+01  -1.712e+01  -1.709e+01  -1.655e+01  -1.646e+01  -1.641e+01  -1.632e+01
   4.182e+00  -1.537e+01  -1.561e+01  -1.687e+01  -1.722e+01  -1.721e+01  -1.657e+01  -1.651e+01  -1.651e+01  -1.640e+01
   4.378e+00  -1.536e+01  -1.567e+01  -1.696e+01  -1.729e+01  -1.724e+01  -1.662e+01  -1.662e+01  -1.631e+01  -1.646e+01
   4.582e+00  -1.535e+01  -1.564e+01  -1.700e+01  -1.737e+01  -1.733e+01  -1.669e+01  -1.671e+01  -1.651e+01  -1.651e+01
   4.796e+00  -1.543e+01  -1.573e+01  -1.711e+01  -1.744e+01  -1.740e+01  -1.668e+01  -1.662e+01  -1.662e+01  -1.659e+01
   5.021e+00  -1.550e+01  -1.577e+01  -1.718e+01  -1.754e+01  -1.747e+01  -1.679e+01  -1.677e+01  -1.634e+01  -1.666e+01
   5.255e+00  -1.560e+01  -1.586e+01  -1.724e+01  -1.759e+01  -1.753e+01  -1.669e+01  -1.680e+01  -1.645e+01  -1.671e+01
   5.501e+00  -1.562e+01  -1.591e+01  -1.730e+01  -1.765e+01  -1.757e+01  -1.675e+01  -1.669e+01  -1.670e+01  -1.677e+01
   5.758e+00  -1.554e+01  -1.596e+01  -1.742e+01  -1.775e+01  -1.766e+01  -1.680e+01  -1.682e+01  -1.665e+01  -1.685e+01
   6.027e+00  -1.564e+01  -1.597e+01  -1.747e+01  -1.779e+01  -1.768e+01  -1.673e+01  -1.687e+01  -1.657e+01  -1.688e+01
   6.309e+00  -1.562e+01  -1.603e+01  -1.751e+01  -1.782e+01  -1.772e+01  -1.675e+01  -1.680e+01  -1.658e+01  -1.692e+01
   6.603e+00  -1.560e+01  -1.603e+01  -1.758e+01  -1.790e+01  -1.777e+01  -1.668e+01  -1.703e+01  -1.659e+01  -1.696e+01
   6.912e+00  -1.568e+01  -1.606e+01  -1.760e+01  -1.792e+01  -1.783e+01  -1.672e+01  -1.688e+01  -1.659e+01  -1.699e+01
   7.235e+00  -1.567e+01  -1.606e+01  -1.763e+01  -1.794e+01  -1.785e+01  -1.664e+01  -1.678e+01  -1.662e+01  -1.701e+01
